interaction	name	drain	joules
0	drain-1	100.0	32516.0
0	drain-2	100.0	32549.0
0	drain-3	100.0	86.20506538135699
0	drain-4	100.0	96.83657175354499
1	drain-1	100.0	32517.0
1	drain-2	100.0	32516.0
1	drain-3	100.0	87.664596278637
1	drain-4	100.0	91.345621897845
2	drain-1	100.0	32515.0
2	drain-2	100.0	32513.0
2	drain-3	100.0	89.64888067296
2	drain-4	100.0	89.10825204423999
3	drain-1	100.0	32509.0
3	drain-2	100.0	32517.0
3	drain-3	100.0	93.59034270105002
3	drain-4	100.0	100.53029037537001
4	drain-1	100.0	32516.0
4	drain-2	100.0	32517.0
4	drain-3	100.0	90.307221445719
4	drain-4	100.0	95.44484694354502
5	drain-1	100.0	32516.0
5	drain-2	100.0	32517.0
5	drain-3	100.0	88.68656480895199
5	drain-4	100.0	95.29621402020001
6	drain-1	100.0	32514.0
6	drain-2	100.0	32516.0
6	drain-3	100.0	90.62984741546101
6	drain-4	100.0	95.48058445478
7	drain-1	100.0	32515.0
7	drain-2	99.0	32519.0
7	drain-3	99.0	90.67374869747998
7	drain-4	100.0	86.64947105548502
8	drain-1	100.0	32515.0
8	drain-2	99.0	32518.0
8	drain-3	99.0	100.16504933924999
8	drain-4	98.0	99.605020810077
9	drain-1	100.0	32510.0
9	drain-2	99.0	32514.0
9	drain-3	99.0	114.60632311074
9	drain-4	98.0	86.500618383411
10	drain-1	100.0	32514.0
10	drain-2	99.0	32518.0
10	drain-3	99.0	102.42255294015
10	drain-4	98.0	89.13775137884099
11	drain-1	100.0	32517.0
11	drain-2	99.0	32513.0
11	drain-3	99.0	105.33228530697002
11	drain-4	98.0	99.19447908186598
12	drain-1	98.0	32518.0
12	drain-2	99.0	32518.0
12	drain-3	99.0	114.73447900349998
12	drain-4	98.0	100.298819438694
13	drain-1	98.0	32516.0
13	drain-2	99.0	32520.0
13	drain-3	99.0	104.04611224517998
13	drain-4	98.0	93.66133251554999
14	drain-1	98.0	32512.0
14	drain-2	97.0	32521.0
14	drain-3	97.0	101.12214795066001
14	drain-4	97.0	96.47383008311999
15	drain-1	98.0	32512.0
15	drain-2	97.0	32515.0
15	drain-3	97.0	101.71157251038
15	drain-4	97.0	99.2852276256
16	drain-1	98.0	32516.0
16	drain-2	97.0	32522.0
16	drain-3	97.0	103.79892464650801
16	drain-4	97.0	100.76133966173998
17	drain-1	98.0	32516.0
17	drain-2	97.0	32516.0
17	drain-3	97.0	96.201217540692
17	drain-4	97.0	112.3336577043
18	drain-1	97.0	32516.0
18	drain-2	97.0	32515.0
18	drain-3	96.0	92.70499285698
