policy	round	interaction	rate	joules	win
r1	0	11	23.285438628907357	52.92145142933491	50.08
r1	1	22	27.06163971724444	61.503726630101	67.29
r1	2	33	21.13822738669504	48.04142587885236	42.6
r1	3	44	19.054162053651122	43.304913758298	45.6
r1	4	55	28.165880107750876	64.01336388125198	73.87
r1	5	66	27.28545860141449	62.012405912305645	57.49
r1	6	88	26.271674606569675	65.6791865164242	62.62
r1	7	99	31.316016214659165	71.17276412422537	73.19
r1	8	112	25.0572792150938	67.46190557909868	70.9
r2	0	11	28.263094073391922	64.23430471225437	66.74
r2	1	22	27.5112700810826	62.52561382064227	66.21
r2	2	35	24.423994450870573	65.75690813695923	50.31
r2	3	46	27.865256714990803	63.330128897706366	65.9
r2	4	65	23.049932977968343	60.657718363074586	62.37
