task	r0_energy	r0_config	r0_reward	r0_rate	r1_energy	r1_config	r1_reward	r1_rate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
0	48.745993750080004	0	48.745993750080004	17.46125149256597	54.051125596272	0	54.051125596272	19.361597228515347	2	0	0	0	0	0	0	0	0	0	0	0
1	64.09754075455201	1	112.84353450463202	22.960313106108185	83.393873248596	1	137.444998844868	29.872432208452295	0	2	0	0	0	0	0	0	0	0	0	0
2	35.778372325956	2	148.62190683058802	12.8161333704917	36.03386852545499	2	173.47886737032297	12.907654397177907	0	0	2	0	0	0	0	0	0	0	0	0
3	38.5663849284	3	187.18829175898802	13.814824451964181	75.32375131511999	3	248.80261868544295	26.98164226213254	0	0	0	2	0	0	0	0	0	0	0	0
4	72.037419339612	4	259.2257110986	25.804448718666983	78.00594092181299	4	326.8085596072559	27.94242659885839	0	0	0	0	2	0	0	0	0	0	0	0
5	73.70100490222399	4	332.926716000824	26.40035996497575	35.243438431426	3	362.0519980386819	12.624515259018269	0	0	0	1	1	0	0	0	0	0	0	0
6	78.94563351329998	4	411.872349514124	28.279032900286555	128.715755944655	4	490.7677539833369	46.107136457786865	0	0	0	0	2	0	0	0	0	0	0	0
7	69.80286936014399	4	481.67521887426796	25.004012905126206	77.328302633868	1	568.0960566172049	27.699690495713913	0	1	0	0	1	0	0	0	0	0	0	0
8	70.89541556427	4	552.5706344385379	25.39537273944	66.05545134622399	1	634.1515079634289	23.661654213572774	0	1	0	0	1	0	0	0	0	0	0	0
9	72.75196257241599	4	625.3225970109539	26.060404503551993	68.40793224561601	1	702.559440209045	24.504333938728124	0	1	0	0	1	0	0	0	0	0	0	0
10	85.23266514323198	4	710.5552621541859	30.531103931903992	103.520695478928	1	806.080135687973	37.0820401715563	0	1	0	0	1	0	0	0	0	0	0	0
11	72.15980011845001	0	72.15980011845001	25.848286609594034	80.776024392222	1	886.856160080195	28.934695304676538	1	1	0	0	0	0	0	0	0	0	0	0
12	68.3815690497	1	140.54136916815003	24.49489040586269	79.32841428372	1	966.184574363915	28.416148400138507	0	2	0	0	0	0	0	0	0	0	0	0
13	71.44584106555001	2	211.98721023370004	25.592540083182097	50.402114048819996	0	50.402114048819996	18.054488614502684	1	0	1	0	0	0	0	0	0	0	0	0
14	70.7058939864	2	282.69310422010005	25.327484413038807	66.34249534499999	1	116.74460939381999	23.76447594447761	0	1	1	0	0	0	0	0	0	0	0	0
15	76.96809608040002	2	359.66120030050007	27.570661282531344	97.55251954843197	2	214.29712894225196	34.94418610690101	0	0	2	0	0	0	0	0	0	0	0	0
16	44.95575642680001	1	404.6169567273001	16.103554540943286	65.28961177055999	3	279.58674071281195	23.387323619305068	0	1	0	1	0	0	0	0	0	0	0	0
17	39.61956617639999	0	444.23652290370006	14.192083406471639	83.612073074244	4	363.19881378705594	29.9505933400277	1	0	0	0	1	0	0	0	0	0	0	0
18	71.66805596955	2	515.9045788732501	25.672139451779106	44.764414378096	1	407.9632281651519	16.03501410558663	0	1	1	0	0	0	0	0	0	0	0	0
19	84.97304691593199	2	600.877625789182	30.43810635794578	34.58164728899	3	442.5448754541419	12.38745574530985	0	0	1	1	0	0	0	0	0	0	0	0
20	86.82342861116999	2	687.7010544003521	31.100929651762385	85.10268770549999	4	527.6475631596419	30.484544849731346	0	0	1	0	1	0	0	0	0	0	0	0
21	89.011264069064	2	776.712318469416	31.884631905336356	66.090755570112	4	593.7383187297539	23.674300502726688	0	0	1	0	1	0	0	0	0	0	0	0
22	51.537200379874	0	51.537200379874	18.46108670323845	72.264193292612	4	666.002512022366	25.885681179443107	1	0	0	0	1	0	0	0	0	0	0	0
23	38.31235292923999	1	89.84955330911399	13.723827914951638	35.559540448671996	4	701.562052471038	12.737745832360117	0	1	0	0	1	0	0	0	0	0	0	0
24	69.91620875507998	2	159.76576206419395	25.044612091371935	35.418080011104	4	736.980132482142	12.687073436813375	0	0	1	0	1	0	0	0	0	0	0	0
25	56.605169334527	3	216.37093139872096	20.27647856759176	36.86191100975199	4	773.8420434918941	13.204266630358925	0	0	0	1	1	0	0	0	0	0	0	0
26	69.68893068650398	4	286.05986208522495	24.96319905188202	67.60684925876701	0	67.60684925876701	24.21737883896132	1	0	0	0	1	0	0	0	0	0	0	0
27	39.056143477248	2	325.11600556247294	13.990260350058985	36.124306451100004	1	103.73115570986701	12.940050072035824	0	1	1	0	0	0	0	0	0	0	0	0
28	72.73174298208001	4	397.8477485445529	26.05316166522269	49.498374469635	2	153.229530179502	17.73076100404836	0	0	1	0	1	0	0	0	0	0	0	0
29	69.65113905152	4	467.4988875960729	24.949661749798214	69.0330674733	3	222.26259765280201	24.728262975510447	0	0	0	1	1	0	0	0	0	0	0	0
30	69.41978376319999	4	536.9186713592729	24.86678821368358	67.482397673908	4	289.74499532671	24.172799166773014	0	0	0	0	2	0	0	0	0	0	0	0
31	81.32936154720001	4	618.248032906473	29.132905628847766	72.96397170832	3	362.70896703503	26.13634807462209	0	0	0	1	1	0	0	0	0	0	0	0
32	87.79845276383999	4	706.046485670313	31.450192034808357	78.016891162322	3	440.725858197352	27.946349073070564	0	0	0	1	1	0	0	0	0	0	0	0
33	85.26005946432	0	85.26005946432	30.540916823039993	35.5902711654	0	476.316129362752	12.748753850292534	2	0	0	0	0	0	0	0	0	0	0	0
34	37.71299336479999	1	122.97305282911998	13.509131951570147	72.871275462006	4	549.187404824758	26.103143449076775	0	1	0	0	1	0	0	0	0	0	0	0
35	70.29804966911999	2	193.27110249823997	25.18139092625194	69.02315268080402	4	618.2105575055621	24.724711408049203	0	0	1	0	1	0	0	0	0	0	0	0
36	77.62904603674599	2	270.900148534986	27.807419475849308	82.40588328823202	4	700.616440793794	29.518525356978632	0	0	1	0	1	0	0	0	0	0	0	0
37	69.23425673551998	2	340.13440527050597	24.80033077093253	83.66735362759202	4	784.283794421386	29.970395329286696	0	0	1	0	1	0	0	0	0	0	0	0
38	83.97850503932999	2	424.11291030983597	30.081852551401788	51.940119971376	3	836.223914392762	18.605416109149612	0	0	1	1	0	0	0	0	0	0	0	0
39	84.646218074544	2	508.75912838437995	30.321033340135163	53.28584244550001	3	889.5097568382621	19.087465950626868	0	0	1	1	0	0	0	0	0	0	0	0
40	92.904926772168	2	601.664055156548	33.27937675420943	37.11766409523201	3	926.6274209334941	13.295879675904002	0	0	1	1	0	0	0	0	0	0	0	0
41	86.338773588564	2	688.002828745112	30.92732188247069	69.19448980310999	4	995.8219107366041	24.78608589962149	0	0	1	0	1	0	0	0	0	0	0	0
42	52.487416894823994	0	740.490245639936	18.801462768295163	73.475706650738	4	1069.2976173873421	26.3196561136972	1	0	0	0	1	0	0	0	0	0	0	0
43	40.374459279793996	0	780.86470491973	14.46249287634412	73.209017766528	4	1142.50663515387	26.224125767114508	1	0	0	0	1	0	0	0	0	0	0	0
44	64.644058235916	0	845.508763155646	23.156080562119165	72.386643869617	4	1214.8932790234871	25.929544072698626	1	0	0	0	1	0	0	0	0	0	0	0
45	69.376942110872	0	914.885705266518	24.8514419501631	36.146075162004	0	1251.0393541854912	12.947847819225316	2	0	0	0	0	0	0	0	0	0	0	0
46	68.48617891461602	0	983.3718841811341	24.532362596280368	72.67242895515899	4	1323.7117831406501	26.031914849609194	1	0	0	0	1	0	0	0	0	0	0	0
47	83.0082341186	0	1066.380118299734	29.734292818602984	69.576149755503	4	1393.287932896153	24.92279991241898	1	0	0	0	1	0	0	0	0	0	0	0
48	56.097698065920014	0	1122.477816365654	20.094697814657916	82.72888167096002	4	1476.016814567113	29.634226270194638	1	0	0	0	1	0	0	0	0	0	0	0
49	37.19499775250001	0	1159.672814118154	13.323581284477616	37.655050697685006	0	37.655050697685006	13.488376369320003	2	0	0	0	0	0	0	0	0	0	0	0
50	36.591603825762	0	36.591603825762	13.107440176392357	70.379866853226	1	108.03491755091102	25.210698574289914	1	1	0	0	0	0	0	0	0	0	0	0
51	38.722688354602006	1	75.314292180364	13.870813738961912	94.59068967527402	2	202.62560722618502	33.88323212248623	0	1	1	0	0	0	0	0	0	0	0	0
52	39.951952341392	2	115.26624452175601	14.311147107364297	37.092629844	1	239.718237070185	13.286912182925374	0	1	1	0	0	0	0	0	0	0	0	0
53	37.61166005118601	3	152.87790457294201	13.472833451171105	72.28161280991398	1	311.99984988009896	25.891921006536354	0	1	0	1	0	0	0	0	0	0	0	0
54	74.787138344952	4	227.66504291789403	26.789422690729076	37.48118177556	1	349.48103165565897	13.426094964379704	0	1	0	0	1	0	0	0	0	0	0	0
55	87.973065989424	4	315.63810890731804	31.512740055913078	70.637264570376	1	420.118296226035	25.302900741627226	0	1	0	0	1	0	0	0	0	0	0	0
56	70.423308487224	4	386.06141739454205	25.22625975661755	75.80504971607999	1	495.923345942115	27.154047659491344	0	1	0	0	1	0	0	0	0	0	0	0
57	85.70267393666	4	471.76409133120205	30.699465290743884	53.636551633631996	1	549.5598975757471	19.213093122495046	0	1	0	0	1	0	0	0	0	0	0	0
58	93.33112290304	4	565.095214234242	33.43204402496955	89.56921192877999	1	639.129109504527	32.084493825234624	0	1	0	0	1	0	0	0	0	0	0	0
59	89.67121379053201	4	654.766428024774	32.12103180556371	85.69716348591598	1	724.826272990443	30.697491397940055	0	1	0	0	1	0	0	0	0	0	0	0
60	90.836305743456	4	745.60273376823	32.53837817676036	50.440428318876	0	50.440428318876	18.06821312914962	1	0	0	0	1	0	0	0	0	0	0	0
61	74.15015246802	0	74.15015246802	26.561248645260893	55.307313724776	1	105.74774204365201	19.811575065591402	1	1	0	0	0	0	0	0	0	0	0	0
62	88.124505218232	1	162.274657686252	31.566986943844306	38.457494374739994	2	144.20523641839202	13.775818880503879	0	1	1	0	0	0	0	0	0	0	0	0
63	69.25023882705601	2	231.52489651330802	24.80605569924394	72.98909058038001	3	217.19432699877203	26.145345879539107	0	0	1	1	0	0	0	0	0	0	0	0
64	69.815227752648	2	301.34012426595604	25.008439791993315	81.62487923393999	4	298.819206232712	29.23876271066507	0	0	1	0	1	0	0	0	0	0	0	0
65	70.26499500174	2	371.60511926769607	25.169550448384477	40.725511280960006	3	339.544717513672	14.588242846911047	0	0	1	1	0	0	0	0	0	0	0	0
66	85.070518797876	2	456.67563806557206	30.473021658940656	69.859298676552	4	409.404016190224	25.024226391600713	0	0	1	0	1	0	0	0	0	0	0	0
67	75.74134032829201	2	532.416978393864	27.13122638625386	36.237335912832	2	445.641352103056	12.98053823743236	0	0	2	0	0	0	0	0	0	0	0	0
68	71.906299080518	2	604.323277474382	25.757480267648237	72.155162354688	4	517.796514457744	25.846625321082268	0	0	1	0	1	0	0	0	0	0	0	0
69	70.138046217316	2	674.461323691698	25.124076256949017	69.65707836516002	4	587.453592822904	24.951789265131943	0	0	1	0	1	0	0	0	0	0	0	0
70	71.000944187152	2	745.46226787885	25.433174037188778	68.67239204826001	4	656.1259848711641	24.599065808331943	0	0	1	0	1	0	0	0	0	0	0	0
