task	reward	total_reward	total_reward_dev
0	47.129453196624006	47.129453196624006	0.0
1	40.11034101962999	87.239794216254	0.0
2	89.11021288632001	176.350007102574	0.0
3	80.34663581227998	256.696642914854	0.0
4	42.563498653311996	299.260141568166	0.0
5	82.04141431116798	381.30155587933393	0.0
6	52.63382469695999	433.93538057629394	0.0
7	114.50753504117401	548.442915617468	0.0
8	92.300778185077	640.743693802545	0.0
9	88.26967677138599	729.013370573931	0.0
10	38.37101852759999	767.3843891015309	0.0
11	34.680097366464004	802.0644864679949	0.0
12	49.722921286115	851.78740775411	0.0
13	78.70219288598702	930.489600640097	0.0
14	72.231010202912	1002.720610843009	0.0
15	40.824538782324	1043.5451496253331	0.0
16	35.370454755384	1078.915604380717	0.0
17	46.3740908526	1125.289695233317	0.0
18	35.011475981496	1160.301171214813	0.0
19	102.11207311998	1262.413244334793	0.0
20	35.46372045006	1297.876964784853	0.0
21	36.646996910831994	1334.523961695685	0.0
22	40.406545799928	1374.930507495613	0.0
23	74.759150405016	74.759150405016	0.0
24	38.301806277504	113.06095668252	0.0
25	89.69167273248	202.752629415	0.0
26	35.035295683395006	237.78792509839502	0.0
27	49.511521467449995	287.299446565845	0.0
28	50.85440545896001	338.153852024805	0.0
29	53.20057834349999	391.35443036830503	0.0
30	64.68256160433	456.03699197263506	0.0
31	48.952666619955004	504.98965859259005	0.0
32	79.950272724	584.93993131659	0.0
33	84.17309919858	669.11303051517	0.0
34	38.150874151515	707.263904666685	0.0
35	86.23346934707999	793.497374013765	0.0
36	74.69357081004	868.190944823805	0.0
37	86.873683655565	955.06462847937	0.0
38	35.532513381914995	990.597141861285	0.0
39	74.51169984521998	1065.108841706505	0.0
40	74.419424317186	1139.528266023691	0.0
41	39.386164919731	1178.914430943422	0.0
42	73.442198398212	1252.356629341634	0.0
43	39.699005045094005	1292.0556343867281	0.0
44	35.406417827628005	1327.4620522143562	0.0
45	79.45186206926	1406.9139142836161	0.0
46	44.68026851945999	1451.5941828030761	0.0
47	38.26794519047999	1489.8621279935562	0.0
48	50.132169428119994	1539.9942974216763	0.0
49	91.964442745984	1631.9587401676604	0.0
50	58.406458876415996	1690.3651990440765	0.0
51	38.63173535712	38.63173535712	0.0
52	90.49973065023998	129.13146600736	0.0
53	95.245660328	224.37712633536	0.0
54	36.064699669439996	260.4418260048	0.0
55	39.50150105507999	299.94332705988	0.0
56	58.29420757176	358.23753463164	0.0
57	89.66979071951998	447.90732535116	0.0
58	48.32067951828	496.22800486944004	0.0
59	42.478475519392	538.706480388832	0.0
60	64.1528308608	602.859311249632	0.0
61	83.36035452096	686.219665770592	0.0
62	42.011236164105	728.2309019346969	0.0
63	36.406420149960006	764.637322084657	0.0
64	87.33555004627199	851.972872130929	0.0
65	53.48392109941499	905.4567932303439	0.0
66	36.546297018737995	942.0030902490819	0.0
67	48.761284336649986	990.7643745857318	0.0
68	50.75182843477199	1041.5162030205038	0.0
69	51.913795455648	1093.4299984761517	0.0
70	91.047975935436	1184.4779744115876	0.0
71	71.64020159009999	1256.1181760016875	0.0
72	38.684592292896	1294.8027682945835	0.0
73	39.89774536387199	1334.7005136584555	0.0
74	40.31832384215999	1375.0188375006155	0.0
75	45.552209782464	1420.5710472830795	0.0
76	36.276356298959996	1456.8474035820395	0.0
77	80.937794521344	1537.7851981033834	0.0
78	40.33731613457599	1578.1225142379594	0.0
79	34.88913026655	1613.0116445045094	0.0
80	35.861804392406	1648.8734488969153	0.0
81	75.522695896032	1724.3961447929473	0.0
82	80.631280707264	1805.0274255002114	0.0
83	74.63197655491199	74.63197655491199	0.0
84	78.11483247411199	152.74680902902398	0.0
85	40.584283033008	193.33109206203198	0.0
86	43.687189950884	237.018282012916	0.0
87	43.42323139096499	280.441513403881	0.0
88	75.677537770761	356.119051174642	0.0
89	56.63941701999	412.758468194632	0.0
90	56.162086139966	468.92055433459797	0.0
91	104.54308536635997	573.463639700958	0.0
92	66.582310969827	640.045950670785	0.0
93	87.040667990052	727.0866186608371	0.0
94	42.005164255424994	769.0917829162621	0.0
95	36.399331415700004	805.4911143319621	0.0
96	81.25138155419998	886.742495886162	0.0
97	39.882186405	926.624682291162	0.0
98	34.98182068387501	961.606502975037	0.0
99	40.480834447872	1002.087337422909	0.0
100	44.963764568268	1047.051101991177	0.0
101	40.561623318216	1087.612725309393	0.0
102	34.90786840632	1122.520593715713	0.0
103	75.790817022624	1198.311410738337	0.0
104	39.711319134912	1238.0227298732489	0.0
105	79.0452665392	1317.0679964124488	0.0
106	50.17539045388801	1367.2433868663368	0.0
107	92.50771600627202	1459.7511028726087	0.0
108	76.51659078527999	1536.2676936578887	0.0
109	50.17346380031999	1586.4411574582086	0.0
110	67.94176371417599	1654.3829211723846	0.0
111	76.69304112015999	1731.0759622925445	0.0
112	51.79322228787199	1782.8691845804165	0.0
113	77.46579423627	1860.3349788166865	0.0
114	36.0106302633	36.0106302633	0.0
115	75.61539260958399	111.626022872884	0.0
116	40.41067509215999	152.03669796504397	0.0
