task	r0_energy	r0_config	r0_reward	r0_rate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
0	37.339726972415995	0	37.339726972415995	13.37542458713409	1	0	0	0	0	0	0	0	0	0	0	0
1	40.759396659366	0	78.09912363178199	14.600380892907223	1	0	0	0	0	0	0	0	0	0	0	0
2	39.117816668501995	1	117.216940300284	14.0123522394634	0	1	0	0	0	0	0	0	0	0	0	0
3	48.22219814187601	1	165.43913844216002	17.27362321500036	0	1	0	0	0	0	0	0	0	0	0	0
4	51.59297587371201	2	217.03211431587204	18.481065984613256	0	0	1	0	0	0	0	0	0	0	0	0
5	55.779036025674	2	272.81115034154607	19.98055021815188	0	0	1	0	0	0	0	0	0	0	0	0
6	84.57485116106001	3	357.38600150260606	30.29546907261851	0	0	0	1	0	0	0	0	0	0	0	0
7	38.563490161664	3	395.94949166427006	13.813787520596058	0	0	0	1	0	0	0	0	0	0	0	0
8	80.44234066301398	4	476.391832327284	28.81516680466173	0	0	0	0	1	0	0	0	0	0	0	0
9	79.15001255632998	4	555.541844883614	28.352243303759998	0	0	0	0	1	0	0	0	0	0	0	0
10	39.311266349087994	3	594.853111232702	14.081647647434503	0	0	0	1	0	0	0	0	0	0	0	0
11	80.042480555464	4	674.8955917881659	28.67193333330054	0	0	0	0	1	0	0	0	0	0	0	0
12	77.608104245184	4	752.5036960333499	27.79991793857337	0	0	0	0	1	0	0	0	0	0	0	0
13	78.62684988542999	4	831.13054591878	28.164841750004776	0	0	0	0	1	0	0	0	0	0	0	0
14	98.969254098688	4	930.0998000174679	35.4516731099778	0	0	0	0	1	0	0	0	0	0	0	0
15	80.096634794122	4	1010.1964348115899	28.691331866551163	0	0	0	0	1	0	0	0	0	0	0	0
16	81.154543839516	4	1091.3509786511058	29.070284360423642	0	0	0	0	1	0	0	0	0	0	0	0
17	81.67588123599599	4	1173.0268598871019	29.257032084535876	0	0	0	0	1	0	0	0	0	0	0	0
18	80.14448494332001	4	1253.171344830422	28.708472218502692	0	0	0	0	1	0	0	0	0	0	0	0
19	87.002241645915	4	1340.173586476337	31.164982082118804	0	0	0	0	1	0	0	0	0	0	0	0
20	80.20524123324	4	1420.378827709577	28.730235665638208	0	0	0	0	1	0	0	0	0	0	0	0
21	76.95970999164001	4	1497.338537701217	27.56765731043821	0	0	0	0	1	0	0	0	0	0	0	0
22	116.87766986142	4	1614.216207562637	41.8666280100609	0	0	0	0	1	0	0	0	0	0	0	0
23	96.18078555873	0	96.18078555873	34.45281870760477	1	0	0	0	0	0	0	0	0	0	0	0
24	106.18937008357501	0	202.370155642305	38.037983313519405	1	0	0	0	0	0	0	0	0	0	0	0
25	43.716887863649994	1	246.087043505955	15.659780727277608	0	1	0	0	0	0	0	0	0	0	0	0
26	40.613946504999994	1	286.70099001095497	14.548279345074624	0	1	0	0	0	0	0	0	0	0	0	0
27	81.14721363	2	367.848203640955	29.067658613731343	0	0	1	0	0	0	0	0	0	0	0	0
28	82.23935085072	2	450.08755449167495	29.45887194652657	0	0	1	0	0	0	0	0	0	0	0	0
29	86.43908545344	3	536.526639945115	30.963254490784472	0	0	0	1	0	0	0	0	0	0	0	0
30	78.35015549592	3	614.876795441035	28.06572734182209	0	0	0	1	0	0	0	0	0	0	0	0
31	88.80322443299998	4	703.680019874035	31.810110244656713	0	0	0	0	1	0	0	0	0	0	0	0
32	77.75901401052	4	781.439033884555	27.85397516794746	0	0	0	0	1	0	0	0	0	0	0	0
33	79.3613001224	0	860.8003340069549	28.427928402053727	1	0	0	0	0	0	0	0	0	0	0	0
34	78.13751018932	0	938.9378441962749	27.98955588871164	1	0	0	0	0	0	0	0	0	0	0	0
35	76.83465424852001	0	1015.7724984447949	27.522861223350446	1	0	0	0	0	0	0	0	0	0	0	0
36	35.878770939728	0	1051.651269384523	12.852097053036896	1	0	0	0	0	0	0	0	0	0	0	0
