task	r0_energy	r0_config	r0_reward	r0_rate	r1_energy	r1_config	r1_reward	r1_rate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
0	54.67746715719199	0	54.67746715719199	19.58595838466579	67.62694006227599	0	67.62694006227599	24.224575544695877	2	0	0	0	0	0	0	0	0	0	0	0
1	50.245502830776	1	104.92296998796799	17.998389073710808	39.77102854543	1	107.39796860770599	14.246338583437609	0	2	0	0	0	0	0	0	0	0	0	0
2	129.66418031003997	2	234.58715029800794	46.44687055882029	36.11128133508	2	143.509249942786	12.935384358834627	0	0	2	0	0	0	0	0	0	0	0	0
3	98.791753556856	3	333.37890385486395	35.38809082633648	52.52292868914	3	196.032178631926	18.814183411035227	0	0	0	2	0	0	0	0	0	0	0	0
4	87.34645071540001	4	420.72535457026396	31.28828085327762	84.47145746684399	4	280.50363609877	30.258432525436653	0	0	0	0	2	0	0	0	0	0	0	0
5	35.258906947134	0	455.98426151739795	12.630056219868896	37.070226934999994	3	317.57386303377	13.278887260298506	1	0	0	1	0	0	0	0	0	0	0	0
6	68.055463267022	1	524.03972478442	24.378076394157134	66.53064401235	0	384.10450704612003	23.83187248203582	1	1	0	0	0	0	0	0	0	0	0	0
7	33.545305431356	1	557.585030215776	12.016228811232	71.30378729524399	0	455.408294341364	25.54165515053516	1	1	0	0	0	0	0	0	0	0	0	0
8	40.782219449267004	1	598.367249665043	14.60855622063296	36.081318071526	0	491.48961241289	12.92465124950185	1	1	0	0	0	0	0	0	0	0	0	0
9	64.07767602607	4	662.444925691113	22.95319738247283	35.93863763216999	0	527.4282500450599	12.87354183838925	1	0	0	0	1	0	0	0	0	0	0	0
10	65.18441274942101	1	727.629338440534	23.349640387852308	34.81887435062401	0	562.247124395684	12.4724326032086	1	1	0	0	0	0	0	0	0	0	0	0
11	88.83383221080001	1	816.4631706513339	31.82107422476419	66.27495597559201	0	628.5220803712759	23.740282737525497	1	1	0	0	0	0	0	0	0	0	0	0
12	103.73331637887301	1	920.196487030207	37.15820288198437	51.586307642688	0	680.1083880139639	18.478677364544957	1	1	0	0	0	0	0	0	0	0	0	0
13	50.9704692972	1	971.166956327407	18.258078554220894	52.35154217868399	0	732.4599301926479	18.75279122818531	1	1	0	0	0	0	0	0	0	0	0	0
14	38.720861608176	1	1009.887817935583	13.870159382033192	51.10726556922	0	783.5671957618679	18.307080203899705	1	1	0	0	0	0	0	0	0	0	0	0
15	46.74067296129	1	1056.628490896873	16.74292762792478	51.01491426927	0	834.5821100311379	18.273999141231048	1	1	0	0	0	0	0	0	0	0	0	0
16	44.966238024672	1	1101.594728921545	16.107309143166095	48.918175324368	0	883.5002853555059	17.52292847440048	1	1	0	0	0	0	0	0	0	0	0	0
17	34.457470506816	1	1136.052199428361	12.34297450990424	40.378585486624	0	40.378585486624	14.463970920581732	1	1	0	0	0	0	0	0	0	0	0	0
18	66.968620277376	0	1203.020819705737	23.988759502343644	40.289969648362	1	80.66855513498601	14.432227933741611	1	1	0	0	0	0	0	0	0	0	0	0
19	32.637628062687995	1	1235.658447768425	11.691090649321072	75.74252077119	2	156.411075906176	27.131649231471044	0	1	1	0	0	0	0	0	0	0	0	0
20	33.95232397939199	1	1269.6107717478171	12.162026500080714	54.34710254114401	2	210.75817844732	19.467618820708303	0	1	1	0	0	0	0	0	0	0	0	0
21	35.05363408563199	1	1304.664405833449	12.556525642614444	75.44169915733	2	286.19987760465	27.023892235461496	0	1	1	0	0	0	0	0	0	0	0	0
22	70.378947180864	3	1375.0433530143132	25.21036913941397	40.220228139519996	2	326.42010574417	14.407245900723579	0	0	1	1	0	0	0	0	0	0	0	0
23	48.683880934304	0	1423.7272339486171	17.439002125720837	40.64294359389001	2	367.06304933805995	14.55866636199045	1	0	1	0	0	0	0	0	0	0	0	0
24	76.5978313608	0	1500.3250653094171	27.43802914416716	45.327063451890005	2	412.39011278994997	16.23656004246806	1	0	1	0	0	0	0	0	0	0	0	0
25	98.05042891068801	0	1598.375494220105	35.122541699350926	51.35928094836001	2	463.74939373831	18.397354369561793	1	0	1	0	0	0	0	0	0	0	0	0
26	104.63942511443199	0	1703.0149193345371	37.48277914546817	37.41018720109	2	501.15958093940003	13.400664072032237	1	0	1	0	0	0	0	0	0	0	0	0
27	76.75594094111999	1	1779.770860275657	27.494665411744474	38.585892260630004	2	539.74547320003	13.821812153061497	0	1	1	0	0	0	0	0	0	0	0	0
28	70.59184874112	1	1850.362709016777	25.286632384878807	36.13538507744	0	36.13538507744	12.944018535202389	1	1	0	0	0	0	0	0	0	0	0	0
29	48.701427922056	1	1899.064136938833	17.445287613870804	47.69029604592	1	83.82568112336	17.083091120926568	0	2	0	0	0	0	0	0	0	0	0	0
30	231.48427619049596	1	2130.5484131293288	82.91974072495377	39.996815763744	2	123.822496887104	14.327217587012777	0	1	1	0	0	0	0	0	0	0	0	0
