policy	round	interaction	rate	joules	win
r1	0	17	27.22947697668947	72.07802729123682	64.62
r1	1	28	20.498723168959675	46.58800720218108	48.68
r1	2	45	25.24210906815702	66.81734753335682	74.6
r1	3	76	28.05251256569564	72.39358081469842	78.29
r1	4	90	30.203286006077384	75.50821501519344	81.2
r1	5	101	28.238791401474277	64.17907136698699	57.19
r2	0	31	26.74233844759449	69.01248631637289	77.0
r2	1	42	29.181769899912197	66.32220431798227	61.42
r2	2	69	24.807291078727605	64.31519909299749	72.63
r2	3	80	31.99819066135668	72.72316059399246	81.7
r2	4	94	26.37553800959223	65.93884502398058	67.81
r2	5	115	18.597415881893564	48.70751778591172	50.09
