task	reward	total_reward	total_reward_dev
0	5.4936512507444775	65.61022836872701	15.336443074995007
1	6.1310506925439405	132.2556450487965	32.452292925013516
2	4.057549097409791	176.76165381852752	23.087255815258516
3	6.297190210983342	215.015331146199	21.626161696965013
4	7.019494831512537	274.0308137766225	41.22225143493753
5	5.979599382477613	313.1710988338725	43.24053992976752
6	6.719091176245016	350.24696930018854	44.6815765437735
7	6.423864998007165	388.1470128474185	44.4798075422035
8	9.278526418647818	469.882899099477	47.624171446847015
9	8.516581602047347	549.4916894051926	47.09427469252847
10	7.192658234795704	625.4045269773305	46.85068005031053
11	6.6095670025957025	662.7861524284176	49.544855487823554
12	5.517769893444477	703.2157114758851	51.02816164803107
13	17.814310609087766	808.7806619262551	35.7338797132511
14	3.916889652912479	853.6793449785412	46.059706441125115
15	3.584334010615282	899.5064125322401	53.55327976685612
16	4.501923131728239	942.7718771228322	62.194184429224094
17	7.718833616233433	999.1688280897672	83.74259494120912
18	6.847408312981075	1055.2050144223776	64.62691340080363
19	6.403058452650747	1093.1631429087277	66.95515185163367
20	6.047813947230805	1152.1556417588736	83.83863245431974
21	4.066262995889012	1198.5420830877022	95.1902833178433
22	3.2233207288901484	1245.376979386217	91.70276368875635
23	5.6536687740093114	735.2052766197107	684.3230301982628
24	14.173017762495641	120.84079779769101	45.90869858314702
25	3.693025375278568	166.364435291705	54.24165124331302
26	7.298600000154989	226.120275139199	74.61690957707903
27	6.376306120626208	264.1530872191175	75.06376854028552
28	7.926490362149254	342.1145394801175	76.83297699360551
29	7.656883142120471	419.3233382518705	78.75152378535253
30	5.7441435483235805	459.1209375128005	77.99848933842253
31	6.291100030811937	497.39161659345046	79.30617002817252
32	6.880284384547821	534.0174893532545	78.16486306756852
33	5.182992055874631	575.3816365306045	82.56601185401851
34	4.123832533563221	621.8527975703005	71.05364603115447
35	14.993445299872477	698.6575571887965	29.19694456901044
36	4.153683596041551	742.8951904831805	20.665182086226423
37	8.36525442244585	801.3209189990365	2.687819843101579
38	6.335990629069374	839.4662784928845	5.8679418838295305
39	5.0471808212874025	881.2095653667905	2.045872227503537
40	6.978646257510212	917.5608445645744	3.4016004317275588
41	11.07994021653564	986.1275068019204	27.52989933943445
42	6.828335895568957	1022.8984024267904	26.487067913204385
43	4.482168989621312	1066.219013997431	18.36327693650992
44	9.380066323878804	1130.133427908176	44.54929542400487
45	6.47786199927797	1188.411691715925	62.633326838655876
46	2.855120749753734	610.7519703455721	561.7498152975721
47	4.804419716445132	679.8572083385361	548.3374769224961
48	7.514205546762266	751.6448995712541	569.3146340738741
49	3.0255628227114055	799.0318700245182	563.9616315984181
50	6.777215374067586	835.9454771052461	564.2751315509462
51	6.784013109955822	872.8401071732861	563.4786943039862
52	7.8160188450794	950.4931597824661	553.4642518138062
53	7.531849482053736	1010.3463499550661	574.4906649512061
54	3.7298283542286566	1055.767245799511	580.2840771390113
55	3.6391921952250765	1101.4411675878412	586.9588822811813
56	6.477497820843583	1174.4705123614463	568.8758675313263
57	5.220838125291225	1241.2261117973844	554.3010277648883
58	6.245442680154031	1279.6242509819542	558.5943325238184
59	8.751543385072829	1341.9340062650842	583.0257244738133
60	6.5485769111525975	1416.0487834753853	575.4446765791373
61	4.322313521394566	1459.8156582281588	576.2683674971138
62	3.7165672896491975	1505.2735745445548	570.3816657674679
63	6.112609280766389	1544.0425403024153	573.0400808052325
64	5.9165925691557035	1616.3930278913085	578.2927855850595
65	6.4076524237672245	1654.338331541625	582.922294486788
66	4.261268628382566	1704.9273486713369	571.0262528992199
67	11.586063122438691	1775.9442699718727	538.6818266824118
68	9.38901207840036	1840.0491980161437	512.4708346302109
69	12.428774447173254	1912.7718826258856	477.77383929851885
70	1.5794326843748046	1252.5373634196533	1199.6821105394154
71	4.266595416231519	1296.4597845493404	1193.4930047244625
72	5.368228133776239	1337.3068143425485	1194.1268355576144
73	8.023497460048295	1408.12196028964	1216.525765966916
74	6.114882253266925	1446.8845806659365	1219.4746247391845
75	3.0272712252628047	1494.2667818287446	1225.1121280954726
76	4.857423874858027	1560.1055819815367	1211.5518197781607
77	5.553611147374927	1610.1288777256516	1227.0556508979155
78	9.581109193034326	1673.7320245958729	1253.802914061803
79	6.106344676127047	1712.518479041685	1256.567580419231
80	7.316390755143524	1747.9268881835758	1258.3161893840897
81	3.9139128701163015	1792.833881421168	1250.776470016946
82	5.551715086427817	1846.480376529549	1235.2779320673349
83	9.327004460180657	1928.3515973142198	1235.4838634635018
84	6.905372443830211	1964.907432575194	1236.106718071688
85	4.051667413738867	2009.4298610451729	1243.3580989198667
86	5.041582834039287	2051.18877563348	1238.8608632951739
87	8.345196379970865	2109.9550376228717	1262.1578698559258
88	5.481705367776478	2150.4852768044957	1263.4806515632538
89	5.908307326583404	2189.824585517784	1261.63342050483
90	2.024945267752603	2240.004946645308	1257.9877729997938
91	3.9747774369855557	2284.7420263003896	1250.706401908328
92	8.25420381628782	2345.182004378369	1227.6634162545245
93	12.132654300986506	2421.0282895581113	1193.7930896642704
94	3.8945933876838232	2465.9892163508275	1203.4171069615386
95	3.709733728580777	2513.1466658650834	1213.7734469538266
96	11.985435853980896	2581.7791869537978	1247.2327887128565
97	13.940468554278452	2655.9807792680913	1286.1499300935504
98	3.939555230949253	2700.8161875816913	1295.1465081899103
99	7.715939657886804	2761.8586635844813	1316.6868397348442
100	6.96275454911797	2798.25430713486	1317.8225801754231
101	4.970624070372479	2840.211314938404	1325.2394662675906
102	6.836052718205853	2876.9606677667457	1326.8049067705244
103	7.625511825833195	831.8156204991616	753.7899933176595
104	7.617463694024597	891.1791437180096	775.0554127968115
105	5.940832228357974	950.9927003379436	791.6402361009776
106	3.52591728493021	998.4705944272071	781.797050347214
107	3.3777776831313444	1044.8742983951322	790.8650493893891
108	7.719956772063048	1101.7314893804082	769.3135034007131
109	7.851173718491463	1162.173375388286	791.231363364835
110	6.009810490978506	1201.229321100971	791.4028828151501
111	4.934141680055642	1265.992364605793	777.628403958328
112	14.221897657491642	1361.5284955662905	773.7637160897306
113	13.650027544040963	1451.0510521138717	735.6573891959497
114	7.426030987508417	1524.3381228087328	714.9263860224887
115	1.9324719037063858	1576.0553810087517	709.5315686246416
116	3.860850959157612	1621.1105054144368	700.1183223133066
117	9.813069971626394	1684.8397686196938	672.7235019758497
118	5.0820466083203595	1726.485721838133	667.6938273629108
119	6.689608814293373	1763.6438972315639	666.3371646416797
120	6.256701988143165	1802.010604181331	665.0602326533827
