task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r1_energy	r1_config	r1_reward	r1_rate	r1_avgrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
0	8.995822606706387	0	80.94667144372201	28.995822606706387	28.995822606706387	1.991479894782568	0	50.273785293732	18.008520105217432	18.008520105217432	2	0	0	0	0	0	0	0	0	0	0	0
1	10.004035771971825	0	164.70793797381003	30.004035771971825	23.862556374183402	2.258065613116056	0	99.803352123783	17.741934386883944	18.349181851136596	2	0	0	0	0	0	0	0	0	0	0	0
2	7.412189256128	1	199.84890963378604	12.587810743872	18.59042643575427	0.7029089386915821	1	153.674398003269	19.297091061308418	17.088404078268898	0	2	0	0	0	0	0	0	0	0	0	0
3	6.820567208581014	1	236.64149284316403	13.179432791418986	17.975537580626863	5.7738132133856706	1	193.389169449234	14.22618678661433	15.88121913049576	0	2	0	0	0	0	0	0	0	0	0	0
4	8.15936920658961	2	315.25306521156006	28.15936920658961	18.694057209534805	5.879620456435465	2	232.808562341685	14.120379543564535	13.88133264487594	0	0	2	0	0	0	0	0	0	0	0	0
5	5.25663036940418	2	356.41163876364004	14.74336963059582	18.899946626960954	6.7025683955510456	2	269.930558904105	13.297431604448954	13.394175917275343	0	0	2	0	0	0	0	0	0	0	0	0
6	6.202898956302571	3	394.928545843962	13.79710104369743	14.014776737679043	7.2352833961874605	3	305.565392756415	12.76471660381254	13.236852891167763	0	0	0	2	0	0	0	0	0	0	0	0
7	6.496140461256122	3	432.626820389622	13.503859538743878	19.235275436738387	6.351589534758208	3	343.667205305215	13.648410465241792	18.18843805952537	0	0	0	2	0	0	0	0	0	0	0	0
8	10.404865727773846	4	517.507070546324	30.404865727773846	24.07849770194137	8.15218710952179	4	422.25872765263	28.15218710952179	23.502330979850626	0	0	0	0	2	0	0	0	0	0	0	0
9	8.326767839306392	4	596.585964097721	28.32676783930639	28.6123446731963	8.706395364788303	4	502.39741471266404	28.706395364788303	28.04616616379761	0	0	0	0	2	0	0	0	0	0	0	0
10	7.105400452508661	2	672.2552070276411	27.10540045250866	23.26255968596024	7.279916017082748	4	578.55384692702	27.279916017082748	22.803888870204656	0	0	1	0	1	0	0	0	0	0	0	0
11	5.644489233934326	2	712.3310079162411	14.355510766065674	18.824824958351645	7.574644771257079	0	613.241296940594	12.425355228742921	17.885389267485372	1	0	1	0	0	0	0	0	0	0	0	0
12	4.986436343519401	3	754.2438731239162	15.0135636564806	20.568278759625674	6.049103443369553	2	652.187549827854	13.950896556630447	23.223037049072715	0	0	1	1	0	0	0	0	0	0	0	0
13	12.335761856330755	2	844.5145416395062	32.335761856330755	22.37707982130448	23.292859361844776	1	773.046782213004	43.292859361844776	23.209354220516058	0	1	1	0	0	0	0	0	0	0	0	0
14	0.21808604889790928	2	899.7390514196662	19.78191395110209	23.73920228957374	7.615693256927049	0	807.619638537416	12.384306743072951	23.136189007466267	1	0	1	0	0	0	0	0	0	0	0	0
15	0.9000689387116374	3	953.0596922990962	19.099931061288363	19.158390437319408	6.268599082518927	2	845.953132765384	13.731400917481073	12.839511699176596	0	0	1	1	0	0	0	0	0	0	0	0
16	1.4066737004322363	2	1004.9660615520562	18.593326299567764	21.871327953589258	7.597172563024241	0	880.577692693608	12.402827436975759	12.872429207300536	1	0	1	0	0	0	0	0	0	0	0	0
17	7.920726499911645	3	1082.9114230309763	27.920726499911645	19.913102749144482	7.516940732555222	0	915.426233148558	12.483059267444778	17.268652926112242	1	0	0	1	0	0	0	0	0	0	0	0
18	6.77474455204597	0	1119.8319278231813	13.22525544795403	18.525639786066268	6.920072073916181	2	990.5781010215741	26.92007207391618	17.38869234190878	1	0	1	0	0	0	0	0	0	0	0	0
19	5.569062589666869	0	1160.1182947603613	14.430937410333131	18.27854939489158	7.237054315634625	3	1026.207991057094	12.762945684365375	18.25561506340251	1	0	0	1	0	0	0	0	0	0	0	0
20	7.179455326387579	1	1235.9942742131934	27.17945532638758	20.76423147252107	4.91617256807403	2	1068.317009304554	15.08382743192597	13.46551626845194	0	1	1	0	0	0	0	0	0	0	0	0
21	0.6823016808425031	1	1293.7323664055455	20.682301680842503	21.129725171893966	7.450224310935521	2	1103.3517997698589	12.549775689064479	15.21984771825278	0	1	1	0	0	0	0	0	0	0	0	0
22	4.472581491548182	0	1337.0797430749735	15.527418508451818	21.91451135579462	1.9740599662321152	1	1153.6742156974608	18.025940033767885	16.267397350967762	1	1	0	0	0	0	0	0	0	0	0	0
23	9.533813878089546	0	1419.5283068179735	29.533813878089546	23.967527119638444	1.7735236699290766	0	50.882246421448	18.226476330070923	25.91903430548538	2	0	0	0	0	0	0	0	0	0	0	0
24	6.841348972373961	0	74.93209921454398	26.84134897237396	23.232399736285604	21.504686552617322	0	166.74949638083802	41.50468655261732	26.341025257912595	2	0	0	0	0	0	0	0	0	0	0	0
25	6.677963641606688	0	112.12278404839198	13.322036358393312	18.089954096969546	0.7080871089504477	1	220.60608653501802	19.291912891049552	29.833425468039408	1	1	0	0	0	0	0	0	0	0	0	0
26	5.8935230398586285	1	151.50336556211997	14.106476960141372	13.630712771855281	8.70367696045135	1	300.737184716278	28.70367696045135	20.593117537739108	0	2	0	0	0	0	0	0	0	0	0	0
27	6.5363750029688354	1	189.08931867883197	13.463624997031165	18.287615335894923	6.216237238283581	2	339.216855759403	13.78376276171642	23.682558798651346	0	1	1	0	0	0	0	0	0	0	0	0
28	7.292744050512237	2	265.281562486512	27.292744050512237	22.575337182614685	8.560236673786271	2	418.947516473723	28.56023667378627	23.56270773981433	0	0	2	0	0	0	0	0	0	0	0	0
29	6.969642500300651	2	340.57181446651794	26.96964250030065	22.929328894990565	8.34412378394029	3	498.074862037223	28.34412378394029	23.630157742306864	0	0	1	1	0	0	0	0	0	0	0	0
30	5.474399865841189	3	381.12244817437795	14.525600134158811	18.245239890001912	6.013887230805972	3	537.119426851223	13.986112769194028	18.835853151988058	0	0	0	2	0	0	0	0	0	0	0	0
31	6.759522964453732	3	418.08544656527795	13.240477035546268	13.764873053034988	5.822677097170143	4	576.697786621623	14.177322902829857	13.624774971176121	0	0	0	1	1	0	0	0	0	0	0	0
32	6.4714580106001165	4	455.852626285686	13.528541989399884	13.336498686830808	7.289110758495525	4	612.182352420823	12.710889241504475	14.427250332346267	0	0	0	0	2	0	0	0	0	0	0	0
33	6.759522964453732	4	492.81562467658597	13.240477035546268	15.846412534193194	3.60646114729553	0	657.947648384623	16.39353885270447	13.875660534905313	1	0	0	0	1	0	0	0	0	0	0	0
34	0.7702185776334289	0	550.799151539146	20.77021857763343	25.50543120407164	7.477446489493014	4	692.906443601455	12.522553510506986	13.811599920833908	1	0	0	0	1	0	0	0	0	0	0	0
