task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r0_rollrate	r1_energy	r1_config	r1_reward	r1_rate	r1_avgrate	r1_rollrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
0	15.145835855202984	0	41.467874904225	14.854164144797016	14.854164144797016	14.854164144797016	1.7501518795450721	0	78.86415933627002	28.249848120454928	28.249848120454928	28.249848120454928	2	0	0	0	0	0	0	0	0	0	0	0
1	16.496832988479404	0	79.16421614472	13.503167011520596	14.178665578158807	14.178665578158807	1.4854529325904409	0	158.46726989945503	28.51454706740956	28.382197593932244	28.382197593932244	2	0	0	0	0	0	0	0	0	0	0	0
2	16.725276904709737	1	116.22281811907199	13.274723095290263	13.877351417202625	13.877351417202625	14.108705521484415	1	202.83046698531103	15.891294478515585	24.21856322212669	24.21856322212669	0	2	0	0	0	0	0	0	0	0	0	0
3	16.042708614740782	1	155.186923236254	13.95729138525922	13.897336409216773	13.897336409216773	15.841962906852535	1	242.35498720368105	14.158037093147465	21.703431689881885	21.703431689881885	0	2	0	0	0	0	0	0	0	0	0	0
4	16.795127172015043	2	192.050526547712	13.204872827984955	13.75884369297041	13.75884369297041	15.95029233290042	2	281.577087774334	14.04970766709958	20.172686885325426	20.172686885325426	0	0	2	0	0	0	0	0	0	0	0	0
5	14.962060774069254	2	234.031440220102	15.037939225930746	13.972026281797133	13.972026281797133	17.2967807010806	2	317.040241650484	12.7032192989194	18.92777562092442	18.92777562092442	0	0	2	0	0	0	0	0	0	0	0	0
6	10.675459404357493	3	287.979116049604	19.324540595642507	14.736671183775043	14.736671183775043	1.6569454285723069	3	405.41588097191504	31.656945428572307	20.746228450588404	20.746228450588404	0	0	0	2	0	0	0	0	0	0	0	0
7	10.74115422210842	3	341.743393846218	19.25884577789158	15.30194300803961	15.30194300803961	2.9819728639597614	3	480.84120672669405	27.01802713604024	21.530203286269884	21.530203286269884	0	0	0	2	0	0	0	0	0	0	0	0
8	2.4670593873327746	4	418.606186389914	27.532940612667225	16.660942741887123	16.660942741887123	2.6906528772680574	4	557.0798007776541	27.309347122731943	22.172330379210113	22.172330379210113	0	0	0	0	2	0	0	0	0	0	0	0
9	0.2361850331777866	4	503.01553627420196	30.236185033177787	18.01846697101619	18.01846697101619	2.870532887968473	4	648.8433717565661	32.87053288796847	23.24215063008595	23.24215063008595	0	0	0	0	2	0	0	0	0	0	0	0
