count	name	metric	meet
100	oracle	52.89469241994001	yes
100	l1	40.11319837392801	yes
100	l2	36.64091654496	yes
100	l3	35.84831023972	yes
100	pessimist	69.823044527936	no
101	oracle	99.04763977902	no
101	l1	68.882925862764	no
101	l2	67.47585122922	no
101	l3	38.740849538508	yes
101	pessimist	74.6873411427	no
102	oracle	51.48272870517	yes
102	l1	60.852065817564	no
102	l2	46.650589958699996	yes
102	l3	82.857301346074	no
102	pessimist	68.83712746552	no
103	oracle	39.214926449174996	yes
103	l1	82.459783491584	no
103	l2	69.1983509364	no
103	l3	130.45928098764003	no
103	pessimist	88.63475446892002	no
104	oracle	37.98366930048	yes
104	l1	74.26328991807	no
104	l2	66.45759315148798	no
104	l3	34.967884513185	yes
104	pessimist	87.8742237318	no
105	oracle	36.79027843721999	yes
105	l1	34.787186440918	yes
105	l2	36.41168354846399	yes
105	l3	34.93887087249	yes
105	pessimist	84.7800552468	no
106	oracle	49.571893600067995	yes
106	l1	40.229409572196	yes
106	l2	104.86373521381799	no
106	l3	234.45953234023202	no
106	pessimist	78.474718246144	no
107	oracle	40.570123960584	yes
107	l1	40.564694258112006	yes
107	l2	47.92546057807199	yes
107	l3	86.959026528336	no
107	pessimist	70.40145060898399	no
108	oracle	46.376626238202	yes
108	l1	36.37006021202401	yes
108	l2	35.736878948232	yes
108	l3	38.37492629107201	yes
108	pessimist	68.23811996880299	no
109	oracle	127.79170583255998	no
109	l1	36.057751620345	yes
109	l2	68.28152997913799	no
109	l3	36.16134473196	yes
109	pessimist	74.406137382108	no
110	oracle	77.85201452279999	no
110	l1	38.98906839827999	yes
110	l2	35.92068502449	yes
110	l3	35.700605630028	yes
110	pessimist	70.90706803219202	no
111	oracle	74.116127969082	no
111	l1	36.044166302235	yes
111	l2	83.72786419483499	no
111	l3	72.15386227048802	no
111	pessimist	66.502212536415	no
112	oracle	68.64889653918401	no
112	l1	36.29355682679999	yes
112	l2	49.076664231011996	yes
112	l3	80.458589861778	no
112	pessimist	66.515039212944	no
113	oracle	37.00932728297	yes
113	l1	34.6004780121	yes
113	l2	46.99975951718399	yes
113	l3	39.60192557662	yes
113	pessimist	80.342502165099	no
114	oracle	36.019313466012	yes
114	l1	46.07957812903201	yes
114	l2	68.25275172707998	no
114	l3	48.883347015888	yes
114	pessimist	100.655171636988	no
115	oracle	35.806182975240006	yes
115	l1	50.51256536202	yes
115	l2	36.74150752623999	yes
115	l3	55.86045013788	yes
115	pessimist	67.242058307562	no
116	oracle	38.841798134172	yes
116	l1	40.68614861438401	yes
116	l2	68.92458948608	no
116	l3	48.854435052543	yes
116	pessimist	76.680113005182	no
117	oracle	35.179132878164	yes
117	l1	39.403055849494	yes
117	l2	50.6587285296	yes
117	l3	71.956924604629	no
117	pessimist	75.853441687488	no
118	oracle	35.161971702849	yes
118	l1	38.88076415216	yes
118	l2	62.797591632999996	no
118	l3	69.86642170192398	no
118	pessimist	67.85414878254	no
119	oracle	38.831047236669	yes
119	l1	40.52550003327	yes
119	l2	53.90819098924	yes
119	l3	38.254650802808	yes
119	pessimist	87.52200156711001	no
