task	r0_energy	r0_config	r0_reward	r0_rate	r1_energy	r1_config	r1_reward	r1_rate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
0	63.673740691694995	0	63.673740691694995	22.808504128368355	83.9762548885	0	83.9762548885	30.08104652722388	2	0	0	0	0	0	0	0	0	0	0	0
1	89.99721844451999	0	153.67095913621498	32.23780959206687	66.830064364008	0	150.806319252508	23.939127533376	2	0	0	0	0	0	0	0	0	0	0	0
2	73.80409567283999	0	227.47505480905497	26.43728800221134	65.563483414528	0	216.36980266703597	23.485426894756294	2	0	0	0	0	0	0	0	0	0	0	0
3	67.36418589383999	0	294.8392407028949	24.130454648539697	67.994333077352	0	284.36413574438797	24.356179012782803	2	0	0	0	0	0	0	0	0	0	0	0
4	66.43655380381499	0	361.27579450670993	23.798168526739694	71.43428070310401	0	355.79841644749195	25.588399057828305	2	0	0	0	0	0	0	0	0	0	0	0
5	66.43876798657799	0	427.71456249328793	23.798961666833904	68.74728920136	0	424.54570564885194	24.625894639293133	2	0	0	0	0	0	0	0	0	0	0	0
6	72.69645096792	0	500.4110134612079	26.040519749702685	74.35564543615999	0	498.9013510850119	26.634858066684178	2	0	0	0	0	0	0	0	0	0	0	0
7	81.52157616525	0	581.9325896264579	29.201758626358206	76.82902619084	0	575.7303772758519	27.52084520268895	2	0	0	0	0	0	0	0	0	0	0	0
8	71.49948290717398	0	653.4320725336319	25.611755071226497	78.73904514009601	0	654.4694224159479	28.20503109495976	2	0	0	0	0	0	0	0	0	0	0	0
9	64.19766221505	0	717.6297347486818	22.996177509868655	66.531548518512	0	721.0009709344598	23.832196484243102	2	0	0	0	0	0	0	0	0	0	0	0
10	66.773470932532	0	784.4032056812139	23.918855259414453	81.13012955501999	0	802.1311004894798	29.061538945081786	2	0	0	0	0	0	0	0	0	0	0	0
11	70.252706543285	0	854.6559122244989	25.165148612520003	93.32160343857002	0	895.4527039280498	33.42863406754748	2	0	0	0	0	0	0	0	0	0	0	0
12	67.81884742769499	0	922.4747596521939	24.29331848156238	84.73662677656802	0	980.1893307046178	30.353418546830333	2	0	0	0	0	0	0	0	0	0	0	0
13	66.027614912406	0	988.5023745645999	23.651682953697673	85.94411517595802	0	1066.133445880576	30.785951704820786	2	0	0	0	0	0	0	0	0	0	0	0
14	87.71067459976499	0	1076.213049164365	31.418749110363578	68.306971656352	0	1134.440417536928	24.468168951529076	2	0	0	0	0	0	0	0	0	0	0	0
15	82.27469364839999	0	1158.487742812765	29.471532053158207	66.90401504432799	0	1201.344432581256	23.96561732931152	2	0	0	0	0	0	0	0	0	0	0	0
16	94.91792201749999	0	1253.4056648302649	34.00044967791044	76.89450694525598	0	1278.2389395265118	27.54430099531558	2	0	0	0	0	0	0	0	0	0	0	0
17	72.67134176207999	0	1326.0770065923448	26.031525407312234	95.957758873856	0	1374.1966984003677	34.37292855182901	2	0	0	0	0	0	0	0	0	0	0	0
18	64.99967113476	0	1391.0766777271049	23.28346428707821	64.679241042306	0	1438.8759394426738	23.16868335843797	2	0	0	0	0	0	0	0	0	0	0	0
19	65.67393836123999	0	1456.750616088345	23.524992845817312	64.177221303184	0	1503.053160745858	22.988855392185314	2	0	0	0	0	0	0	0	0	0	0	0
20	64.0296221448	0	1520.780238233145	22.935984051868658	66.43658706009599	0	1569.4897478059538	23.798180439437367	2	0	0	0	0	0	0	0	0	0	0	0
21	73.61897024988	0	1594.399208483025	26.370974417867462	69.79534758202	0	1639.2850953879738	25.001318536842987	2	0	0	0	0	0	0	0	0	0	0	0
22	80.70211464744	0	1675.101323130465	28.908220172217312	72.64732130924001	0	1711.9324166972137	26.02292106599642	2	0	0	0	0	0	0	0	0	0	0	0
23	62.93636939720001	0	1738.037692527665	22.54437112735523	72.65216365693601	0	1784.5845803541497	26.02465563830544	2	0	0	0	0	0	0	0	0	0	0	0
24	65.88707688959	0	1803.924769417255	23.601340975375525	65.220721858356	0	1849.8053022125057	23.362646635829016	2	0	0	0	0	0	0	0	0	0	0	0
25	65.141781531156	0	1869.066550948411	23.334369503697665	68.770600117648	0	1918.5759023301537	24.63424481826197	2	0	0	0	0	0	0	0	0	0	0	0
26	66.016881556164	0	1935.083432504575	23.647838169372175	68.24642369075599	0	1986.8223260209097	24.44648012803199	2	0	0	0	0	0	0	0	0	0	0	0
27	65.99640100724	0	2001.079833511815	23.640501853339703	78.24969229746198	0	2065.0720183183716	28.029740524463993	2	0	0	0	0	0	0	0	0	0	0	0
28	86.600491114896	0	2087.680324626711	31.02107144414185	69.841701166482	0	2134.9137194848536	25.017922805904	2	0	0	0	0	0	0	0	0	0	0	0
29	62.554889235850005	0	2150.235213862561	22.40772151731941	65.158751431963	0	2200.0724709168167	23.340448274136	2	0	0	0	0	0	0	0	0	0	0	0
30	63.207142508290005	0	2213.442356370851	22.64136448058149	71.146949432215	0	2271.2194203490317	25.485474423480003	2	0	0	0	0	0	0	0	0	0	0	0
31	65.03016697507	0	2278.472523345921	23.294388170174333	86.03690004382499	0	2357.2563203928567	30.819188075399996	2	0	0	0	0	0	0	0	0	0	0	0
32	77.567572944264	0	2356.0400962901854	27.785399263616956	80.960489469423	0	2438.2168098622797	29.000772347256	2	0	0	0	0	0	0	0	0	0	0	0
33	75.28226745375001	0	2431.3223637439355	26.966782371492542	88.46644886398799	0	2526.6832587262675	31.689474219935995	2	0	0	0	0	0	0	0	0	0	0	0
34	82.63897302970801	0	2513.9613367736433	29.60202018974616	83.52240003536	0	2610.2056587616275	29.918471654457317	2	0	0	0	0	0	0	0	0	0	0	0
35	72.26932186802401	0	2586.230658641667	25.887518281083228	85.48996494167999	0	2695.6956237033073	30.623271023885366	2	0	0	0	0	0	0	0	0	0	0	0
36	63.49078401767999	0	2649.7214426593473	22.742967409318208	74.81305919786399	0	2770.508682901171	26.798707772369184	2	0	0	0	0	0	0	0	0	0	0	0
37	65.292237751104	0	2715.0136804104513	23.388264269052176	77.208326140608	0	2847.717009041779	27.65671384141182	2	0	0	0	0	0	0	0	0	0	0	0
38	62.427534786744005	0	2777.4412151971956	22.362102013162033	70.69073700686401	0	2918.407746048643	25.322055047234866	2	0	0	0	0	0	0	0	0	0	0	0
39	64.172781310144	0	2841.6139965073394	22.98726494691725	69.597583720704	0	2988.0053297693466	24.930477750699936	2	0	0	0	0	0	0	0	0	0	0	0
40	63.603470500469996	0	2905.2174670078093	22.78333271658627	73.94028296896799	0	3061.9456127383146	26.486071511272122	2	0	0	0	0	0	0	0	0	0	0	0
41	63.888719970348006	0	2969.1061869781574	22.88551163116944	65.62084922553599	0	3127.5664619638505	23.50597584198304	2	0	0	0	0	0	0	0	0	0	0	0
42	63.897237330696	0	3033.0034243088535	22.888562625920954	92.50922869551	0	3220.0756906593606	33.13763415958567	2	0	0	0	0	0	0	0	0	0	0	0
43	67.657890908475	0	3100.6613152173286	24.23566241497612	65.17266624099	0	3285.2483569003507	23.345432683339702	2	0	0	0	0	0	0	0	0	0	0	0
44	71.237380737222	0	3171.8986959545505	25.517867726766088	68.70361047363	0	3353.9519673739806	24.61024852786746	2	0	0	0	0	0	0	0	0	0	0	0
45	62.93004005339999	0	3234.8287360079503	22.542103899725372	71.321429816208	0	3425.2733971901885	25.54797485953719	2	0	0	0	0	0	0	0	0	0	0	0
46	79.44754091030998	0	3314.2762769182605	28.458820624588654	66.82880562850801	0	3492.1022028186962	23.938676643047643	2	0	0	0	0	0	0	0	0	0	0	0
