task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r0_rollrate	r1_energy	r1_config	r1_reward	r1_rate	r1_avgrate	r1_rollrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19
0	2.3764644643022734	0	87.686257924152	32.37646446430227	32.37646446430227	32.37646446430227	17.000102351477167	0	35.208056131416	12.999897648522833	12.999897648522833	12.999897648522833	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	15.082119670709172	1	128.08885048264798	14.917880329290828	23.64717239679655	23.64717239679655	16.864354367635944	1	70.783763052402	13.135645632364056	13.067771640443445	13.067771640443445	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	15.679805677956926	2	166.87271010484798	14.320194322043074	20.538179705212055	20.538179705212055	6.587869894855373	2	169.87591068430197	36.58786989485537	20.907804391914087	20.907804391914087	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	15.618846822273971	3	205.82166662785596	14.381153177726029	18.99892307334055	18.99892307334055	8.961541600322953	3	226.85506885009397	21.038458399677047	20.94046789385483	20.94046789385483	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	15.737152271601966	4	244.45021255893397	14.262847728398034	18.051708004352044	18.051708004352044	7.281632996292913	4	327.82615821505397	37.28163299629291	24.208700914342447	24.208700914342447	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	16.977875670978463	5	279.718465950034	13.022124329021537	17.213444058463626	17.213444058463626	11.186174594141537	5	378.78026868925394	18.813825405858463	23.30955499626178	23.30955499626178	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	14.430073218623997	6	321.887017649594	15.569926781376003	16.978655876022536	16.978655876022536	9.059965945256863	6	435.4928609208499	20.940034054743137	22.97105200461626	22.97105200461626	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
7	11.986628438251195	7	435.600803003191	41.986628438251195	20.10465244630112	20.10465244630112	16.66294695012628	7	471.6140462642579	13.33705304987372	21.766802135273444	21.766802135273444	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
8	15.28326824016	8	475.45861818609103	14.71673175984	19.505994592249884	19.505994592249884	13.785708686650342	8	515.5277519045799	16.21429131334966	21.149856488393024	21.149856488393024	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
9	0.7880185441487981	9	558.842835076494	30.788018544148798	20.634196987439775	20.634196987439775	15.118408387506461	9	555.8320625217499	14.881591612493539	20.523030000803075	20.523030000803075	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
10	18.308670016867197	10	590.506853780812	11.691329983132801	19.821209077957324	18.565683539322826	18.17233547630326	10	587.8653206067619	11.82766452369674	19.732542230157044	20.405806688320467	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
11	18.3144119678688	11	622.155321367834	11.685588032131202	19.14324065747181	18.242454309606863	18.04891096923397	11	620.2328533984199	11.951089030766031	19.08408779687446	20.287351028160664	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
12	1.47700128777268	12	699.4051095467829	28.52299871222732	19.86476050783762	19.66273474862529	16.303897258342154	12	657.3264649904099	13.696102741657846	18.669627408011646	17.99817431284091	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
13	11.8462336537728	13	748.571560067815	18.1537663462272	19.74254663915116	20.039996065475407	18.303173509738336	13	689.005370068202	11.696826490261664	18.171570199600932	17.064011121899373	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
14	5.153641178767394	14	843.7793382603099	35.153641178767394	20.769952941792244	22.129075410512346	0.07937302086793352	14	770.040401470018	29.920626979132066	18.954840651569672	16.327910520183288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
15	10.395107528824617	15	896.87592203641	19.604892471175383	20.69713666237869	22.787352224727734	15.427121162991874	15	809.508614986915	14.572878837008126	18.680968038159577	15.903815863298252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
16	9.013933210988313	16	953.7131862566499	20.986066789011687	20.714132552180633	23.3289662254913	15.98483784069563	16	847.466345835031	14.01516215930437	18.406508868815155	15.211328673754375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
17	4.858317355236185	17	1021.805243419552	25.141682644763815	20.960107557324143	21.644471646142563	15.966197261688002	17	885.474561584626	14.033802738311998	18.163580750453868	15.281003642598202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
18	9.6971735972928	18	1076.792064926884	20.3028264027072	20.925513812344303	22.203081110429284	3.6415339523372268	18	956.862073797046	26.358466047662773	18.594890502938547	16.295421116029516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
19	1.605183738299072	19	1162.389437551444	31.605183738299072	21.45949730864204	22.284797629844313	2.394222026176976	19	1044.596425117942	32.394222026176976	19.28485707910047	18.04668415739786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
20	17.207064343678525	11	1197.036971620648	12.792935656321474	21.046803896626773	22.394958197163177	18.869756685669785	0	1074.7408340942532	11.130243314330217	18.89654213792093	17.976942036461207	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
21	18.444969652551876	14	1228.33184547832	11.555030347448122	20.61535964439138	22.38190242869487	14.42152127245551	10	1116.9325473146862	15.57847872754449	18.745721073812913	18.339681006139052	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
22	18.502704265907447	10	1259.470354758154	11.497295734092553	20.21892208307404	20.679332130881388	16.09665406530683	17	1154.5874425544803	13.903345934693169	18.535183024285967	18.36040532544258	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
23	8.060002980278771	2	1318.891180019899	21.93999701972123	20.290633538767672	21.057955198230793	15.794487233450218	9	1193.0607062972192	14.205512766549782	18.354780096880294	18.611273953071397	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
24	0.6861150937403053	4	1398.2829516410188	29.313884906259695	20.651563593467355	20.47397957098002	17.079894232094034	14	1228.0526594186313	12.920105767905968	18.13739312372132	16.911221831948787	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
25	16.28395009422905	15	1435.430586802482	13.716049905770953	20.384813067017493	19.885095314439578	15.997710481553725	18	1265.9755268644233	14.002289518446275	17.97835067736459	16.8541629000926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
26	18.43371002046277	13	1466.755955497062	11.566289979537233	20.05820110081452	18.943117633492133	9.378331322549165	16	1321.8258795325194	20.621668677450835	18.076251344034446	17.51481355190725	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
27	10.096395597619196	18	1520.6615507535098	19.903604402380804	20.052679790156173	18.419309809253832	5.181396842188796	19	1417.1088293134474	35.181396842188796	18.68714939753996	19.62957296229493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
28	18.553924558697354	14	1551.6613384070379	11.446075441302648	19.75590032985088	17.53363471311338	2.94100523781416	15	1506.3240518325274	32.94100523781416	19.178661667894243	20.287826881310068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
29	16.638421920430893	15	1587.8489457058708	13.361578079569107	19.54275625484149	15.709274147240382	10.530624315241838	19	1616.0944926863074	40.53062431524184	19.890393756139165	21.101467110216554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
30	0.25043615107052375	17	1669.7772102816868	30.250436151070524	19.8881652837521	17.45502419671529	0.0699187949741571	19	1697.5338560893624	30.069918794974157	20.21876553158545	22.99543465828095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
31	15.633430995424616	9	1708.6866680024118	14.366569004575384	19.71561540002783	17.736178062428014	1.7748287587181508	19	1783.5906839775573	31.77482875871815	20.57989250743335	24.615069661398312	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
