task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r0_rollrate	r1_energy	r1_config	r1_reward	r1_rate	r1_avgrate	r1_rollrate	r2_energy	r2_config	r2_reward	r2_rate	r2_avgrate	r2_rollrate	r3_energy	r3_config	r3_reward	r3_rate	r3_avgrate	r3_rollrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	c25	c26	c27	c28	c29
0	14.793779177472002	0	41.18351472768	15.206220822527998	15.206220822527998	15.206220822527998	18.531544120125044	0	31.060401341328003	11.468455879874956	11.468455879874956	11.468455879874956	4.599506975640377	0	68.79300194097398	25.400493024359623	25.400493024359623	25.400493024359623	18.71356031675077	0	30.567440808799997	11.286439683249231	11.286439683249231	11.286439683249231	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	18.35890092505846	0	72.71149138898	11.64109907494154	13.42365994873477	13.42365994873477	10.7663178004752	0	83.15162396504101	19.2336821995248	15.351069039699878	15.351069039699878	11.217487384886773	0	119.66230694023898	18.782512615113227	22.091502819736426	22.091502819736426	13.13954622766671	0	76.23116977553599	16.86045377233329	14.07344672779126	14.07344672779126	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	18.11337104488615	1	104.90444480907999	11.88662895511385	12.911316284194463	12.911316284194463	8.300114946090087	1	141.922145986047	21.699885053909913	17.467341044436555	17.467341044436555	11.777893344880244	1	169.01384579785497	18.222106655119756	20.801704098197536	20.801704098197536	17.083815537561605	1	111.21250269463998	12.916184462438395	13.687692639340305	13.687692639340305	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	17.187199665301662	1	139.605779048888	12.81280033469834	12.886687296820432	12.886687296820432	8.503997874701902	1	200.14048507539601	21.496002125298098	18.47450631465194	18.47450631465194	10.061437055493418	1	223.01412043922696	19.938562944506582	20.5859188097748	20.5859188097748	16.53001627451077	1	147.69370861783997	13.469983725489229	13.633265410877536	13.633265410877536	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	18.339209416726156	2	171.187086878588	11.660790583273844	12.641507954111114	12.641507954111114	15.239963801020798	2	240.11558311429803	14.760036198979202	17.731612291517393	17.731612291517393	10.562381404705473	2	275.65767080148294	19.437618595294527	20.356258766878746	20.356258766878746	15.613093127754833	2	186.65824806350398	14.386906872245167	13.783993703151063	13.783993703151063	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	17.79695012070794	2	204.237013635004	12.203049879292061	12.56843160830794	12.56843160830794	13.272171624502153	2	285.420118297938	16.727828375497847	17.564314972180803	17.564314972180803	17.18697775002683	2	310.3596060618269	12.81302224997317	19.099052680727816	19.099052680727816	7.686806771150756	2	288.72668306870395	37.686806771150756	17.767795881151013	17.767795881151013	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	15.939746100568616	3	242.316867945964	14.060253899431384	12.781549078468432	12.781549078468432	15.027617449540427	3	325.97032103876603	14.972382550459573	17.194038911934914	17.194038911934914	16.701107541489968	3	346.37743980362495	13.298892458510034	18.270458363268133	18.270458363268133	15.208180517966767	3	328.78786083254397	14.791819482033233	17.34265639556276	17.34265639556276	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	16.897448281984985	3	277.80294551558796	13.102551718015015	12.821674408411756	12.821674408411756	2.987980705777474	3	415.31276878358005	32.987980705777474	19.168281636165233	19.168281636165233	18.109837213586214	3	378.57996401682897	11.890162786413786	17.47292141616134	17.47292141616134	14.151639930653538	3	371.71050268702396	15.848360069346462	17.15586935478572	17.15586935478572	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	16.854367988294396	4	313.40569888062396	13.145632011705604	12.857669697666628	12.857669697666628	14.665079355754338	4	456.84484552841207	15.334920644245662	18.74235263706306	18.74235263706306	16.790383232464983	4	414.35600942890295	13.209616767535016	16.999220899647305	16.999220899647305	8.686717759789293	4	429.43397542092794	21.313282240210707	17.61780411983294	17.61780411983294	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	18.150622743579326	4	345.49776228342995	11.849377256420675	12.756840453542033	12.756840453542033	2.5348593937565553	4	544.9600897198361	32.534859393756555	20.12160331273241	20.12160331273241	14.041747920124063	4	457.57627547856697	15.958252079875937	16.895124017670167	16.895124017670167	13.102583257828428	4	546.1701384108799	43.10258325782843	20.16628203363249	20.16628203363249	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	7.175202288835937	5	407.31492275116597	22.824797711164063	13.672109295144036	13.518698142405636	16.213206462130707	5	582.2993222182321	13.786793537869293	19.545711515017583	20.353437078531844	11.54613233796923	5	507.55550039656697	18.45386766203077	17.036827985339315	16.20046148143728	16.415265038272985	5	582.9621289322239	13.584734961727014	19.567959572550173	20.396111561480264	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	16.440136312201847	5	444.03955357228597	13.559863687798153	13.66275549453188	13.710574603691299	11.361032760575998	5	632.779858491672	18.638967239424	19.47014949205145	20.293965582521764	10.933500850146462	5	559.193935594087	19.066499149853538	17.205967249048832	16.22886013491131	7.086974396486397	5	645.0182399417399	22.913025603513603	19.846715075130458	21.0013687445983	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	12.974445556873846	6	490.15043018908597	17.025554443126154	13.92143233673144	14.224467152492531	16.342122390758398	6	669.7699436833681	13.6578776092416	19.02305165491223	19.48976483805493	1.6977614764504594	6	645.042039592807	31.69776147645046	18.320720651156652	17.576425617044382	10.858205810115695	6	696.86059920601	19.141794189884305	19.792490391649984	21.623929717342893	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	15.801218665188182	6	528.605462970868	14.198781334811818	13.941242979451468	14.363065252503878	16.404578192088373	6	706.5908777464621	13.595421807911627	18.6353638086979	18.699706806316286	16.38930970112788	6	681.904325818919	13.610690298872122	17.984289911707755	16.94363835248094	6.468888195644304	6	795.63050473588	36.468888195644304	20.983661663363865	23.923820164358396	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	14.769764605140187	7	569.85401716528	15.230235394859813	14.027175807145358	14.720009733662476	16.215237611779937	7	743.924609214558	13.784762388220063	18.311990380666046	18.602179425240372	13.285262262332306	7	727.173407191769	16.714737737667694	17.899653100105084	16.671350266718257	11.368856365442959	7	846.0898520794719	18.63114363455704	20.826827128110075	24.348243840589582	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
