task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r0_rollrate	r1_energy	r1_config	r1_reward	r1_rate	r1_avgrate	r1_rollrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19
0	1.4190058754752073	0	58.009807579412005	21.419005875475207	21.419005875475207	21.419005875475207	10.385137915677543	0	82.29308185496001	30.385137915677543	30.385137915677543	30.385137915677543	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1.4260948602896022	0	108.314133999461	18.573905139710398	19.996455507592803	19.996455507592803	5.972210576369232	0	120.28501154396	14.027789423630768	22.206463669654156	22.206463669654156	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	6.453517666764803	0	145.002523651973	13.546482333235197	17.8464644494736	17.8464644494736	5.990388065791995	0	158.22771053244	14.009611934208005	19.474179757838773	19.474179757838773	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	8.586827347623995	1	222.425181051788	28.586827347623995	20.5315551740112	20.5315551740112	19.440924119709543	1	265.04688002332	39.44092411970954	24.465865848306464	24.465865848306464	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	19.034180228464002	1	328.142752503878	39.034180228464	24.232080184901758	24.232080184901758	5.480568572282094	1	304.370340140056	14.519431427717906	22.476578964188754	22.476578964188754	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	4.891546509185972	1	369.061480708166	15.108453490814028	22.711475735887138	22.711475735887138	6.64258059153034	1	340.54668437132796	13.35741940846966	20.956719038235573	20.956719038235573	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	7.581171483774028	2	443.760486810054	27.58117148377403	23.40714655701384	23.40714655701384	5.348182884897474	2	380.228689058064	14.651817115102526	20.056018763502276	20.056018763502276	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	13.672584241526152	2	534.9570691308539	33.67258424152615	24.690326267577877	24.690326267577877	6.7031889992576	2	416.240885518408	13.2968110007424	19.211117793157293	19.211117793157293	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	0.3270150027776033	2	588.2380701649979	19.672984997222397	24.132843904205046	24.132843904205046	1.6305876039827645	2	465.991377424288	18.369412396017236	19.117594971252842	19.117594971252842	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	4.055288594871254	3	653.3878101094409	24.055288594871254	24.125088373271666	24.125088373271666	9.25097867520972	3	545.2127780029809	29.25097867520972	20.13093334164853	20.13093334164853	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	16.690004939905975	3	752.756573488353	36.690004939905975	25.267353515692967	25.652188279714743	0.15281550504171904	3	598.9655693434929	19.84718449495828	20.105137991949416	19.077137999576603	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	18.493786183003685	3	857.0105777339879	38.493786183003685	26.36955623796886	27.644176384044066	2.270747805583504	3	659.2821779836149	22.270747805583504	20.285605476418922	19.90143383777188	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	12.504268547539688	4	945.0429717169079	32.50426854753969	26.841457184858925	29.539955005474518	5.006454779954712	4	727.007993012659	25.006454779954712	20.64874773053706	21.001118122346547	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	12.521339002127021	4	1033.121598181002	32.52133900212702	27.247163028949505	29.933406170924826	17.826058218508564	4	829.453567354453	37.826058218508564	21.875698479677883	20.839631532226452	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	12.251574883122586	4	1120.4696134894589	32.251574883122586	27.58079048589438	29.255145636390683	3.8258878974774184	4	873.258454298785	16.17411210252258	21.495592721200865	21.005099599706917	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	7.481708984083076	5	1154.3733183242339	12.518291015916924	26.639384269020788	28.99612938890097	6.154713074697845	5	910.756106388145	13.845286925302155	21.017448608957196	21.05388635139017	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	7.213090267891447	5	1189.0045321820278	12.786909732108553	25.824532825673007	27.516703213734424	6.5970647725331695	5	947.055722629201	13.40293522746683	20.569536057104823	20.9289981626266	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	7.401175480103882	5	1223.1263485900797	12.598824519896118	25.08977125312985	25.40932724157142	2.6229453669366194	5	994.118578927081	17.37705463306338	20.39217597799141	21.337022525858693	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	6.046273611780435	6	1260.9176908915076	13.953726388219565	24.503663628660888	24.83740138067114	6.134670732241723	6	1031.670512360593	13.865329267758277	20.048657730084404	20.8866142130328	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
19	16.63776917952862	6	1360.1449824193976	36.63776917952862	25.110368906204275	26.09564943913687	5.27104507572837	6	1071.561431947162	14.72895492427163	19.782672589793766	19.43441183793899	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
20	6.570666215064614	6	1396.5160947535976	13.429333784935386	24.554129138524804	23.769582323639813	1.1471959846639983	6	1122.621109488697	18.852804015336	19.738393133867206	19.334973789976765	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
21	5.235429954135386	7	1436.5034719611476	14.764570045864614	24.10914917976752	21.396660709925907	4.292513331091811	7	1165.1622192169898	15.707486668908189	19.555170112732704	18.678647676309232	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
22	6.405409211411692	7	1473.3221553469077	13.594590788588308	23.651994467107556	19.50569293403077	0.9636071947249221	7	1221.9386553693698	20.963607194724922	19.616406507601933	18.274362917786252	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
23	4.852066260578464	7	1514.3478092245077	15.147933739421536	23.29765860345397	17.768352407760222	3.005244236138335	7	1284.2445251755778	23.005244236138335	19.75760807962428	16.79228151954923	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
24	5.373860328566646	8	1553.9602708346397	14.626139671433354	22.95079784617315	16.0058088865913	0.5490938799520002	8	1339.898321100448	20.549093879952	19.78926751163739	17.229779697292173	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
25	6.706494481182153	8	1589.9635149481046	13.293505518817847	22.57936352589025	16.08333033688139	0.18970912330954093	8	1393.551192224818	19.81029087669046	19.79007610260097	17.826280092431006	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
26	7.108355087121472	8	1624.8783865871505	12.891644912878528	22.220559132815744	16.093803854958388	6.060078471077414	8	1431.30514636565	13.939921528922586	19.573403710983253	17.879978722576578	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
27	9.97656371894153	9	1706.0649133259506	29.97656371894153	22.49755929660595	17.831577774862925	9.466876325761973	9	1511.111269747922	29.466876325761973	19.926742018653922	19.088960891846437	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
28	9.35139563672615	9	1785.5582765087506	29.35139563672615	22.733898480748024	19.371344699713585	15.190718728092307	9	1606.4194663031722	35.19071872809231	20.453086043117313	21.22149983787984	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
29	6.5973395993600015	9	1821.8571484271506	13.402660400639999	22.422857211411092	17.047833821824728	14.770225164164437	9	1700.5888261227842	34.77022516416444	20.930324013818886	23.225626861869124	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
