task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r0_rollrate	r1_energy	r1_config	r1_reward	r1_rate	r1_avgrate	r1_rollrate	r2_energy	r2_config	r2_reward	r2_rate	r2_avgrate	r2_rollrate	r3_energy	r3_config	r3_reward	r3_rate	r3_avgrate	r3_rollrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19
0	18.311005362610388	0	32.631776696045996	11.68899463738961	11.68899463738961	11.68899463738961	14.123931600750808	0	44.320690947904	15.876068399249192	15.876068399249192	15.876068399249192	11.686570282039881	0	51.12499129597201	18.31342971796012	18.31342971796012	18.31342971796012	18.773809272705673	0	31.33978244703	11.226190727294327	11.226190727294327	11.226190727294327	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	16.74766717571212	1	69.62787249718299	13.25233282428788	12.470663730838744	12.470663730838744	16.415723434320718	1	82.24346302709199	13.584276565679284	14.730172482464237	14.730172482464237	8.717006837215521	1	110.540013875412	21.28299316278448	19.7982114403723	19.7982114403723	17.069672060174327	1	67.43694794571	12.930327939825672	12.078259333559998	12.078259333559998	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	18.630892314507943	2	101.36663145251498	11.369107685492057	12.103478382389847	12.103478382389847	14.836574208225672	2	124.57469336246199	15.163425791774328	14.874590252234269	14.874590252234269	14.742227560503402	2	153.13462860234	15.257772439496598	18.284731773413732	18.284731773413732	14.665651234588656	2	110.24533824915	15.334348765411344	13.163622477510446	13.163622477510446	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	13.775566943464838	3	146.65984040200897	16.22443305653516	13.133717050926176	13.133717050926176	10.382377941366453	3	179.34055494281398	19.617622058633547	16.06034820383409	16.06034820383409	14.828105432965254	3	195.489500935312	15.171894567034746	17.506522471818986	17.506522471818986	18.65452385348776	3	141.91812582482999	11.345476146512238	12.709085894760895	12.709085894760895	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	13.305348899537911	4	193.26574139079895	16.69465110046209	13.845903860833356	13.845903860833356	15.487230782784005	4	219.85536900754198	14.512769217215995	15.750832406510469	15.750832406510469	15.21389678493707	4	236.76737241069603	14.78610321506293	16.962438620467776	16.962438620467776	1.7258146581134284	4	220.85022657092998	28.27418534188657	15.82210578418603	15.82210578418603	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	9.570549245582686	5	250.29795808021396	20.429450754417314	14.943161676430684	14.943161676430684	16.333647377702686	5	258.00727007812196	13.666352622297314	15.403419109141609	15.403419109141609	15.94024907526018	5	276.01751040892805	14.05975092473982	16.47865733784645	16.47865733784645	14.920640793023281	5	262.94677102374	15.079359206976719	15.698314687984478	15.698314687984478	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	5.29098587124394	6	348.81862697076997	35.29098587124394	17.84999370426115	17.84999370426115	12.179578373553674	6	307.75594711861794	17.820421626446326	15.748705183042281	15.748705183042281	16.456546270591524	6	313.82631873686006	13.543453729408478	16.059342536641026	16.059342536641026	15.388350882895521	6	303.73762480899	14.611649117104479	15.543076749287335	15.543076749287335	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
7	5.738040007737311	7	448.58732199237	35.73804000773731	20.08599949219567	20.08599949219567	16.258253931904473	7	346.1183215587179	13.741746068095527	15.497835293673937	15.497835293673937	14.10350474269039	7	358.20403466351604	15.89649525730961	16.0389866267246	16.0389866267246	16.75745572855881	7	340.70639423343	13.242544271441192	15.255510189556567	15.255510189556567	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
8	14.765570639815525	8	491.116770622885	15.234429360184475	19.546936144194422	19.546936144194422	14.92236523715391	8	388.2100519383299	15.07763476284609	15.451146345804176	15.451146345804176	16.37948176552119	8	396.22798140143607	13.620518234478808	15.77026791647507	15.77026791647507	14.370718031856718	8	384.33813972782997	15.629281968143282	15.297040387177313	15.297040387177313	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
9	14.640685455371823	9	533.994857059972	15.359314544628177	19.128173984237797	19.128173984237797	15.316407069991165	9	429.2017488679379	14.683592930008835	15.374391004224643	15.374391004224643	8.831643755999998	9	455.32297591593607	21.168356244	16.310076749227562	16.310076749227562	11.154030149032835	9	436.94980556177995	18.845969850967165	15.651933333556297	15.651933333556297	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
10	18.538708457935524	10	565.990962614902	11.461291542064476	18.431184671312952	19.10540367470529	16.709139375563463	10	466.3054014444899	13.290860624436537	15.184979151516632	15.115870226743379	17.37241128122364	10	490.5749944225201	12.627588718776359	15.975305110095634	15.741492649309183	17.96138529634388	10	470.55760494282	12.038614703656119	15.323449821747191	15.73317573119248	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
11	18.66716171526878	11	597.62846949311	11.33283828473122	17.839655805764476	18.91345422074962	17.05059377307797	11	502.4558271613139	12.949406226922028	14.998681407800417	15.052383192867655	15.394900336907462	11	531.3475643153201	14.605099663092538	15.861121322845378	15.073703299339991	11.710641857079402	11	521.61539642514	18.289358142920598	15.570608848511641	16.269078751501972	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
12	17.62958155097695	12	632.1625543299659	12.370418449023047	17.418945239861287	19.013585297102722	16.963605129284772	12	538.8490961753939	13.036394870715228	14.847736289563093	14.839680100761745	4.345931448147578	12	602.9651723559082	25.654068551852422	16.61442495584592	16.113332910575572	12.325058616977913	12	570.9579411194101	17.674941383022087	15.732480581935523	16.503138013263047	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
13	18.536949673977315	13	664.1635698234459	11.463050326022685	16.9935241745871	18.537447024051477	3.1437568079799334	13	631.3754172643379	33.14375680797993	16.15459489802144	16.19229357569638	1.589704954666022	13	682.2772460241322	28.410295045333978	17.456987105095067	17.437172958405494	2.9348325913740894	13	646.514866801824	27.06516740862591	16.54195821241341	18.07510713947441	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
14	13.794853542528	14	709.4029370172219	16.205146457472	16.940965660112763	18.488496559752466	12.497734680558807	14	750.0149265808978	42.49773468055881	17.910804216857265	18.990790122030663	2.2734303701817353	14	772.3739058075562	32.273430370181735	18.44474998943418	19.185905673917375	17.740526401828298	14	680.7392305967201	12.2594735981717	16.256459238130628	16.473635965102925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
15	14.705688003455998	15	752.0995580075739	15.294311996544002	16.838049806139715	17.974982683965134	8.018449996133736	15	811.3800870083578	21.981550003866264	18.165225828545328	19.822309860187556	14.458636852453253	15	815.7602112611241	15.541363147546747	18.263288311816215	19.334066896198067	17.18403324955272	15	716.5171377750521	12.815966750447283	16.04142845765042	16.24729671944998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
16	16.60997477352	16	789.4800450981639	13.39002522648	16.635224830865614	15.78488661948874	2.5428103460399925	16	888.0314081256628	27.457189653960008	18.711811935922665	20.785986662938924	16.625705299486565	16	853.0967839667242	13.374294700513435	17.975700452327814	19.317150993308566	16.8704798661206	16	753.1703814821321	13.1295201338794	15.870139732722711	16.099083821127472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
17	13.685024943984	17	835.026017129542	16.314975056016	16.617433176707305	13.842580124316608	16.215531724579343	17	926.5130487278788	13.784468275420659	18.43807062145033	20.790258883671438	16.580549848262688	17	890.5594156403241	13.419450151737312	17.722575435628343	19.06944648275134	12.078342329999284	17	803.2016758108841	17.921657670000716	15.98411295146038	16.566995160983424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
18	14.844264220200003	18	877.335779514817	15.155735779799997	16.540501734764813	13.834710766278159	6.024894736248363	18	1027.0825465332387	36.02489473624836	19.363692943281805	22.88498488101167	10.263570823290266	18	945.6569470919721	19.736429176709734	17.82856773779052	19.681037576974425	0.5829681943006619	18	885.3242229351281	29.417031805699338	16.69110868063085	17.945770144739033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
19	1.9494680895116367	19	966.528044598037	31.949468089511637	17.310950052502157	15.493726120766505	8.58666921659033	19	1134.8036647628867	38.58666921659033	20.32484175694723	25.275292509669818	11.835293265385069	19	1062.4471407911722	41.83529326538507	19.028904014170248	21.747731279112934	1.8691997281404156	19	974.2924055095201	31.869199728140416	17.45001323300633	19.248093132456354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
20	17.736324714589614	0	1000.764138103141	12.263675285410386	17.070603635021595	15.573964495101098	16.13797078706149	18	1173.5018296490066	13.86202921293851	20.0170887786611	25.33240936852001	17.55322075304884	3	1097.194399522244	12.446779246951161	18.71546950144553	21.72965033193042	16.455462337490147	9	1012.1042398173602	13.544537662509855	17.26403820583983	19.39868542834173	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
21	18.239751773888955	3	1033.594831067701	11.760248226111043	16.82922384370748	15.616705489239077	0.6490941288537329	19	1259.0638840920567	30.649094128853733	20.500361749124405	27.102378158713186	17.181462440554032	1	1132.979483542364	12.818537559445968	18.44742714044555	21.550994121565758	16.439111946727163	14	1049.96171896608	13.560888053272837	17.09571319890497	18.92583841937695	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
22	12.140732835488961	9	1083.4519519019611	17.85926716451104	16.87400833591633	16.16559036078788	9.521851547479883	3	1316.2320485220087	20.478148452520117	20.49939595361987	27.846553516893675	16.73750885640788	7	1170.003937984892	13.262491143592118	18.221995140582358	20.311836380739724	15.99551595676657	17	1089.05757025344	14.00448404323343	16.961311931267076	18.558792685398085	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0
23	18.1213053242966	12	1116.6133078716332	11.878694675703402	16.665870266740793	16.207154795755947	16.952471941544594	1	1352.6563976851967	13.047528058455407	20.188901457988017	25.836930641941223	10.524761756650022	19	1283.13556455554	40.52476175665002	19.15127708291851	21.523283051871328	16.46446481664	15	1126.84427264032	13.53553518336	16.818571233437616	17.205829462871495	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1
24	11.730162801349252	15	1167.6166033845332	18.269837198650748	16.73002894401719	16.413623869873824	11.931746214570264	16	1403.0969395028546	18.068253785429736	20.104075551085685	23.393982552428312	7.726295585643932	19	1388.4548063987959	37.72629558564393	19.89427782302753	22.06856957341755	5.052937055058621	18	1224.700388585692	35.05293705505862	17.547945866302456	19.48517580856019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1
25	11.889625164293733	12	1218.174733134213	18.110374835706267	16.783119170620616	16.695230153790053	13.59823174499462	0	1448.8852092147447	16.40176825500538	19.96167911662106	22.836004377542228	14.794345865731344	10	1430.9039241902958	15.205654134268656	19.71394614269065	22.034998672089742	16.617168212202984	17	1262.060793993292	13.382831787797015	17.387749170975322	19.541862312295162	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0
26	8.685855704521071	4	1277.676719292425	21.31414429547893	16.950934915985737	17.487642060689943	15.818799171140776	9	1488.4743948619766	14.181200828859224	19.747587328185435	21.508405495032147	10.526497478218019	13	1544.0403963169879	40.52649747821802	20.484781377339814	24.750218949860198	18.318030486834267	4	1294.672958884213	11.68196951316573	17.176423998463857	19.397107250223797	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
27	8.902842266364175	8	1336.572951298825	21.097157733635825	17.09901430233038	17.96586032845193	16.87962157026304	1	1525.1021179783256	13.120378429736958	19.51090129609799	21.441996510463774	17.976349838695885	12	1577.6064196839618	12.023650161304115	20.182598119624252	24.61063895081688	8.649956770905671	8	1354.2751628987678	21.35004322909433	17.32548182812923	19.739945806133157	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0
28	17.651850407429734	4	1371.044868911417	12.348149592570266	16.935191381304172	17.685101709728958	16.72529041943212	11	1562.1606822240776	13.27470958056788	19.295860202459025	19.166977994895724	10.636500617603822	13	1691.0499839081058	40.63650061760382	20.8879051023132	26.70064609490629	11.968052212506265	1	1404.6143504721879	18.031947787493735	17.349842723279732	18.601437404312595	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
29	13.493221141164895	9	1417.126293225665	16.506778858835105	16.920910963888538	16.140832786661303	14.827886729024968	19	1687.3051993426056	44.82788672902497	20.146927753344553	19.79109974613919	14.182859478138269	14	1814.3937999512418	44.18285947813827	21.664403581507372	26.935402716181606	11.797778752834748	11	1455.4288847871908	18.20222124716525	17.37825534074258	17.234739556215082	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1
30	14.794926826213256	19	1542.178797282177	44.794926826213256	17.82007276589901	19.393957940741586	12.72259222687343	4	1735.5379627092507	17.27740777312657	20.05436259269236	20.132637602157995	17.220633485373135	17	1850.0695314712418	12.779366514626867	21.377789482575743	26.968661442949177	16.716374042973495	1	1492.5123405838897	13.283625957026505	17.246170521913033	17.208648385666745	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
31	10.95012650913134	12	1595.359694110852	19.04987349086866	17.85850403855431	20.12292046721735	2.543690886750092	18	1826.3890997680946	32.54369088675009	20.444654101881667	20.32209727794763	15.372399734256712	7	1890.9049155464418	14.627600265743288	21.166846069549727	27.149567713578914	18.391864758472835	14	1524.9183847998197	11.608135241527165	17.069981919400973	17.013373104492178	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0
32	16.45745408558615	17	1633.165968121924	13.542545914413852	17.72771742873187	19.691248342207633	13.523878601637492	18	1872.3849386718566	16.47612139836251	20.32439553510836	19.921894572531876	18.35429379191212	2	1923.4158453773537	11.645706208087878	20.87832667980846	26.98788922002849	10.596590271745434	14	1579.0862369578638	19.403409728254566	17.140691853002597	17.55326567299429	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0
33	16.528579993706508	6	1670.77368230616	13.471420006293492	17.60253221042486	19.850520875266643	13.142302580235938	13	1919.4460106353647	16.85769741976406	20.222433825833523	20.30291150866274	9.810731743654213	8	1979.7775525929856	20.189268256345787	20.85806025558897	24.95433986999807	0.43158265848107646	19	1664.0410718794567	30.431582658481076	17.531600406104904	19.2428704205064	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1
34	1.396610253005374	6	1758.4225525958	31.396610253005374	17.996648725927162	21.163198180702103	7.57363172979726	13	1982.0529553896806	22.42636827020274	20.28540338138693	20.73872295714004	19.395079174678926	3	2009.3829565636736	10.604920825321075	20.565113414724173	22.242202393965783	11.448952546370148	15	1715.8294126875066	18.551047453629852	17.560727464605616	17.59268146036352	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0
35	16.21842735083176	6	1796.896109574728	13.78157264916824	17.879563279350524	20.730317962048304	8.799200326438207	18	2041.2385211450405	21.200799673561793	20.310831056169565	21.21862609899568	3.1299105488124184	13	2101.8706235124414	33.12991054881242	20.914135557337733	24.034628035420155	16.755260302171703	2	1752.8043110106107	13.244739697828297	17.44083891552847	17.57887225136665	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0
36	16.507879870968353	7	1834.5616116016079	13.492120129031646	17.76098373474731	19.94811554540357	8.656354387513431	13	2149.1541771435154	38.65635438751343	20.80665601107075	23.6661414548611	12.10771139569863	12	2151.8199291994492	17.89228860430137	20.83246401806648	21.77120714802849	17.709746662065672	11	1787.1146015790107	12.290253337934328	17.301633899917817	17.63970063384351	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0
37	15.098839384838685	7	1876.1606849855998	14.901160615161315	17.68572523160031	19.328515833556118	11.39678264156418	11	2201.0881589358155	18.60321735843582	20.748670783369832	24.214425347730984	16.224574835001313	3	2190.2763244517373	13.775425164998685	20.64675246930154	21.946384648397945	17.552755127618507	11	1821.8631601810757	12.447244872381493	17.17388682024581	16.74942079817223	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0
38	18.10422608435534	0	1909.3697205001079	11.895773915644659	17.5372649414476	19.283278265863558	4.2685524685074725	13	2296.7545345770654	34.26855246850747	21.09533441632208	26.313809636524944	10.81144609892776	13	2243.844370758897	19.18855390107224	20.609362762423864	19.801589976744786	10.208733387546271	0	1877.1137794741758	19.79126661245373	17.240999122610113	16.92535268066823	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
39	13.464795868642387	9	1955.5304987001477	16.535204131357613	17.51221342119535	19.286120793115806	17.069653514731346	16	2332.8517518484405	12.930346485268654	20.89120971804574	23.124055612149313	16.439581115115224	18	2281.7005401458673	13.560418884884776	20.43313916548539	16.73934591741944	8.30326615947223	19	1984.0437308360358	38.30326615947223	17.767555798531667	18.935457171898925	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1
40	16.57839126046926	6	1992.9991564313377	13.421608739530742	17.412442575301093	16.148788984447556	15.843482522865676	16	2372.3720298054404	14.156517477134324	20.72694893168205	22.811966582550085	16.21960187006042	16	2320.1708182586153	13.78039812993958	20.27087718900866	16.83944907895071	16.06362083277743	18	2022.949456011199	13.936379167222567	17.674112466060713	19.00073249291853	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0
41	16.15106815363343	13	2031.6607578357778	13.848931846366568	17.327597081755034	15.62869481999735	3.0130258587761283	13	2447.7106659496903	26.98697414122387	20.875997150956852	22.256294907997464	1.160250773016351	15	2407.1598516666195	31.16025077301635	20.530147988627895	18.492714129678014	13.428339919357619	0	2069.2120070696587	16.57166008064238	17.64786359974123	19.49708497683005	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0
