task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r0_rollrate	r1_energy	r1_config	r1_reward	r1_rate	r1_avgrate	r1_rollrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19
0	18.319899611853785	0	31.633605217895997	11.680100388146213	11.680100388146213	11.680100388146213	17.462182790779572	0	33.956588274972	12.53781720922043	12.53781720922043	12.53781720922043	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	16.663086686562462	1	67.754412108456	13.336913313437538	12.508506850791875	12.508506850791875	17.421307983866587	1	68.023879152	12.578692016133413	12.558254612676922	12.558254612676922	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	13.585124504586837	2	112.21136657519999	16.414875495413163	13.810629732332304	13.810629732332304	1.7373945121262757	2	144.568435681658	28.262605487873724	17.793038237742522	17.793038237742522	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	2.5519172328369244	3	186.54992406959997	27.448082767163076	17.219992991039998	17.219992991039998	18.290675600628184	3	176.28118926329	11.709324399371814	16.272109778149844	16.272109778149844	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0.37866015890512017	4	266.774386139232	29.62133984109488	19.700262361050974	19.700262361050974	18.337603753778218	4	207.866845763474	11.662396246221782	15.35016707176423	15.35016707176423	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	16.361788383552003	5	303.711209267112	13.638211616447999	18.689920570283814	18.689920570283814	14.675199509538462	5	249.371513758474	15.324800490461538	15.345939308213781	15.345939308213781	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	15.9909671658432	6	341.65233985962	14.0090328341568	18.02122232226567	18.02122232226567	0.8820712900881169	6	333.010456835796	30.882071290088117	17.56538673419583	17.56538673419583	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
7	16.109001890814277	7	379.273793071998	13.890998109185723	17.504944295630676	17.504944295630676	13.960767570067201	7	376.450044666864	16.0392324299328	17.37461744616295	17.37461744616295	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
8	1.3145527990020902	8	464.084040235962	31.31455279900209	19.03934524044972	19.03934524044972	9.849317320488002	8	431.024810257209	20.150682679512	17.68306913875729	17.68306913875729	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
9	6.858980332039394	9	563.910445301902	36.858980332039394	20.821308749608686	20.821308749608686	13.92604744587323	9	474.558431757969	16.07395255412677	17.522157480294236	17.522157480294236	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
10	9.956731867849477	10	618.1942964931429	20.043268132150523	20.750577784385218	21.657625524009116	18.47695697577452	10	505.76667328191303	11.52304302422548	16.97678343883344	17.420680061794744	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
