energy	drain	gps_interval	sensor_configuration
82.44	0.02	30000	Sensor Off
111.15	0.02	10000	Sensor Off
117.74	0.01	8000	Sensor Off
106.89	0.0	7500	Sensor Off
136.4	0.02	5000	Sensor Off
132.58	0.01	3500	Sensor Off
133.04	0.02	3000	Sensor Off
145.14	0.02	2500	Sensor Off
138.27	0.01	2000	Sensor Off
173.31	0.03	1000	Sensor Off
177.58	0.02	500	Sensor Off
86.64	0.01	30000	Callback Off
100.63	0.02	10000	Callback Off
88.94	0.02	8000	Callback Off
108.61	0.01	7500	Callback Off
108.5	0.02	5000	Callback Off
129.02	0.03	3500	Callback Off
142.27	0.01	3000	Callback Off
141.17	0.02	2500	Callback Off
152.78	0.02	2000	Callback Off
162.58	0.02	1000	Callback Off
162.54	0.02	500	Callback Off
185.16	0.03	30000	Everything On
154.49	0.02	10000	Everything On
159.19	0.03	8000	Everything On
156.88	0.03	7500	Everything On
163.53	0.01	5000	Everything On
169.41	0.03	3500	Everything On
168.08	0.04	3000	Everything On
178.98	0.03	2500	Everything On
157.8	0.01	2000	Everything On
174.68	0.03	1000	Everything On
0.0	0.0	500	Everything On
