==RUN 0==
STOKE: Start Bat: 0.980000
ELocation 0: Diff:72850 ms Accuracy:39.60
ELocation 1: Diff:13505 ms Accuracy:15.00
ELocation 2: Diff:0 ms Accuracy:15.00
ELocation 3: Diff:0 ms Accuracy:15.00
ELocation 4: Diff:16791 ms Accuracy:17.00
ELocation 5: Diff:0 ms Accuracy:17.00
ELocation 6: Diff:0 ms Accuracy:17.00
ELocation 7: Diff:-295 ms Accuracy:25.27
ELocation 8: Diff:21302 ms Accuracy:13.00
ELocation 9: Diff:0 ms Accuracy:13.00
ELocation 10: Diff:0 ms Accuracy:13.00
ELocation 11: Diff:9991 ms Accuracy:14.00
ELocation 12: Diff:0 ms Accuracy:14.00
ELocation 13: Diff:15017 ms Accuracy:6.00
ELocation 14: Diff:9995 ms Accuracy:7.00
ELocation 15: Diff:9989 ms Accuracy:9.00
ELocation 16: Diff:20004 ms Accuracy:12.00
ELocation 17: Diff:9993 ms Accuracy:9.00
ELocation 18: Diff:20008 ms Accuracy:22.00
ELocation 19: Diff:9980 ms Accuracy:16.00
ELocation 20: Diff:20023 ms Accuracy:16.00
ELocation 21: Diff:19993 ms Accuracy:10.00
ELocation 22: Diff:20003 ms Accuracy:11.00
ELocation 23: Diff:9995 ms Accuracy:8.00
ELocation 24: Diff:10011 ms Accuracy:17.00
ELocation 25: Diff:19988 ms Accuracy:6.00
ELocation 26: Diff:20003 ms Accuracy:8.00
ELocation 27: Diff:19991 ms Accuracy:8.00
ELocation 28: Diff:10001 ms Accuracy:7.00
ELocation 29: Diff:19995 ms Accuracy:18.00
ELocation 30: Diff:20013 ms Accuracy:9.00
ELocation 31: Diff:19001 ms Accuracy:132.01
ELocation 32: Diff:10996 ms Accuracy:14.00
ETask 11: Configuration:0 Energy:0.00 Power:0.00 Reward:56.10 Time:30007 -- SAMPLE
ELocation 33: Diff:19986 ms Accuracy:13.00
ELocation 34: Diff:9999 ms Accuracy:13.00
ETask 12: Configuration:0 Energy:0.00 Power:0.00 Reward:39.18 Time:30003 -- SAMPLE
ELocation 35: Diff:20009 ms Accuracy:9.00
ELocation 36: Diff:10004 ms Accuracy:6.00
ETask 13: Configuration:1 Energy:0.00 Power:0.00 Reward:39.74 Time:30007 -- SAMPLE
ELocation 37: Diff:9994 ms Accuracy:16.00
ELocation 38: Diff:8994 ms Accuracy:133.01
ELocation 39: Diff:5022 ms Accuracy:7.00
ELocation 40: Diff:5073 ms Accuracy:3.00
ELocation 41: Diff:5000 ms Accuracy:3.00
ELocation 42: Diff:5000 ms Accuracy:3.00
ELocation 43: Diff:6000 ms Accuracy:3.00
ETask 14: Configuration:1 Energy:0.00 Power:0.00 Reward:84.73 Time:30004 -- SAMPLE
ELocation 44: Diff:5000 ms Accuracy:3.00
ELocation 45: Diff:5000 ms Accuracy:3.00
ELocation 46: Diff:6000 ms Accuracy:3.00
ELocation 47: Diff:5000 ms Accuracy:3.00
ELocation 48: Diff:5000 ms Accuracy:3.00
ELocation 49: Diff:6000 ms Accuracy:3.00
ETask 15: Configuration:2 Energy:0.00 Power:0.00 Reward:37.90 Time:30005 -- SAMPLE
ELocation 50: Diff:0 ms Accuracy:3.00
ELocation 51: Diff:0 ms Accuracy:3.00
ELocation 52: Diff:3000 ms Accuracy:3.00
ELocation 53: Diff:3000 ms Accuracy:3.00
ELocation 54: Diff:2000 ms Accuracy:3.00
ELocation 55: Diff:3000 ms Accuracy:3.00
ELocation 56: Diff:2000 ms Accuracy:3.00
ELocation 57: Diff:3000 ms Accuracy:3.00
ELocation 58: Diff:2000 ms Accuracy:3.00
ELocation 59: Diff:2000 ms Accuracy:3.00
ELocation 60: Diff:3000 ms Accuracy:3.00
ELocation 61: Diff:3000 ms Accuracy:3.00
ELocation 62: Diff:2000 ms Accuracy:3.00
ETask 16: Configuration:2 Energy:0.00 Power:0.00 Reward:109.73 Time:30006 -- SAMPLE
ELocation 63: Diff:3000 ms Accuracy:3.00
ELocation 64: Diff:2000 ms Accuracy:3.00
ELocation 65: Diff:2000 ms Accuracy:3.00
ELocation 66: Diff:3000 ms Accuracy:3.00
ELocation 67: Diff:3000 ms Accuracy:3.00
ELocation 68: Diff:3000 ms Accuracy:3.00
ELocation 69: Diff:3000 ms Accuracy:3.00
ELocation 70: Diff:3000 ms Accuracy:3.00
ELocation 71: Diff:2000 ms Accuracy:3.00
ELocation 72: Diff:2000 ms Accuracy:3.00
ELocation 73: Diff:3000 ms Accuracy:3.00
ELocation 74: Diff:2000 ms Accuracy:3.00
ETask 17: Configuration:3 Energy:0.00 Power:0.00 Reward:87.17 Time:30005 -- SAMPLE
ELocation 75: Diff:1000 ms Accuracy:3.00
ELocation 76: Diff:1000 ms Accuracy:3.00
ELocation 77: Diff:1000 ms Accuracy:3.00
ELocation 78: Diff:1000 ms Accuracy:3.00
ELocation 79: Diff:1000 ms Accuracy:3.00
ELocation 80: Diff:1000 ms Accuracy:3.00
ELocation 81: Diff:1000 ms Accuracy:3.00
ELocation 82: Diff:1000 ms Accuracy:3.00
ELocation 83: Diff:1000 ms Accuracy:3.00
ELocation 84: Diff:1000 ms Accuracy:3.00
ELocation 85: Diff:1000 ms Accuracy:3.00
ELocation 86: Diff:1000 ms Accuracy:3.00
ELocation 87: Diff:1000 ms Accuracy:3.00
ELocation 88: Diff:1000 ms Accuracy:3.00
ELocation 89: Diff:1000 ms Accuracy:3.00
ELocation 90: Diff:1000 ms Accuracy:3.00
ELocation 91: Diff:1000 ms Accuracy:3.00
ELocation 92: Diff:1000 ms Accuracy:3.00
ELocation 93: Diff:1000 ms Accuracy:3.00
ELocation 94: Diff:1000 ms Accuracy:3.00
ELocation 95: Diff:1000 ms Accuracy:3.00
ELocation 96: Diff:1000 ms Accuracy:3.00
ELocation 97: Diff:1000 ms Accuracy:3.00
ELocation 98: Diff:1000 ms Accuracy:3.00
ELocation 99: Diff:1000 ms Accuracy:3.00
ELocation 100: Diff:1000 ms Accuracy:3.00
ELocation 101: Diff:1000 ms Accuracy:3.00
ELocation 102: Diff:1000 ms Accuracy:3.00
ELocation 103: Diff:1000 ms Accuracy:3.00
ELocation 104: Diff:1000 ms Accuracy:3.00
ELocation 105: Diff:1000 ms Accuracy:3.00
ETask 18: Configuration:3 Energy:0.00 Power:0.00 Reward:96.82 Time:30003 -- SAMPLE
