task	r0_energy	r0_config	r1_energy	r1_config	r2_energy	r2_config
0	64.2	0	38.14	0	88.65	0
1	74.54	0	65.77	0	84.94	0
2	73.0	1	94.85	1	72.71	1
3	47.76	1	82.62	1	39.26	1
4	44.11	2	37.35	2	75.46	2
5	88.53	2	122.35	2	56.31	2
6	54.02	3	74.34	3	79.2	3
7	76.02	3	74.86	3	76.31	3
8	73.31	1	75.28	0	75.69	1
9	73.32	1	88.36	0	95.7	1
10	73.42	3	75.23	0	76.15	2
11	80.77	2	74.1	0	75.39	2
12	73.65	1	37.51	0	73.38	2
13	72.9	3	37.5	0	76.42	1
14	77.83	1	86.73	0	59.39	2
15	66.86	3	84.17	0	75.07	1
16	71.93	3	81.75	1	75.09	2
17	73.46	3	50.24	0	89.83	2
18	73.94	0	74.36	0	76.67	1
19	70.67	3	84.18	0	93.87	2
20	73.38	1	74.35	0	36.66	3
21	75.26	3	38.31	0	73.51	3
22	78.28	1	73.44	0	76.52	3
23	84.02	3	112.91	0	75.7	3
24	75.96	0	75.25	0	84.28	0
25	77.89	2	39.18	2	37.08	2
26	90.55	1	74.28	2	76.18	2
27	96.5	3	80.04	2	76.44	3
28	84.84	0	57.51	0	109.07	3
