task	r0_energy	r0_config	r1_energy	r1_config	r2_energy	r2_config
0	37.3	0	40.67	0	46.64	0
1	41.06	1	72.53	1	46.72	1
2	76.67	2	81.74	2	46.74	2
3	78.53	3	74.78	3	73.47	3
4	85.65	1	51.54	1	79.56	0
5	34.73	0	41.5	0	85.76	1
6	49.34	0	34.61	0	85.2	2
7	48.27	0	34.14	0	35.15	0
8	48.27	0	36.55	0	71.47	0
9	39.09	0	37.02	0	73.16	2
10	42.85	0	35.29	0	51.39	0
11	40.12	0	36.16	0	38.22	0
12	83.85	0	35.68	0	74.44	3
13	69.92	0	33.91	0	38.08	0
14	70.89	0	39.96	0	37.73	0
15	39.99	0	52.95	0	37.11	0
16	36.24	0	50.89	0	35.97	0
17	42.8	0	35.57	0	42.24	0
18	37.21	0	41.24	0	34.84	0
19	48.78	0	69.62	0	55.77	0
20	39.52	0	35.62	0	38.85	0
21	38.63	0	36.57	0	49.76	0
22	35.56	0	35.65	0	76.47	0
23	35.79	0	38.83	0	73.47	0
24	38.59	0	35.69	0	72.74	0
