==RUN-0==
ETask 11: Configuration:0 Energy:13.90 Power:13.90 Reward:13.90 Time:4996
ETask 12: Configuration:18 Energy:13.70 Power:13.70 Reward:13.70 Time:4995
ETask 13: Configuration:36 Energy:13.70 Power:13.70 Reward:13.70 Time:5001
ETask 14: Configuration:36 Energy:13.60 Power:13.60 Reward:13.60 Time:4997
ETask 15: Configuration:36 Energy:13.70 Power:13.70 Reward:13.70 Time:4998
ETask 16: Configuration:36 Energy:14.10 Power:14.10 Reward:14.10 Time:4997
ETask 17: Configuration:37 Energy:14.40 Power:14.40 Reward:14.40 Time:4999
ETask 18: Configuration:38 Energy:14.40 Power:14.40 Reward:14.40 Time:4998
ETask 19: Configuration:39 Energy:14.60 Power:14.60 Reward:14.60 Time:4994
ETask 20: Configuration:40 Energy:14.60 Power:14.60 Reward:14.60 Time:4999
ETask 21: Configuration:41 Energy:14.50 Power:14.50 Reward:14.50 Time:4998
ETask 22: Configuration:42 Energy:14.60 Power:14.60 Reward:14.60 Time:5000
ETask 23: Configuration:43 Energy:14.60 Power:14.60 Reward:14.60 Time:4999
ETask 24: Configuration:44 Energy:14.40 Power:14.40 Reward:14.40 Time:5000
ETask 25: Configuration:45 Energy:14.60 Power:14.60 Reward:14.60 Time:4999
ETask 26: Configuration:46 Energy:14.50 Power:14.50 Reward:14.50 Time:4998
ETask 27: Configuration:47 Energy:14.80 Power:14.80 Reward:14.80 Time:4996
ETask 28: Configuration:48 Energy:15.10 Power:15.10 Reward:15.10 Time:4997
ETask 29: Configuration:49 Energy:14.80 Power:14.80 Reward:14.80 Time:4995
ETask 30: Configuration:50 Energy:14.60 Power:14.60 Reward:14.60 Time:4999
ETask 31: Configuration:51 Energy:14.90 Power:14.90 Reward:14.90 Time:4995
ETask 32: Configuration:52 Energy:15.90 Power:15.90 Reward:15.90 Time:4999
ETask 33: Configuration:53 Energy:15.50 Power:15.50 Reward:15.50 Time:4998
ETask 34: Configuration:18 Energy:14.90 Power:14.90 Reward:14.90 Time:4997
ETask 35: Configuration:19 Energy:15.00 Power:15.00 Reward:15.00 Time:4999
ETask 36: Configuration:20 Energy:14.40 Power:14.40 Reward:14.40 Time:4999
ETask 37: Configuration:21 Energy:14.50 Power:14.50 Reward:14.50 Time:4998
ETask 38: Configuration:22 Energy:14.70 Power:14.70 Reward:14.70 Time:4997
ETask 39: Configuration:23 Energy:14.50 Power:14.50 Reward:14.50 Time:5000
ETask 40: Configuration:24 Energy:11.80 Power:11.80 Reward:11.80 Time:4994
ETask 41: Configuration:24 Energy:11.90 Power:11.90 Reward:11.90 Time:4998
ETask 42: Configuration:24 Energy:11.80 Power:11.80 Reward:11.80 Time:4995
ETask 43: Configuration:24 Energy:11.90 Power:11.90 Reward:11.90 Time:4997
ETask 44: Configuration:24 Energy:11.80 Power:11.80 Reward:11.80 Time:5001
ETask 45: Configuration:24 Energy:11.70 Power:11.70 Reward:11.70 Time:4995
ETask 46: Configuration:24 Energy:14.70 Power:14.70 Reward:14.70 Time:5001
ETask 47: Configuration:24 Energy:14.80 Power:14.80 Reward:14.80 Time:5001
ETask 48: Configuration:24 Energy:14.80 Power:14.80 Reward:14.80 Time:5001
ETask 49: Configuration:24 Energy:14.80 Power:14.80 Reward:14.80 Time:5000
ETask 50: Configuration:24 Energy:14.70 Power:14.70 Reward:14.70 Time:4999
ETask 51: Configuration:24 Energy:14.80 Power:14.80 Reward:14.80 Time:4999
ETask 52: Configuration:24 Energy:14.70 Power:14.70 Reward:14.70 Time:5001
ETask 53: Configuration:24 Energy:14.70 Power:14.70 Reward:14.70 Time:4997
ETask 54: Configuration:24 Energy:14.80 Power:14.80 Reward:14.80 Time:4998
ETask 55: Configuration:24 Energy:14.80 Power:14.80 Reward:14.80 Time:5001
ETask 56: Configuration:24 Energy:14.70 Power:14.70 Reward:14.70 Time:4996
ETask 57: Configuration:25 Energy:14.60 Power:14.60 Reward:14.60 Time:4997
ETask 58: Configuration:26 Energy:14.60 Power:14.60 Reward:14.60 Time:4997
ETask 59: Configuration:27 Energy:14.70 Power:14.70 Reward:14.70 Time:5000
ETask 60: Configuration:28 Energy:14.60 Power:14.60 Reward:14.60 Time:4995
ETask 61: Configuration:29 Energy:15.20 Power:15.20 Reward:15.20 Time:5001
ETask 62: Configuration:30 Energy:15.40 Power:15.40 Reward:15.40 Time:5000
ETask 63: Configuration:31 Energy:15.00 Power:15.00 Reward:15.00 Time:4997
ETask 64: Configuration:32 Energy:15.10 Power:15.10 Reward:15.10 Time:4998
ETask 65: Configuration:33 Energy:14.80 Power:14.80 Reward:14.80 Time:4999
ETask 66: Configuration:34 Energy:14.70 Power:14.70 Reward:14.70 Time:4996
ETask 67: Configuration:35 Energy:14.90 Power:14.90 Reward:14.90 Time:4999
ETask 68: Configuration:24 Energy:15.40 Power:15.40 Reward:15.40 Time:4997
ETask 69: Configuration:36 Energy:16.30 Power:16.30 Reward:16.30 Time:4997
ETask 70: Configuration:24 Energy:15.60 Power:15.60 Reward:15.60 Time:4996
