STOKE: Start Bat: 1.000000
ETask 25: Configuration:0 Energy:20.60 Power:20.60 Reward:20.60 Time:5022
ETask 26: Configuration:0 Energy:20.00 Power:20.00 Reward:20.00 Time:5027
ETask 27: Configuration:0 Energy:20.30 Power:20.30 Reward:20.30 Time:5013
ETask 28: Configuration:0 Energy:21.80 Power:21.80 Reward:21.80 Time:5018
ETask 29: Configuration:0 Energy:22.80 Power:22.80 Reward:22.80 Time:5018
ETask 30: Configuration:0 Energy:23.10 Power:23.10 Reward:23.10 Time:5021
ETask 31: Configuration:0 Energy:23.20 Power:23.20 Reward:23.20 Time:5017
ETask 32: Configuration:0 Energy:23.50 Power:23.50 Reward:23.50 Time:5016
ETask 33: Configuration:0 Energy:23.50 Power:23.50 Reward:23.50 Time:5018
ETask 34: Configuration:0 Energy:23.50 Power:23.50 Reward:23.50 Time:5017
ETask 35: Configuration:0 Energy:23.50 Power:23.50 Reward:23.50 Time:5018
ETask 36: Configuration:0 Energy:23.10 Power:23.10 Reward:23.10 Time:5022
ETask 37: Configuration:0 Energy:22.10 Power:22.10 Reward:22.10 Time:5009
ETask 38: Configuration:0 Energy:21.80 Power:21.80 Reward:21.80 Time:5012
ETask 39: Configuration:0 Energy:21.20 Power:21.20 Reward:21.20 Time:5010
ETask 40: Configuration:0 Energy:20.90 Power:20.90 Reward:20.90 Time:5017
ETask 41: Configuration:0 Energy:20.70 Power:20.70 Reward:20.70 Time:5019
ETask 42: Configuration:0 Energy:19.90 Power:19.90 Reward:19.90 Time:5015
ETask 43: Configuration:0 Energy:19.40 Power:19.40 Reward:19.40 Time:5025
ETask 44: Configuration:0 Energy:19.00 Power:19.00 Reward:19.00 Time:5020
ETask 45: Configuration:0 Energy:18.90 Power:18.90 Reward:18.90 Time:5021
ETask 46: Configuration:0 Energy:18.70 Power:18.70 Reward:18.70 Time:5026
ETask 47: Configuration:0 Energy:18.50 Power:18.50 Reward:18.50 Time:5019
ETask 48: Configuration:0 Energy:18.70 Power:18.70 Reward:18.70 Time:5019
ETask 49: Configuration:0 Energy:18.70 Power:18.70 Reward:18.70 Time:5024
ETask 50: Configuration:0 Energy:18.50 Power:18.50 Reward:18.50 Time:5023
ETask 51: Configuration:0 Energy:18.50 Power:18.50 Reward:18.50 Time:5025
ETask 52: Configuration:0 Energy:18.50 Power:18.50 Reward:18.50 Time:5023
ETask 53: Configuration:0 Energy:18.80 Power:18.80 Reward:18.80 Time:5018
ETask 54: Configuration:0 Energy:19.80 Power:19.80 Reward:19.80 Time:5019
ETask 55: Configuration:0 Energy:20.30 Power:20.30 Reward:20.30 Time:5016
ETask 56: Configuration:0 Energy:20.50 Power:20.50 Reward:20.50 Time:5015
ETask 57: Configuration:0 Energy:20.50 Power:20.50 Reward:20.50 Time:5014
ETask 58: Configuration:0 Energy:20.50 Power:20.50 Reward:20.50 Time:5016
ETask 59: Configuration:0 Energy:20.80 Power:20.80 Reward:20.80 Time:5019
ETask 60: Configuration:0 Energy:20.90 Power:20.90 Reward:20.90 Time:5015
ETask 61: Configuration:0 Energy:21.00 Power:21.00 Reward:21.00 Time:5015
ETask 62: Configuration:0 Energy:21.00 Power:21.00 Reward:21.00 Time:5016
ETask 63: Configuration:0 Energy:21.00 Power:21.00 Reward:21.00 Time:5016
ETask 64: Configuration:0 Energy:21.30 Power:21.30 Reward:21.30 Time:5016
ETask 65: Configuration:0 Energy:21.10 Power:21.10 Reward:21.10 Time:5017
ETask 66: Configuration:0 Energy:20.80 Power:20.80 Reward:20.80 Time:5014
ETask 67: Configuration:0 Energy:20.50 Power:20.50 Reward:20.50 Time:5014
ETask 68: Configuration:0 Energy:21.10 Power:21.10 Reward:21.10 Time:5014
ETask 69: Configuration:0 Energy:20.70 Power:20.70 Reward:20.70 Time:5023
ETask 70: Configuration:0 Energy:19.80 Power:19.80 Reward:19.80 Time:5022
ETask 71: Configuration:0 Energy:19.10 Power:19.10 Reward:19.10 Time:5027
ETask 72: Configuration:0 Energy:19.00 Power:19.00 Reward:19.00 Time:5022
ETask 73: Configuration:0 Energy:18.60 Power:18.60 Reward:18.60 Time:5019
ETask 74: Configuration:0 Energy:18.50 Power:18.50 Reward:18.50 Time:5021
ETask 75: Configuration:0 Energy:18.50 Power:18.50 Reward:18.50 Time:5017
ETask 76: Configuration:0 Energy:18.70 Power:18.70 Reward:18.70 Time:5019
ETask 77: Configuration:0 Energy:18.50 Power:18.50 Reward:18.50 Time:5012
ETask 78: Configuration:0 Energy:18.50 Power:18.50 Reward:18.50 Time:5011
STOKE: End Bat: 1.000000
STOKE: Usage Bat: 0.000000
ERun: Reward:1102.70 PostConfigReward:0.00 Time:272273
