STOKE: Start Bat: 1.000000
ETask 31: Configuration:0 Energy:14.90 Power:14.90 Reward:14.90 Time:3992
ETask 32: Configuration:0 Energy:13.10 Power:13.10 Reward:13.10 Time:4035
ETask 33: Configuration:0 Energy:12.50 Power:12.50 Reward:12.50 Time:4004
ETask 34: Configuration:0 Energy:14.10 Power:14.10 Reward:14.10 Time:4024
ETask 35: Configuration:0 Energy:15.00 Power:15.00 Reward:15.00 Time:3995
ETask 36: Configuration:0 Energy:13.30 Power:13.30 Reward:13.30 Time:4031
ETask 37: Configuration:0 Energy:12.40 Power:12.40 Reward:12.40 Time:3992
ETask 38: Configuration:0 Energy:14.00 Power:14.00 Reward:14.00 Time:4014
ETask 39: Configuration:0 Energy:15.20 Power:15.20 Reward:15.20 Time:3984
ETask 40: Configuration:0 Energy:13.80 Power:13.80 Reward:13.80 Time:4037
ETask 41: Configuration:0 Energy:12.70 Power:12.70 Reward:12.70 Time:3990
ETask 42: Configuration:0 Energy:14.10 Power:14.10 Reward:14.10 Time:4021
ETask 43: Configuration:0 Energy:15.00 Power:15.00 Reward:15.00 Time:3999
ETask 44: Configuration:0 Energy:13.50 Power:13.50 Reward:13.50 Time:4032
ETask 45: Configuration:0 Energy:12.50 Power:12.50 Reward:12.50 Time:3993
ETask 46: Configuration:0 Energy:14.00 Power:14.00 Reward:14.00 Time:4022
ETask 47: Configuration:0 Energy:14.80 Power:14.80 Reward:14.80 Time:3990
ETask 48: Configuration:0 Energy:12.90 Power:12.90 Reward:12.90 Time:4033
ETask 49: Configuration:0 Energy:12.80 Power:12.80 Reward:12.80 Time:3990
ETask 50: Configuration:0 Energy:14.40 Power:14.40 Reward:14.40 Time:4017
ETask 51: Configuration:0 Energy:15.00 Power:15.00 Reward:15.00 Time:4009
ETask 52: Configuration:0 Energy:13.30 Power:13.30 Reward:13.30 Time:4032
ETask 53: Configuration:0 Energy:12.90 Power:12.90 Reward:12.90 Time:3989
ETask 54: Configuration:0 Energy:14.40 Power:14.40 Reward:14.40 Time:4021
ETask 55: Configuration:0 Energy:15.10 Power:15.10 Reward:15.10 Time:4000
ETask 56: Configuration:0 Energy:13.20 Power:13.20 Reward:13.20 Time:4030
ETask 57: Configuration:0 Energy:12.60 Power:12.60 Reward:12.60 Time:3987
ETask 58: Configuration:0 Energy:14.00 Power:14.00 Reward:14.00 Time:4020
ETask 59: Configuration:0 Energy:15.00 Power:15.00 Reward:15.00 Time:3992
ETask 60: Configuration:0 Energy:13.50 Power:13.50 Reward:13.50 Time:4033
ETask 61: Configuration:0 Energy:12.80 Power:12.80 Reward:12.80 Time:3991
ETask 62: Configuration:0 Energy:14.60 Power:14.60 Reward:14.60 Time:4019
ETask 63: Configuration:0 Energy:15.70 Power:15.70 Reward:15.70 Time:3996
ETask 64: Configuration:0 Energy:14.00 Power:14.00 Reward:14.00 Time:4034
ETask 65: Configuration:0 Energy:12.70 Power:12.70 Reward:12.70 Time:3988
ETask 66: Configuration:0 Energy:14.00 Power:14.00 Reward:14.00 Time:4022
ETask 67: Configuration:0 Energy:14.70 Power:14.70 Reward:14.70 Time:3987
ETask 68: Configuration:0 Energy:13.50 Power:13.50 Reward:13.50 Time:4033
ETask 69: Configuration:0 Energy:12.80 Power:12.80 Reward:12.80 Time:3995
ETask 70: Configuration:0 Energy:14.40 Power:14.40 Reward:14.40 Time:4020
ETask 71: Configuration:0 Energy:15.20 Power:15.20 Reward:15.20 Time:3998
ETask 72: Configuration:0 Energy:13.60 Power:13.60 Reward:13.60 Time:4030
ETask 73: Configuration:0 Energy:12.80 Power:12.80 Reward:12.80 Time:3995
ETask 74: Configuration:0 Energy:14.20 Power:14.20 Reward:14.20 Time:4024
ETask 75: Configuration:0 Energy:15.00 Power:15.00 Reward:15.00 Time:3997
ETask 76: Configuration:0 Energy:13.10 Power:13.10 Reward:13.10 Time:4034
ETask 77: Configuration:0 Energy:12.60 Power:12.60 Reward:12.60 Time:3992
ETask 78: Configuration:0 Energy:14.10 Power:14.10 Reward:14.10 Time:4010
ETask 79: Configuration:0 Energy:15.20 Power:15.20 Reward:15.20 Time:3993
ETask 80: Configuration:0 Energy:13.40 Power:13.40 Reward:13.40 Time:4031
ETask 81: Configuration:0 Energy:12.80 Power:12.80 Reward:12.80 Time:3989
ETask 82: Configuration:0 Energy:14.10 Power:14.10 Reward:14.10 Time:4022
ETask 83: Configuration:0 Energy:14.70 Power:14.70 Reward:14.70 Time:4002
ETask 84: Configuration:0 Energy:13.10 Power:13.10 Reward:13.10 Time:4028
STOKE: End Bat: 1.000000
STOKE: Usage Bat: 0.000000
ERun: Reward:747.10 PostConfigReward:0.00 Time:218471
