STOKE: Start Bat: 1.000000
ELocation 0: Diff:1 ms Accuracy:10.00
STOKE: Battery:1.000000 Level:100 Voltage:4.3340 Amps:0.0090 Watts:0.0390
STOKE: Battery:1.000000 Level:100 Voltage:4.3340 Amps:0.8263 Watts:3.5810
STOKE: Battery:1.000000 Level:100 Voltage:4.3340 Amps:0.8263 Watts:3.5810
STOKE: Battery:1.000000 Level:100 Voltage:4.3340 Amps:0.8263 Watts:3.5810
STOKE: Battery:1.000000 Level:100 Voltage:4.3340 Amps:0.8263 Watts:3.5810
STOKE: Battery:1.000000 Level:100 Voltage:4.3340 Amps:0.8263 Watts:3.5810
STOKE: Battery:1.000000 Level:100 Voltage:4.3340 Amps:0.8263 Watts:3.5810
STOKE: Battery:1.000000 Level:100 Voltage:4.3340 Amps:0.6868 Watts:2.9766
STOKE: Battery:1.000000 Level:100 Voltage:4.3340 Amps:0.6868 Watts:2.9766
STOKE: Battery:1.000000 Level:100 Voltage:4.3340 Amps:0.6868 Watts:2.9766
STOKE: Battery:1.000000 Level:100 Voltage:4.3340 Amps:0.6868 Watts:2.9766
STOKE: Battery:1.000000 Level:100 Voltage:4.3340 Amps:0.6868 Watts:2.9766
STOKE: Battery:1.000000 Level:100 Voltage:4.3340 Amps:0.6868 Watts:2.9766
STOKE: Battery:1.000000 Level:100 Voltage:4.3340 Amps:0.3532 Watts:1.5309
STOKE: Battery:1.000000 Level:100 Voltage:4.3340 Amps:0.3532 Watts:1.5309
STOKE: Battery:1.000000 Level:100 Voltage:4.3340 Amps:0.3532 Watts:1.5309
STOKE: Battery:1.000000 Level:100 Voltage:4.3340 Amps:0.3532 Watts:1.5309
STOKE: Battery:1.000000 Level:100 Voltage:4.3340 Amps:0.3532 Watts:1.5309
STOKE: Battery:1.000000 Level:100 Voltage:4.3340 Amps:0.3532 Watts:1.5309
STOKE: Battery:1.000000 Level:100 Voltage:4.3340 Amps:0.5681 Watts:2.4621
STOKE: Battery:1.000000 Level:100 Voltage:4.3340 Amps:0.5681 Watts:2.4621
STOKE: Battery:1.000000 Level:100 Voltage:4.3340 Amps:0.5681 Watts:2.4621
STOKE: Battery:1.000000 Level:100 Voltage:4.3340 Amps:0.5681 Watts:2.4621
STOKE: Battery:1.000000 Level:100 Voltage:4.3340 Amps:0.5681 Watts:2.4621
STOKE: Battery:1.000000 Level:100 Voltage:4.3340 Amps:0.5681 Watts:2.4621
STOKE: Battery:1.000000 Level:100 Voltage:4.3340 Amps:0.2908 Watts:1.2605
STOKE: Battery:1.000000 Level:100 Voltage:4.3340 Amps:0.2908 Watts:1.2605
STOKE: Battery:1.000000 Level:100 Voltage:4.3340 Amps:0.2908 Watts:1.2605
STOKE: Battery:1.000000 Level:100 Voltage:4.3340 Amps:0.2908 Watts:1.2605
STOKE: Battery:1.000000 Level:100 Voltage:4.3340 Amps:0.2908 Watts:1.2605
STOKE: Battery:1.000000 Level:100 Voltage:4.3340 Amps:0.2908 Watts:1.2605
STOKE: Battery:1.000000 Level:100 Voltage:4.3340 Amps:0.8000 Watts:3.4673
STOKE: Battery:1.000000 Level:100 Voltage:4.3340 Amps:0.8000 Watts:3.4673
