count	5000ms	500ms
0	1.0	1.0
1	1.0	1.0
2	1.0	1.0
3	1.0	1.0
4	1.0	1.0
5	1.0	1.0
6	1.0	1.0
7	1.0	1.0
8	1.0	1.0
9	1.0	1.0
10	1.0	1.0
11	1.0	1.0
12	1.0	1.0
13	1.0	1.0
14	1.0	1.0
15	1.0	1.0
16	1.0	1.0
17	1.0	1.0
18	0.99	1.0
19	0.99	1.0
20	0.99	1.0
21	0.99	1.0
22	0.99	1.0
23	0.99	1.0
24	0.99	1.0
25	0.99	1.0
26	0.99	1.0
27	0.99	1.0
28	0.99	1.0
29	0.99	1.0
30	0.99	1.0
31	0.99	1.0
32	0.99	1.0
33	0.99	1.0
34	0.99	1.0
35	0.99	1.0
36	0.99	1.0
37	0.99	1.0
38	0.99	1.0
39	0.99	0.99
40	0.99	0.99
41	0.99	0.99
42	0.99	0.99
43	0.99	0.99
44	0.99	0.99
45	0.99	0.99
46	0.98	0.99
47	0.98	0.99
48	0.98	0.99
49	0.98	0.99
50	0.98	0.99
51	0.98	0.99
52	0.98	0.99
53	0.98	0.99
54	0.98	0.99
55	0.98	0.99
56	0.98	0.99
57	0.98	0.99
58	0.98	0.99
59	0.98	0.99
60	0.98	0.99
61	0.98	0.99
62	0.98	0.99
63	0.98	0.99
64	0.98	0.99
65	0.98	0.99
66	0.98	0.98
67	0.98	0.98
68	0.98	0.98
69	0.98	0.98
70	0.98	0.98
71	0.98	0.98
72	0.98	0.98
73	0.98	0.98
74	0.98	0.98
75	0.98	0.98
76	0.98	0.98
77	0.98	0.98
78	0.98	0.98
79	0.98	0.98
80	0.98	0.98
81	0.98	0.98
82	0.98	0.98
83	0.98	0.98
84	0.98	0.98
85	0.98	0.98
86	0.98	0.98
87	0.98	0.98
88	0.98	0.98
89	0.98	0.98
90	0.98	0.98
91	0.98	0.98
92	0.98	0.98
93	0.98	0.98
94	0.97	0.98
95	0.97	0.98
96	0.97	0.98
97	0.97	0.98
98	0.97	0.98
99	0.97	0.98
