task	r0_energy	r0_config	r0_reward	r0_rate	r1_energy	r1_config	r1_reward	r1_rate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
0	69.364916943358	0	69.364916943358	24.847134427471524	34.675738864898996	0	34.675738864898996	12.421160190411582	2	0	0	0	0	0	0	0	0	0	0	0
1	46.909301290368	1	116.274218233726	16.803331805504957	37.515242813076	1	72.190981677975	13.43829593304215	0	2	0	0	0	0	0	0	0	0	0	0
2	41.550144164984	2	157.82436239871	14.883633730740536	93.699657622125	2	165.89063930010002	33.56405646165672	0	0	2	0	0	0	0	0	0	0	0	0
3	72.392058026204	3	230.21642042491402	25.931483472073072	72.844119450876	3	238.73475875097603	26.093415922701848	0	0	0	2	0	0	0	0	0	0	0	0
4	70.73031318648	4	300.94673361139405	25.33623158918687	73.473679497812	4	312.208438248788	26.318929969365495	0	0	0	0	2	0	0	0	0	0	0	0
5	68.216024226408	0	369.162757837802	24.435590767668536	43.08183719488	3	355.290275443668	15.432299890703282	1	0	0	1	0	0	0	0	0	0	0	0
6	64.639463850388	0	433.80222168819	23.154434812079284	69.95001001665601	3	425.240285460324	25.056720005966334	1	0	0	1	0	0	0	0	0	0	0	0
7	35.099985142848006	0	468.90220683103803	12.573129006393316	83.30675108316	3	508.547036543484	29.84122426859462	1	0	0	1	0	0	0	0	0	0	0	0
8	44.830077162672005	0	513.73228399371	16.058535103046687	92.03715358637798	3	600.584190129862	32.96853262795629	1	0	0	1	0	0	0	0	0	0	0	0
9	34.113738068686	0	547.846022062396	12.219846472365132	69.105713843056	3	669.689903972918	24.754285555721548	1	0	0	1	0	0	0	0	0	0	0	0
10	34.289943660288	0	582.135965722684	12.282964893237493	36.88744786188	3	706.577351834798	13.213414159479402	1	0	0	1	0	0	0	0	0	0	0	0
11	36.773560817664006	0	36.773560817664006	13.172618800357256	58.509815601380005	0	58.509815601380005	20.95873991691224	2	0	0	0	0	0	0	0	0	0	0	0
12	70.011699853312	1	106.785260670976	25.078817857902806	74.27320475025	1	132.78302035163	26.605327074716417	0	2	0	0	0	0	0	0	0	0	0	0
13	34.18215657422401	2	140.9674172452	12.244354593751885	35.582632132104	2	168.365652483734	12.746017480156656	0	0	2	0	0	0	0	0	0	0	0	0
14	35.127276306948005	1	176.09469355214802	12.58290494577242	70.00139007099	3	238.367042554724	25.075124801548657	0	1	0	1	0	0	0	0	0	0	0	0
15	51.151863069216	1	227.24655662136402	18.32305542777887	83.722914999648	4	322.089957554372	29.99029791032167	0	1	0	0	1	0	0	0	0	0	0	0
16	53.79108060942	1	281.037637230784	19.268446785463883	38.43213112737	0	360.522088681742	13.766733538162386	1	1	0	0	0	0	0	0	0	0	0	0
17	89.142751527372	1	370.180388758156	31.93173189040191	70.914829615578	3	431.43691829732	25.4023270264757	0	1	0	1	0	0	0	0	0	0	0	0
18	50.193454012020005	1	420.37384277017605	17.979744720723588	40.64398160679	3	472.08089990411	14.559038187506864	0	1	0	1	0	0	0	0	0	0	0	0
19	50.633776741392005	1	471.00761951156807	18.137472265573255	72.45429897031201	3	544.535198874422	25.953778735634156	0	1	0	1	0	0	0	0	0	0	0	0
20	171.41906783855097	1	642.426687350119	61.40384519589885	70.492278095235	3	615.027476969657	25.25096528784537	0	1	0	1	0	0	0	0	0	0	0	0
21	34.114305580992	1	676.540992931111	12.220049760355343	72.75427505740801	3	687.781752027065	26.06123285638496	0	1	0	1	0	0	0	0	0	0	0	0
22	34.294388534834994	0	34.294388534834994	12.284557087105073	50.343356689984	0	50.343356689984	18.033441202382328	2	0	0	0	0	0	0	0	0	0	0	0
23	34.032698221938	1	68.32708675677299	12.190817273530028	69.25893917183998	1	119.60229586182399	24.809172240659098	0	2	0	0	0	0	0	0	0	0	0	0
24	34.959416455391995	2	103.28650321216497	12.522776043722505	102.810347274368	2	222.412643136192	36.8275870833557	0	0	2	0	0	0	0	0	0	0	0	0
25	134.60714552469602	3	237.893648736861	48.217484964070216	85.93036546624	3	308.343008602432	30.78102643566806	0	0	0	2	0	0	0	0	0	0	0	0
26	35.971240305311994	4	273.864889042173	12.885220407872954	86.15594838528	4	394.498956987712	30.86183225741373	0	0	0	0	2	0	0	0	0	0	0	0
27	33.938494287515994	4	307.803383329689	12.157072580602746	91.091439751488	1	485.5903967392	32.62976946321958	0	1	0	0	1	0	0	0	0	0	0	0
28	59.18201410368	2	366.985397433369	21.19952744012418	39.536144524799994	0	525.126541264	14.16220102380895	1	0	1	0	0	0	0	0	0	0	0	0
29	46.307916723081	2	413.29331415645	16.587910467969312	35.149351481125	0	560.275892745125	12.590812470850748	1	0	1	0	0	0	0	0	0	0	0	0
30	36.121934883452	2	449.415249039902	12.939200555266389	82.68289703909998	0	642.958789784225	29.617754163259693	1	0	1	0	0	0	0	0	0	0	0	0
31	34.160854363194	2	483.576103403096	12.236723950994863	67.40179337385	1	710.360583158075	24.143925984662687	0	1	1	0	0	0	0	0	0	0	0	0
32	44.87958126428	2	528.455684667376	16.076267915562983	41.147432802	0	751.508015960075	14.739378914149256	1	0	1	0	0	0	0	0	0	0	0	0
33	35.26974036589001	0	35.26974036589001	12.633936847482987	35.53882604074	0	787.046842000815	12.730325745936714	2	0	0	0	0	0	0	0	0	0	0	0
34	37.624990671127996	1	72.894731037018	13.477608598613013	67.792963779655	0	854.83980578047	24.284046727040593	1	1	0	0	0	0	0	0	0	0	0	0
35	63.1238406812	2	136.018571718218	22.611525020131346	33.68836280672999	0	33.68836280672999	12.067473244201787	1	0	1	0	0	0	0	0	0	0	0	0
36	51.55566512468401	2	187.574236842902	18.467700940185317	79.03053309799999	1	112.71889590472998	28.3094446918209	0	1	1	0	0	0	0	0	0	0	0	0
37	50.09004611892001	2	237.664282961822	17.94270308737433	36.0485828726	2	148.76747877732998	12.912925208095524	0	0	2	0	0	0	0	0	0	0	0	0
38	50.187108483850004	0	287.851391445672	17.97747169570746	66.7912755552	3	215.55875433253	23.925233034698508	1	0	0	1	0	0	0	0	0	0	0	0
