policy	round	interaction	rate	joules	win
r1	0	11	28.42221048616744	64.59593292310781	74.77
r1	1	22	31.068492738776637	70.6102107699469	78.8
r1	2	33	28.241859426812525	64.18604415184664	75.1
r1	3	50	25.770506980403425	68.21604788930318	61.88
r1	4	61	29.824109350729202	67.78206670620273	84.67
r1	5	72	32.737997689970314	74.404540204478	72.91
r1	6	95	32.415958718875515	84.56337057097961	80.31
r1	7	106	32.01133655472439	72.75303762437362	74.51
r2	0	13	27.60527355325471	74.32189033568577	79.83
r2	1	26	22.10977267119697	59.526311037838006	59.27
r2	2	49	24.600280242785217	64.1746441116136	74.06
r2	3	60	28.993050919617723	65.89329754458574	65.84
r2	4	73	23.552180566900287	63.409716910885386	75.74
r2	5	84	31.854133178983876	72.39575722496335	75.0
r2	6	95	35.817133960710876	81.4025771834338	58.56
r2	7	106	27.601697356209876	62.731130355022444	61.11
