policy	round	interaction	rate	joules	win
r1	0	17	20.434750412619287	54.09198638634518	49.36
r1	1	31	26.9162046348858	67.2905115872145	54.73
r1	2	50	19.70229288633594	51.84813917456826	52.28
r1	3	64	20.6028637011744	51.507159252936	54.1
r1	4	82	19.915371021167513	49.78842755291878	51.3
r2	0	54	20.65315190621941	55.45753752595952	53.32
r2	1	65	16.86283873052692	38.324633478470275	38.68
r2	2	82	21.600784382397375	57.17854689458129	54.99
r2	3	96	21.855363663483256	54.63840915870814	50.09
r2	4	113	23.64408132220931	62.58727408820112	56.76
