task	r0_energy	r0_config	r0_reward	r0_rate	r1_energy	r1_config	r1_reward	r1_rate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
0	49.427148965309996	0	49.427148965309996	17.705247390558803	47.16081773625199	0	47.16081773625199	16.893427248806685	2	0	0	0	0	0	0	0	0	0	0	0
1	38.3417504328	0	87.76889939811	13.73435836398806	51.485914938307005	0	98.64673267455899	18.442715798796534	2	0	0	0	0	0	0	0	0	0	0	0
2	40.384112335875	1	128.153011733985	14.465950687477616	69.990659820328	1	168.637392494887	25.071281129669735	0	2	0	0	0	0	0	0	0	0	0	0
3	66.75194812704	1	194.90495986102502	23.91114559774567	41.17379779062	1	209.811190285507	14.748823089177312	0	2	0	0	0	0	0	0	0	0	0	0
4	135.69724685349	2	330.602206714515	48.60796902214567	73.91731972302	2	283.728510008527	26.47784587093254	0	0	2	0	0	0	0	0	0	0	0	0
5	66.73289505167999	2	397.33510176619495	23.90432061552716	73.500236869341	2	357.228746877868	26.32844305767439	0	0	2	0	0	0	0	0	0	0	0	0
6	34.066721070585004	1	431.40182283677996	12.203004562597615	38.473901120655	1	395.702647998523	13.781695923816715	0	2	0	0	0	0	0	0	0	0	0	0
7	32.71597438449599	1	464.11779722127596	11.71915500340155	64.885450702914	1	460.588098701437	23.24254950552144	0	2	0	0	0	0	0	0	0	0	0	0
8	37.05486625416	0	501.17266347543597	13.273384926863283	52.26793072776599	1	512.856029429203	18.722840857707222	1	1	0	0	0	0	0	0	0	0	0	0
9	66.759084441776	1	567.931747917212	23.913701889591398	34.36902221742	1	547.225051646623	12.31129154056836	0	2	0	0	0	0	0	0	0	0	0	0
10	38.972211887088	1	606.9039598042999	13.960195302837494	37.334965398150004	1	584.560017044773	13.373718948591048	0	2	0	0	0	0	0	0	0	0	0	0
11	35.333899162752	1	642.2378589670519	12.656919103075342	51.40179825795	0	635.9618153027229	18.412584450608954	1	1	0	0	0	0	0	0	0	0	0	0
12	42.28083938003199	1	684.518698347084	15.145375300309967	52.22942111520001	0	688.1912364179229	18.709046369623884	1	1	0	0	0	0	0	0	0	0	0	0
13	64.89412128	1	749.412819627084	23.245655383880596	56.2597771722	0	744.4510135901229	20.15275600198209	1	1	0	0	0	0	0	0	0	0	0	0
14	83.036457742576	1	832.44927736966	29.744402773460063	88.78154402145599	2	833.2325576115788	31.802344127088713	0	1	1	0	0	0	0	0	0	0	0	0
15	35.5685425104	1	868.01781988006	12.740970451486568	66.423311136	0	899.6558687475788	23.793424884537316	1	1	0	0	0	0	0	0	0	0	0	0
16	51.545948687808014	1	919.563768567868	18.464220425483468	74.496646919388	0	974.1525156669668	26.685366060676298	1	1	0	0	0	0	0	0	0	0	0	0
17	159.85853772047994	0	159.85853772047994	57.262759780470425	36.34887573936	0	1010.5013914063268	13.020492802158806	2	0	0	0	0	0	0	0	0	0	0	0
18	148.12946798571	0	307.98800570618994	53.061301965030445	37.160486502744	0	1047.6618779090709	13.311219045759044	2	0	0	0	0	0	0	0	0	0	0	0
19	52.66199969532	1	360.65000540150993	18.863999890860892	73.52963672824801	0	1121.191514637319	26.3389743504172	1	1	0	0	0	0	0	0	0	0	0	0
20	34.16005545975	1	394.8100608612599	12.236437776626865	46.749253677424	0	1167.9407683147429	16.746001317286208	1	1	0	0	0	0	0	0	0	0	0	0
21	93.927933882	2	488.7379947432599	33.645827062208966	38.79912890952	1	1206.739897224263	13.89819543027582	0	1	1	0	0	0	0	0	0	0	0	0
22	33.244071977025	2	521.9820667202849	11.908324290277614	43.176033479488	0	1249.915930703751	15.466041843398685	1	0	1	0	0	0	0	0	0	0	0	0
23	40.127573913435	2	562.1096406337199	14.374056327200597	53.822161451039996	0	1303.738092154791	19.27958022126806	1	0	1	0	0	0	0	0	0	0	0	0
24	33.554968035975	2	595.6646086696949	12.019690042737315	91.98188186304	0	1395.719974017831	32.94873380168597	1	0	1	0	0	0	0	0	0	0	0	0
25	60.57156559960801	2	656.2361742693029	21.69727722971033	74.18083977612	0	1469.9008137939509	26.572241113834025	1	0	1	0	0	0	0	0	0	0	0	0
26	65.78245841025601	2	722.0186326795589	23.563865699196185	84.96387233712	0	1554.8646861310708	30.434819941654926	1	0	1	0	0	0	0	0	0	0	0	0
27	70.319541539988	2	792.3381742195469	25.18908950686137	69.129832713144	0	1623.9945188442148	24.76292515097695	1	0	1	0	0	0	0	0	0	0	0	0
28	67.50887109073201	2	859.8470453102789	24.18228218175475	55.54476948148799	0	1679.5392883257027	19.8966338441151	1	0	1	0	0	0	0	0	0	0	0	0
29	46.221691839336	2	906.0687371496149	16.55702394244872	36.8962606036	0	1716.4355489293027	13.216570962483582	1	0	1	0	0	0	0	0	0	0	0	0
30	35.998425071388	2	942.067162221003	12.894958234527046	55.06639603423999	1	1771.5019449635427	19.725276191369552	0	1	1	0	0	0	0	0	0	0	0	0
31	37.177098257052	0	37.177098257052	13.317169524914151	66.58861266797999	0	1838.0905576315226	23.852637373604775	2	0	0	0	0	0	0	0	0	0	0	0
32	68.399111483582	0	105.576209740634	24.501174262775642	52.107351669559996	0	1890.1979093010827	18.665320001036417	2	0	0	0	0	0	0	0	0	0	0	0
33	62.303753240903994	1	167.879962981538	22.317762354950684	38.99604466599399	0	1929.1939539670768	13.968732417669491	1	1	0	0	0	0	0	0	0	0	0	0
34	34.01962606994999	1	201.899589051488	12.186134711623877	71.12320465269599	2	2000.3171586197727	25.476968830816475	0	1	1	0	0	0	0	0	0	0	0	0
35	92.34839127176	0	294.247980323248	33.08002075406329	35.285034896832	0	2035.6021935166048	12.639415485432359	2	0	0	0	0	0	0	0	0	0	0	0
36	64.10970446022	0	358.357684783468	22.964670254407167	36.106501370400004	0	2071.7086948870046	12.933672132680599	2	0	0	0	0	0	0	0	0	0	0	0
37	50.154684229362005	0	408.51236901283005	17.965857037383405	41.71451467177201	0	2113.4232095587768	14.942512718246691	2	0	0	0	0	0	0	0	0	0	0	0
38	49.393878703595995	0	457.90624771642604	17.693329684870207	56.477170142240006	0	2169.900379701017	20.23062811065314	2	0	0	0	0	0	0	0	0	0	0	0
