task	r0_energy	r0_config	r0_reward	r0_rate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
0	270.17238559872004	0	270.17238559872004	96.7781679756609	1	0	0	0	0	0	0	0	0	0	0	0
1	66.83746878340399	0	337.00985438212405	23.941779862711876	1	0	0	0	0	0	0	0	0	0	0	0
2	66.858650938906	1	403.86850532103006	23.94936750050364	0	1	0	0	0	0	0	0	0	0	0	0
3	80.165443657452	1	484.03394897848204	28.715979817594746	0	1	0	0	0	0	0	0	0	0	0	0
4	51.68673498191399	2	535.7206839603961	18.51465133680501	0	0	1	0	0	0	0	0	0	0	0	0
5	54.798708855916	2	590.519392816312	19.62938824689528	0	0	1	0	0	0	0	0	0	0	0	0
6	82.62478784195099	3	673.1441806582629	29.59693892846005	0	0	0	1	0	0	0	0	0	0	0	0
7	91.18399030435201	3	764.328170962615	32.66292190006639	0	0	0	1	0	0	0	0	0	0	0	0
8	273.711846601435	4	1038.04001756405	98.0460346034991	0	0	0	0	1	0	0	0	0	0	0	0
9	83.53521647202601	4	1121.575234036076	29.92306261684514	0	0	0	0	1	0	0	0	0	0	0	0
10	54.75680422935201	1	1176.3320382654279	19.614377634394746	0	1	0	0	0	0	0	0	0	0	0	0
11	42.382186191866005	1	1218.7142244572938	15.181678635892299	0	1	0	0	0	0	0	0	0	0	0	0
12	36.993390272033004	1	1255.7076147293267	13.25136367953421	0	1	0	0	0	0	0	0	0	0	0	0
13	72.83619736790102	1	1328.5438120972276	26.090578161636188	0	1	0	0	0	0	0	0	0	0	0	0
14	36.164247778746	1	1364.7080598759735	12.954357413282152	0	1	0	0	0	0	0	0	0	0	0	0
15	36.182922563865006	1	1400.8909824398386	12.961046888548658	0	1	0	0	0	0	0	0	0	0	0	0
16	38.95379388309	1	1439.8447763229285	13.95359780886806	0	1	0	0	0	0	0	0	0	0	0	0
17	36.997199245439994	2	1476.8419755683685	13.252728087918802	0	0	1	0	0	0	0	0	0	0	0	0
18	38.17240116192	3	1515.0143767302886	13.673695938598211	0	0	0	1	0	0	0	0	0	0	0	0
19	47.13168931446	3	1562.1460660447485	16.882993187269253	0	0	0	1	0	0	0	0	0	0	0	0
20	37.897321702212	3	1600.0433877469604	13.575160012732654	0	0	0	1	0	0	0	0	0	0	0	0
21	41.661981329279996	3	1641.7053690762405	14.923694804518204	0	0	0	1	0	0	0	0	0	0	0	0
22	86.99254247054	3	1728.6979115467805	31.161507750641192	0	0	0	1	0	0	0	0	0	0	0	0
23	93.81626432876	3	1822.5141758755406	33.60582602821253	0	0	0	1	0	0	0	0	0	0	0	0
24	75.57778787753999	3	1898.0919637530806	27.07264043374567	0	0	0	1	0	0	0	0	0	0	0	0
25	79.64793076968002	3	1977.7398945227606	28.530602066751047	0	0	0	1	0	0	0	0	0	0	0	0
26	43.80147899424	3	2021.5413735170005	15.690082027787463	0	0	0	1	0	0	0	0	0	0	0	0
27	53.43227158500001	3	2074.9736451020003	19.139918179701496	0	0	0	1	0	0	0	0	0	0	0	0
28	53.273772887999996	3	2128.2474179900005	19.083142527044778	0	0	0	1	0	0	0	0	0	0	0	0
29	53.0895665664	3	2181.3369845564007	19.01715817303881	0	0	0	1	0	0	0	0	0	0	0	0
30	53.0188714902	3	2234.355856046601	18.991834563653732	0	0	0	1	0	0	0	0	0	0	0	0
31	36.57291721440001	0	36.57291721440001	13.100746464859702	1	0	0	0	0	0	0	0	0	0	0	0
32	44.685936090599995	0	81.258853305	16.006902480214926	1	0	0	0	0	0	0	0	0	0	0	0
33	37.36866615300001	1	118.62751945800001	13.38579086077612	0	1	0	0	0	0	0	0	0	0	0	0
34	37.779950208	1	156.407469666	13.533116492417912	0	1	0	0	0	0	0	0	0	0	0	0
35	69.7428950484	2	226.15036471439998	24.982529569576116	0	0	1	0	0	0	0	0	0	0	0	0
36	74.346707484	2	300.4970721984	26.63165641217911	0	0	1	0	0	0	0	0	0	0	0	0
37	74.38867090715198	3	374.885743105552	26.646688086143993	0	0	0	1	0	0	0	0	0	0	0	0
38	73.699737608972	3	448.585480714524	26.399906009183997	0	0	0	1	0	0	0	0	0	0	0	0
39	79.728880783338	4	528.314361497862	28.559599086568834	0	0	0	0	1	0	0	0	0	0	0	0
40	69.88411061032501	4	598.198472108187	25.033114248474632	0	0	0	0	1	0	0	0	0	0	0	0
41	71.97088721504399	3	670.169359323231	25.78061631583665	0	0	0	1	0	0	0	0	0	0	0	0
42	37.911168649349996	3	708.080527972581	13.5801201132	0	0	0	1	0	0	0	0	0	0	0	0
43	69.748658738397	3	777.829186710978	24.984594174948178	0	0	0	1	0	0	0	0	0	0	0	0
44	69.619594679316	3	847.448781390294	24.93836227318782	0	0	0	1	0	0	0	0	0	0	0	0
45	38.2513145084	3	885.700095898694	13.701963405994027	0	0	0	1	0	0	0	0	0	0	0	0
46	39.085010470883994	2	924.785106369578	14.00060076568979	0	0	1	0	0	0	0	0	0	0	0	0
47	37.98748058685999	3	962.772586956438	13.60745573260656	0	0	0	1	0	0	0	0	0	0	0	0
48	68.62960177043598	2	1031.4021887268739	24.58373794761886	0	0	1	0	0	0	0	0	0	0	0	0
49	53.710098619267995	2	1085.1122873461418	19.23943831137958	0	0	1	0	0	0	0	0	0	0	0	0
50	54.80031076939999	2	1139.9125981155419	19.629962066650744	0	0	1	0	0	0	0	0	0	0	0	0
51	54.439461547855984	2	1194.3520596633978	19.500702644008115	0	0	1	0	0	0	0	0	0	0	0	0
52	54.85905297163199	2	1249.2111126350298	19.651004049539818	0	0	1	0	0	0	0	0	0	0	0	0
53	81.584582130324	2	1330.7956947653538	29.224327927280235	0	0	1	0	0	0	0	0	0	0	0	0
54	67.18831591626	2	1397.9840106816139	24.067456447615527	0	0	1	0	0	0	0	0	0	0	0	0
55	68.70517480108799	2	1466.6891854827018	24.610808883971817	0	0	1	0	0	0	0	0	0	0	0	0
56	67.78436266755999	2	1534.4735481502616	24.280965731663283	0	0	1	0	0	0	0	0	0	0	0	0
57	47.80732081458	2	1582.2808689648416	17.12501044104358	0	0	1	0	0	0	0	0	0	0	0	0
58	49.684683938750005	2	1631.9655529035915	17.797498724328356	0	0	1	0	0	0	0	0	0	0	0	0
59	37.734183500845006	2	1669.6997364044364	13.51672244806388	0	0	1	0	0	0	0	0	0	0	0	0
60	42.211858664105	2	1711.9115950685414	15.120665790127166	0	0	1	0	0	0	0	0	0	0	0	0
61	48.612256565275004	2	1760.5238516338163	17.41334563532239	0	0	1	0	0	0	0	0	0	0	0	0
62	49.07181362717501	0	49.07181362717501	17.57796309033135	1	0	0	0	0	0	0	0	0	0	0	0
63	53.085327338184996	0	102.15714096536001	19.015639643528953	1	0	0	0	0	0	0	0	0	0	0	0
64	52.49396114568	1	154.65110211104002	18.803806977557016	0	1	0	0	0	0	0	0	0	0	0	0
65	52.85923107601499	1	207.510333187055	18.934649937677012	0	1	0	0	0	0	0	0	0	0	0	0
66	83.8501584381	2	291.360491625155	30.035877649468656	0	0	1	0	0	0	0	0	0	0	0	0
67	57.46633381856601	2	348.826825443721	20.58495539769529	0	0	1	0	0	0	0	0	0	0	0	0
68	70.86958751928002	3	419.696412963001	25.386120902428665	0	0	0	1	0	0	0	0	0	0	0	0
69	50.287205422848004	3	469.983618385849	18.013327315647047	0	0	0	1	0	0	0	0	0	0	0	0
70	76.00040232996	4	545.984020715809	27.224024715209545	0	0	0	0	1	0	0	0	0	0	0	0
71	84.41510231863501	4	630.3991230344441	30.238245606675225	0	0	0	0	1	0	0	0	0	0	0	0
72	83.532198071088	3	713.9313211055321	29.92198139859869	0	0	0	1	0	0	0	0	0	0	0	0
73	85.83879437221199	3	799.7701154777441	30.74822484974758	0	0	0	1	0	0	0	0	0	0	0	0
74	83.78293096848002	3	883.5530464462241	30.011796167813735	0	0	0	1	0	0	0	0	0	0	0	0
75	69.84465984658999	3	953.3977062928141	25.01898263161433	0	0	0	1	0	0	0	0	0	0	0	0
76	39.337439034431995	3	992.7351453272461	14.091022937706985	0	0	0	1	0	0	0	0	0	0	0	0
77	38.16444547671001	3	1030.899590803956	13.670846140911047	0	0	0	1	0	0	0	0	0	0	0	0
78	38.047516763795	3	1068.9471075677511	13.628961228822089	0	0	0	1	0	0	0	0	0	0	0	0
79	73.42015673890802	3	1142.367264306659	26.299757637817798	0	0	0	1	0	0	0	0	0	0	0	0
80	71.67670563508001	3	1214.043969941739	25.675237839431645	0	0	0	1	0	0	0	0	0	0	0	0
81	69.96821706	3	1284.012187001739	25.063241931940297	0	0	0	1	0	0	0	0	0	0	0	0
82	39.335019460128	3	1323.347206461867	14.090156224523463	0	0	0	1	0	0	0	0	0	0	0	0
83	68.42967271499799	0	68.42967271499799	24.51212156955152	1	0	0	0	0	0	0	0	0	0	0	0
84	68.53654938487	0	136.966222099868	24.55040574980418	1	0	0	0	0	0	0	0	0	0	0	0
85	69.54230388847199	1	206.50852598833998	24.910676019751165	0	1	0	0	0	0	0	0	0	0	0	0
86	71.606936961055	1	278.115462949395	25.650246075601792	0	1	0	0	0	0	0	0	0	0	0	0
87	68.857886589895	2	346.97334953929	24.665511614290747	0	0	1	0	0	0	0	0	0	0	0	0
88	68.602597321014	2	415.575946860304	24.574064712005015	0	0	1	0	0	0	0	0	0	0	0	0
89	69.50709392783999	3	485.083040788144	24.8980634965397	0	0	0	1	0	0	0	0	0	0	0	0
90	39.45558735778399	3	524.538628145928	14.133344725176354	0	0	0	1	0	0	0	0	0	0	0	0
91	106.233265344124	4	630.771893490052	38.053706988939936	0	0	0	0	1	0	0	0	0	0	0	0
92	71.28325008200399	4	702.055143572056	25.534298536837248	0	0	0	0	1	0	0	0	0	0	0	0
93	84.913242891136	1	786.9683864631919	30.416684020705432	0	1	0	0	0	0	0	0	0	0	0	0
94	86.67951922118998	1	873.6479056843818	31.04938001953074	0	1	0	0	0	0	0	0	0	0	0	0
95	86.489008298802	2	960.1369139831838	30.981137301063406	0	0	1	0	0	0	0	0	0	0	0	0
