task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r0_rollrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
0	0.7113704125422764	0	56.09329486730199	20.711370412542276	20.711370412542276	20.711370412542276	1	0	0	0	0	0	0	0	0	0	0	0
1	0.5346384114676894	0	111.70794056502697	20.53463841146769	20.62300441200498	20.62300441200498	1	0	0	0	0	0	0	0	0	0	0	0
2	5.192788907055387	1	151.81080394175197	14.807211092944613	18.684406638984857	18.684406638984857	0	1	0	0	0	0	0	0	0	0	0	0
3	9.609919126553848	1	232.00433490950195	29.609919126553848	21.415784760877106	21.415784760877106	0	1	0	0	0	0	0	0	0	0	0	0
4	3.8760596521538453	2	275.67334001825196	16.123940347846155	20.357415878270917	20.357415878270917	0	0	1	0	0	0	0	0	0	0	0	0
5	3.156548790224001	2	321.29102037806194	16.843451209776	19.77175510018843	19.77175510018843	0	0	1	0	0	0	0	0	0	0	0	0
6	11.488640971175386	3	406.57275634166194	31.488640971175386	21.44559593890085	21.44559593890085	0	0	0	1	0	0	0	0	0	0	0	0
7	1.874101215726764	3	465.81511380092195	21.874101215726764	21.49915909850409	21.49915909850409	0	0	0	1	0	0	0	0	0	0	0	0
8	20.183610166719994	4	574.6457246691219	40.183610166719994	23.575209217194747	23.575209217194747	0	0	0	0	1	0	0	0	0	0	0	0
9	20.23452352486794	4	683.614225882306	40.23452352486794	25.241140647962066	25.241140647962066	0	0	0	0	1	0	0	0	0	0	0	0
10	1.8974670652760643	1	742.919865850762	21.897467065276064	24.93717032226334	25.359750313235445	0	1	0	0	0	0	0	0	0	0	0	0
11	14.847429503070778	1	837.298320754912	34.84742950307078	25.763025253997295	26.79102942239576	0	1	0	0	0	0	0	0	0	0	0	0
12	11.177785892858335	4	921.7381575480699	31.177785892858335	26.17954530314045	28.42808690238713	0	0	0	0	1	0	0	0	0	0	0	0
13	11.322545069869413	3	1006.5700504456329	31.322545069869413	26.546902429335375	28.59934949671868	0	0	0	1	0	0	0	0	0	0	0	0
14	4.374480478135627	3	1048.8891658173488	15.625519521864373	25.818810235503975	28.5495074141205	0	0	0	1	0	0	0	0	0	0	0	0
15	13.342586683529845	4	1139.1920047519088	33.342586683529845	26.28904626350559	30.19942096149589	0	0	0	0	1	0	0	0	0	0	0	0
16	0.26887369406781403	1	1194.086871006676	20.268873694067814	25.934918465303365	29.077444233785126	0	1	0	0	0	0	0	0	0	0	0	0
17	10.961426865644807	3	1277.940735434464	30.961426865644807	26.214168931989	29.98617679877693	0	0	0	1	0	0	0	0	0	0	0	0
18	4.6759258746848005	0	1319.443436190526	15.3240741253152	25.641006047427222	27.500223194636455	1	0	0	0	0	0	0	0	0	0	0	0
19	3.401437707617596	0	1364.397875732395	16.598562292382404	25.18888385967498	25.136627071387903	1	0	0	0	0	0	0	0	0	0	0	0
20	0.647161223981044	0	1416.811814084113	19.352838776018956	24.910976950929456	24.882164242462192	1	0	0	0	0	0	0	0	0	0	0	0
21	15.567098143503266	1	1513.139371556101	35.567098143503266	25.395346096046445	24.954131106505443	0	1	0	0	0	0	0	0	0	0	0	0
22	21.491249831303755	4	1625.511506515882	41.491249831303755	26.095167997579374	25.985477500349987	0	0	0	0	1	0	0	0	0	0	0	0
23	15.513377348026467	3	1721.6935701667871	35.51337734802647	26.487593387181334	26.404560728165688	0	0	0	1	0	0	0	0	0	0	0	0
24	4.387314090197416	2	1763.977927839169	15.612685909802584	26.052597088086188	26.403277366959507	0	0	1	0	0	0	0	0	0	0	0	0
25	4.512666347897596	0	1805.922789813613	15.487333652102404	25.64624080208681	24.617752063816766	1	0	0	0	0	0	0	0	0	0	0	0
26	4.65317820662646	0	1847.487098837333	15.34682179337354	25.264780838801133	24.12554687374734	1	0	0	0	0	0	0	0	0	0	0	0
27	1.8249358383089245	0	1896.7112309419128	18.175064161691076	25.011576671761492	22.846910603351965	1	0	0	0	0	0	0	0	0	0	0	0
28	2.354281932503138	0	1944.501717374717	17.645718067496862	24.757581547476505	23.07907499757013	1	0	0	0	0	0	0	0	0	0	0	0
29	1.6251909689614799	0	1994.266825167113	18.37480903103852	24.544822463595235	23.256699671435744	1	0	0	0	0	0	0	0	0	0	0	0
30	3.2694246276726133	0	45.31197496672	16.730575372327387	24.292749976780144	22.994473331066587	1	0	0	0	0	0	0	0	0	0	0	0
31	3.643354082686031	0	89.611224326112	16.35664591731397	24.044746724921826	21.073428108447654	1	0	0	0	0	0	0	0	0	0	0	0
32	0.021774991220922857	1	143.718917058222	19.978225008779077	23.92151879412962	18.92212562619519	0	1	0	0	0	0	0	0	0	0	0	0
33	4.426236215755813	1	185.89786064055	15.573763784244187	23.67599658795652	16.92816426981696	0	1	0	0	0	0	0	0	0	0	0	0
34	4.754280647404306	2	227.18835055383	15.245719352595694	23.435131524089066	16.891467614096275	0	0	1	0	0	0	0	0	0	0	0	0
35	0.026159899395935327	2	281.284167492966	19.973840100604065	23.33898454010337	17.34011825894644	0	0	1	0	0	0	0	0	0	0	0	0
36	3.9020513104470176	3	324.882778527172	16.097948689552982	23.143280868466874	17.415230948564382	0	0	0	1	0	0	0	0	0	0	0	0
37	10.334286426716801	3	407.03813759953	30.3342864267168	23.332517856841875	18.631153175066956	0	0	0	1	0	0	0	0	0	0	0	0
38	4.3066910166434464	4	449.540849429454	15.693308983356554	23.13664070623969	18.435912266652927	0	0	0	0	1	0	0	0	0	0	0	0
39	4.672647319885536	4	491.052429604764	15.327352680114464	22.94140850558656	18.13116663156052	0	0	0	0	1	0	0	0	0	0	0	0
40	5.101640502910399	4	531.402153242715	14.8983594970896	22.745236578550045	17.947945044036743	0	0	0	0	1	0	0	0	0	0	0	0
41	5.2694922923234415	2	571.2972782843391	14.730507707676558	22.554409700672107	17.785331223073	0	0	1	0	0	0	0	0	0	0	0	0
42	0.03813879084431093	1	625.3606523924691	19.96186120915569	22.494117875288	17.783694843110663	0	1	0	0	0	0	0	0	0	0	0	0
43	1.8359282532688006	3	684.4996247450721	21.8359282532688	22.47915902024211	18.40991129001312	0	0	0	1	0	0	0	0	0	0	0	0
44	15.050112817484802	4	779.4270136257601	35.0501128174848	22.758513549069725	20.39035063650203	0	0	0	0	1	0	0	0	0	0	0	0
45	1.2939909879704636	3	837.0982392181801	21.293990987970464	22.72667610208931	20.522365725238668	0	0	0	1	0	0	0	0	0	0	0	0
46	16.303964966664843	3	935.4214776695641	36.30396496666484	23.01555458856964	22.542967352949855	0	0	0	1	0	0	0	0	0	0	0	0
47	0.8467776580908328	1	991.8815004935601	20.846777658090833	22.97037173585133	21.59421647608726	0	1	0	0	0	0	0	0	0	0	0	0
48	4.529770035360984	4	1033.780039981124	15.470229964639016	22.817307618071485	21.571908574215506	0	0	0	0	1	0	0	0	0	0	0	0
49	3.720327499711999	1	1077.870819669404	16.279672500288	22.686554915715814	21.66714055623286	0	1	0	0	0	0	0	0	0	0	0	0
50	14.732258395992119	1	1171.937352825216	34.73225839599212	22.92274518003496	23.650530446123113	0	1	0	0	0	0	0	0	0	0	0	0
51	4.007115125415391	0	1215.251416027216	15.99288487458461	22.789478635699375	23.776768162813916	1	0	0	0	0	0	0	0	0	0	0	0
52	3.2621373713880644	1	1260.58312731304	16.737862628611936	22.67529720160339	23.45436830475954	0	1	0	0	0	0	0	0	0	0	0	0
53	5.3187766245056025	4	1300.344773955004	14.681223375494397	22.527258797416184	22.7388978169821	0	0	0	0	1	0	0	0	0	0	0	0
54	3.2429546876553843	1	1345.728438342604	16.757045312344616	22.42234582496034	20.909591066468085	0	1	0	0	0	0	0	0	0	0	0	0
55	3.8843890706553843	1	1389.374884609579	16.115610929344616	22.309725558967205	20.391753060605502	0	1	0	0	0	0	0	0	0	0	0	0
56	10.234499486360612	1	1471.259987385139	30.234499486360612	22.44875668050042	19.784806512575077	0	1	0	0	0	0	0	0	0	0	0	0
57	3.633401349316305	0	1515.586192064074	16.366598650683695	22.343891886882894	19.33678861183436	1	0	0	0	0	0	0	0	0	0	0	0
58	3.7575360366652326	1	1559.5761986314392	16.242463963334767	22.240477854280382	19.41401201170394	0	1	0	0	0	0	0	0	0	0	0	0
59	11.745449453735382	1	1645.5534575686393	31.745449453735382	22.39889404760463	20.960589707048673	0	1	0	0	0	0	0	0	0	0	0	0
60	17.54180389967754	0	101.67571889496	37.54180389967754	22.647138471409104	21.241544257417214	1	0	0	0	0	0	0	0	0	0	0	0
61	4.418484500819687	0	143.87565670524	15.581515499180313	22.533176810566705	21.20040731987679	1	0	0	0	0	0	0	0	0	0	0	0
62	4.549439803537721	1	185.720923903992	15.450560196462279	22.420754324628536	21.07167707666182	0	1	0	0	0	0	0	0	0	0	0	0
63	4.528812799390032	1	227.622055905644	15.471187200609968	22.31216733831575	21.15067345917338	0	1	0	0	0	0	0	0	0	0	0	0
64	4.506013220055385	2	269.584936767994	15.493986779944615	22.207272252802348	21.024367605933378	0	0	1	0	0	0	0	0	0	0	0	0
65	4.584081661372313	2	311.336382268444	15.415918338627687	22.10437295107243	20.954398346861684	0	0	1	0	0	0	0	0	0	0	0	0
66	3.7922745255547134	3	355.2323054284	16.207725474445287	22.016363287242175	19.551720945670148	0	0	0	1	0	0	0	0	0	0	0	0
67	0.9087665806948912	3	411.860214917782	20.90876658069489	22.000075100381185	20.00593773867127	0	0	0	1	0	0	0	0	0	0	0	0
68	9.876750220108182	4	492.776413430575	29.876750220108182	22.114229812261286	21.369366364348615	0	0	0	0	1	0	0	0	0	0	0	0
69	0.424009296833475	4	548.091438609499	20.424009296833475	22.09008380489803	20.237222348658428	0	0	0	0	1	0	0	0	0	0	0	0
70	4.022929996437661	4	591.362669869147	15.97707000356234	22.003985018963725	18.080748959046904	0	0	0	0	1	0	0	0	0	0	0	0
71	0.4188652859089217	2	646.663763351817	20.41886528590892	21.981969467115743	18.564483937719764	0	0	1	0	0	0	0	0	0	0	0	0
72	1.7728883012652332	2	705.6320025010771	21.772888301265233	21.979105341556146	19.196716748200057	0	0	1	0	0	0	0	0	0	0	0	0
73	22.073193912699082	3	819.5802360146371	42.07319391269908	22.250647079004022	21.85691741940897	0	0	0	1	0	0	0	0	0	0	0	0
