task	r0_energy	r0_config	r0_reward	r0_rate	r1_energy	r1_config	r1_reward	r1_rate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
0	4.051913429691943	0	95.06159165789	34.05191342969194	14.356226772770153	0	43.67220025934999	15.643773227229847	2	0	0	0	0	0	0	0	0	0	0	0
1	1.525033572583876	0	174.55420626776004	28.474966427416124	14.520682612486569	0	86.88529463282498	15.479317387513431	2	0	0	0	0	0	0	0	0	0	0	0
2	2.699972492772538	1	250.76678305877005	27.300027507227462	10.019035867199989	1	198.60510309542497	40.01903586719999	0	2	0	0	0	0	0	0	0	0	0	0
3	15.599242523892535	1	290.96889767957003	14.400757476107465	2.771553309198808	1	290.09235608360495	32.77155330919881	0	2	0	0	0	0	0	0	0	0	0	0
4	12.271459289982086	2	340.46107382837005	17.728540710017914	10.217520993155816	2	345.318443311045	19.782479006844184	0	0	2	0	0	0	0	0	0	0	0	0
5	11.702451490531349	2	391.54173008397004	18.29754850946865	13.992263295761195	2	390.006708277045	16.007736704238805	0	0	2	0	0	0	0	0	0	0	0	0
6	11.579712716494928	3	442.96503208375503	18.420287283505072	9.998259477299104	3	445.844900569585	20.001740522700896	0	0	0	2	0	0	0	0	0	0	0	0
7	12.554763230149259	3	491.66631806625503	17.44523676985074	14.55353347962269	3	488.96628627230496	15.44646652037731	0	0	0	2	0	0	0	0	0	0	0	0
8	1.3628552804811953	4	571.6116804082451	28.637144719518805	2.2724002850579126	4	566.372502143185	27.727599714942087	0	0	0	0	2	0	0	0	0	0	0	0
9	1.4331987691164265	4	651.3606671777951	28.566801230883573	2.63107762077135	4	642.777410451865	27.36892237922865	0	0	0	0	2	0	0	0	0	0	0	0
10	17.557579583306868	0	686.0957575077301	12.442420416693134	15.721530317717017	2	682.638138314905	14.278469682282983	1	0	1	0	0	0	0	0	0	0	0	0
11	1.7332324174710436	3	765.0071503422902	28.266767582528956	10.281656443558209	2	737.685180743305	19.71834355644179	0	0	1	1	0	0	0	0	0	0	0	0
12	16.173684494958806	1	803.6056144605302	13.826315505041192	11.198492307496121	3	790.172723051545	18.80150769250388	0	1	0	1	0	0	0	0	0	0	0	0
13	17.173965733493013	1	839.4116267878622	12.826034266506989	13.198673606160003	2	837.076425901015	16.801326393839997	0	1	1	0	0	0	0	0	0	0	0	0
