task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r0_rollrate	r1_energy	r1_config	r1_reward	r1_rate	r1_avgrate	r1_rollrate	r2_energy	r2_config	r2_reward	r2_rate	r2_avgrate	r2_rollrate	r3_energy	r3_config	r3_reward	r3_rate	r3_avgrate	r3_rollrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
0	6.5221043378512285	0	37.62579205683199	13.477895662148772	13.477895662148772	13.477895662148772	0.44191014581205934	0	54.599667509608	19.55808985418794	19.55808985418794	19.55808985418794	5.701994936979704	0	39.915264134264994	14.298005063020296	14.298005063020296	14.298005063020296	1.5060034129308626	0	51.629073805568	18.493996587069137	18.493996587069137	18.493996587069137	4	0	0	0	0	0	0	0	0	0	0	0
1	3.6229281742894344	0	83.345117570274	16.377071825710566	14.927483743929669	14.927483743929669	11.587495272856717	0	142.781425146333	31.587495272856717	25.572792563522327	25.572792563522327	4.415340031878213	0	83.42243987860499	15.584659968121787	14.941332515571041	14.941332515571041	1.3442410051693194	0	111.215079944999	21.34424100516932	19.91911879611923	19.91911879611923	4	0	0	0	0	0	0	0	0	0	0	0
2	0.8450633422471654	1	136.819315739834	19.154936657752835	16.336634715204056	16.336634715204056	8.182178774613018	1	221.456674225461	28.182178774613018	26.442587967219225	26.442587967219225	4.544064899456716	1	126.57025870095498	15.455935100543284	15.11286671056179	15.11286671056179	6.708247006955224	1	148.321223717249	13.291752993044776	17.709996861761077	17.709996861761077	0	4	0	0	0	0	0	0	0	0	0	0
3	4.334889410941376	1	180.55108280095598	15.665110589058624	16.1687536836677	16.1687536836677	3.6181471572771287	1	267.189346744729	16.38185284272287	23.92740418609514	23.92740418609514	2.556607776042508	1	189.540788742407	22.556607776042508	16.97380197693197	16.97380197693197	5.137787445916418	1	189.811567097399	14.862212554083582	16.998050784841702	16.998050784841702	0	4	0	0	0	0	0	0	0	0	0	0
4	3.9366579822384473	2	225.39457926720698	16.063342017761553	16.14767135048647	16.14767135048647	4.691419148942085	2	309.925801620599	15.308580851057915	22.203639519087695	22.203639519087695	17.422911017551755	2	294.013081999739	37.422911017551755	21.063623785055928	21.063623785055928	5.433552442114509	2	230.476233196496	14.56644755788549	16.51173013945046	16.51173013945046	0	0	4	0	0	0	0	0	0	0	0	0
5	5.453813376995223	2	266.002683589762	14.546186623004777	15.88075722923952	15.88075722923952	0.2826071125588072	2	364.970190098039	19.717392887441193	21.789265080479947	21.789265080479947	1.62489780884394	2	345.310242283383	18.37510219115606	20.615536852739282	20.615536852739282	10.565662842669369	2	315.805375298948	30.56566284266937	18.854052256653613	18.854052256653613	0	0	4	0	0	0	0	0	0	0	0	0
6	19.25010668940596	3	375.57589809768695	39.25010668940596	19.219235723549012	19.219235723549012	4.021563949813016	3	409.576657404811	15.978436050186984	20.95914664758095	20.95914664758095	2.4709891765184437	3	408.041753734497	22.470989176518444	20.880601470422018	20.880601470422018	5.205204457477377	3	357.107512855157	14.794795542522623	18.274158440349186	18.274158440349186	0	0	0	4	0	0	0	0	0	0	0	0
7	0.12485105196298463	3	431.06068891095697	19.875148948037015	19.30122487661001	19.30122487661001	1.317609125532062	3	469.088316213588	21.317609125532062	21.00395445732484	21.00395445732484	0.2892366879149826	3	463.067634647401	19.710763312085017	20.734371700629893	20.734371700629893	5.869187138957251	3	429.325660284746	25.86918713895725	19.223537027675192	19.223537027675192	0	0	0	4	0	0	0	0	0	0	0	0
8	15.90914817412645	4	531.30706089706	35.90914817412645	21.14654968744517	21.14654968744517	13.078525148410627	4	561.432532252901	33.07852514841063	22.34557342300104	22.34557342300104	20.628444156894325	4	576.488707918731	40.628444156894325	22.944824195770384	22.944824195770384	24.132601425699463	4	552.529172598157	44.13260142569946	21.99121084967789	21.99121084967789	0	0	0	0	4	0	0	0	0	0	0	0
9	18.677206350450156	4	639.2809286254	38.677206350450156	22.899615353745666	22.899615353745666	12.406863907153664	4	651.901693993705	32.406863907153664	23.351702471416303	23.351702471416303	19.171236538540896	4	685.8417432554911	39.171236538540896	24.567465430047434	24.567465430047434	12.581055260102211	4	643.4846185326089	32.58105526010221	23.05019529072032	23.05019529072032	0	0	0	0	4	0	0	0	0	0	0	0
