task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r1_energy	r1_config	r1_reward	r1_rate	r1_avgrate	r2_energy	r2_config	r2_reward	r2_rate	r2_avgrate	r3_energy	r3_config	r3_reward	r3_rate	r3_avgrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
0	2.6595384438925294	0	77.21621148919999	27.65953844389253	27.65953844389253	12.652213092253135	0	34.47090511746	12.347786907746865	12.347786907746865	6.203033023713431	0	87.1084671912	31.20303302371343	31.20303302371343	9.44766875725157	0	96.166408613994	34.44766875725157	34.44766875725157	4	0	0	0	0	0	0	0	0	0	0	0
1	3.182145399549249	0	155.89136739627497	28.18214539954925	27.92084192172089	13.167967689984954	0	67.50199531625199	11.832032310015046	12.089909608880955	10.09487354242985	0	128.71861188525	14.90512645757015	23.05407974064179	4.850211050044781	0	179.498247795369	29.85021105004478	32.14893990364818	4	0	0	0	0	0	0	0	0	0	0	0
2	9.198261621440004	1	251.36151442279498	34.198261621440004	30.013315154960594	7.912262455581605	1	159.382061338084	32.912262455581605	19.030693891114506	1.6197491404704536	1	203.03207823573	26.619749140470454	24.242636207251348	6.20549314881433	1	266.613582835809	31.20549314881433	31.834457652036892	0	4	0	0	0	0	0	0	0	0	0	0
3	5.90207915486269	1	337.62981873012	30.90207915486269	30.235506154936118	7.178268123128831	1	209.13439616101599	17.82173187687117	18.72845338755367	14.776985521645372	1	314.07616281699	39.77698552164537	28.126223535849853	4.320822191066991	1	348.467544785871	29.32082219106699	31.20604878679442	0	4	0	0	0	0	0	0	0	0	0	0
4	4.648350383085379	2	394.44484057734	20.35164961691462	28.258734847331816	5.646831954416719	2	294.690135367096	30.64683195441672	21.11212910092628	12.95710701845492	2	420.03975324351	37.95710701845492	30.09240023237087	4.750233516509258	2	404.99814288561595	20.249766483490742	29.01479232613368	0	0	4	0	0	0	0	0	0	0	0	0
5	6.386671640518802	2	446.407048914225	18.613328359481198	26.651167099356712	5.733417937493968	2	348.476010291592	19.266582062506032	20.804537927856238	6.819608103092303	2	470.793347289044	18.180391896907697	28.107065509793674	3.370790703769554	2	484.19993360030594	28.370790703769554	28.90745872240633	0	0	4	0	0	0	0	0	0	0	0	0
6	0.18599827322030293	3	515.679470401485	24.814001726779697	26.388714903274284	6.539574211912594	3	436.523988299848	31.539574211912594	22.33811453986429	6.84465331815057	3	559.693004468881	31.84465331815057	28.64100662527323	10.958651619577314	3	523.398697828986	14.041348380422686	26.78372867355152	0	0	0	4	0	0	0	0	0	0	0	0
7	11.56519745914985	3	553.1849608280249	13.43480254085015	24.769475857971265	2.707790226779945	3	513.874902682942	27.707790226779945	23.009324000728746	9.886121020489309	3	601.885916620015	15.113878979510691	26.950115669552915	3.849652892505077	3	603.937312153896	28.849652892505077	27.041969200920715	0	0	0	4	0	0	0	0	0	0	0	0
8	4.209353631414928	4	634.727739715725	29.209353631414928	25.262795610576116	2.6763875213277615	4	591.138151179982	27.67638752132776	23.527886614128636	7.093442298943998	4	691.480109704567	32.093442298944	27.521596406151925	8.667036551734327	4	697.924455860821	33.66703655173433	27.778087795455562	0	0	0	0	4	0	0	0	0	0	0	0
9	4.88968873362818	4	718.1697874304369	29.88968873362818	25.72548492288132	7.041444658339827	4	680.587184184514	32.04144465833983	24.379242418549758	21.374583738528486	4	820.942489307959	46.374583738528486	29.406895139389583	11.4527170627778	4	799.688290994409	36.4527170627778	28.645550722187785	0	0	0	0	4	0	0	0	0	0	0	0
10	10.215263628297555	3	759.4438431347729	14.784736371702445	24.730871418228695	11.137207711223166	2	719.287479324016	13.862792288776834	23.42320149766131	12.449240525059096	3	925.488285773749	37.449240525059096	30.13801744717772	8.784662690433073	2	894.003807671868	33.78466269043307	29.112742719300993	0	0	2	2	0	0	0	0	0	0	0	0
11	10.079031774013135	2	801.0982127656529	14.920968225986865	23.913379485541878	11.307454564725008	1	757.512501997492	13.692545435274992	22.61231349246245	22.461734790374457	0	1057.985628730211	47.46173479037446	31.581660559110784	3.943706176516894	2	952.785961262425	21.056293823483106	28.441371977982836	1	1	2	0	0	0	0	0	0	0	0	0
