==RUN 0==
Bandit Runs:1 Tasks-in-Run:30
Self-Optimizer Rounds:0 Tasks-in-Round:0
Continuous Knob Rounds:Inf Tasks-in-Round:0
STOKE: Start Bat: 0.980000
Accepted:0 Acc-Reject:0 Worse-Reject:0
Accepted:1 Acc-Reject:0 Worse-Reject:0
Accepted:2 Acc-Reject:0 Worse-Reject:0
Accepted:3 Acc-Reject:0 Worse-Reject:0
Accepted:4 Acc-Reject:0 Worse-Reject:0
Accepted:5 Acc-Reject:0 Worse-Reject:0
Accepted:6 Acc-Reject:0 Worse-Reject:0
Accepted:7 Acc-Reject:0 Worse-Reject:0
Accepted:8 Acc-Reject:0 Worse-Reject:0
Accepted:9 Acc-Reject:0 Worse-Reject:0
Accepted:10 Acc-Reject:0 Worse-Reject:0
Accepted:11 Acc-Reject:0 Worse-Reject:0
Accepted:12 Acc-Reject:0 Worse-Reject:0
Accepted:13 Acc-Reject:0 Worse-Reject:0
Accepted:14 Acc-Reject:0 Worse-Reject:0
Accepted:15 Acc-Reject:0 Worse-Reject:0
Accepted:16 Acc-Reject:0 Worse-Reject:0
Accepted:17 Acc-Reject:0 Worse-Reject:0
Accepted:18 Acc-Reject:0 Worse-Reject:0
Accepted:19 Acc-Reject:0 Worse-Reject:0
Accepted:20 Acc-Reject:0 Worse-Reject:0
Accepted:21 Acc-Reject:0 Worse-Reject:0
Accepted:22 Acc-Reject:0 Worse-Reject:0
ETask 1-1: Configuration:0 Energy:109.13953174690499 Reward:-39.09475764068238 Raw:39.09475764068238 Time:32505 TotalReward:109.13953174690499
Accepted:23 Acc-Reject:0 Worse-Reject:0
Accepted:24 Acc-Reject:0 Worse-Reject:0
Accepted:25 Acc-Reject:0 Worse-Reject:0
Accepted:26 Acc-Reject:0 Worse-Reject:0
Accepted:27 Acc-Reject:0 Worse-Reject:0
Accepted:28 Acc-Reject:0 Worse-Reject:0
Accepted:29 Acc-Reject:0 Worse-Reject:0
Accepted:30 Acc-Reject:0 Worse-Reject:0
Accepted:31 Acc-Reject:0 Worse-Reject:0
Accepted:32 Acc-Reject:0 Worse-Reject:0
Accepted:33 Acc-Reject:0 Worse-Reject:0
Accepted:34 Acc-Reject:0 Worse-Reject:0
Accepted:35 Acc-Reject:0 Worse-Reject:0
Accepted:36 Acc-Reject:0 Worse-Reject:0
Accepted:37 Acc-Reject:0 Worse-Reject:0
