task	oracle_reward	oracle_total_reward	vbde50_reward	vbde50_total_reward	static2_reward	static2_total_reward	pessimist_reward	pessimist_total_reward
0	13.24160090803108	35.862669125917506	40.74396045175566	40.74396045175566	49.661076849461324	49.661076849461324	29.10551228260634	78.8274290987255
1	12.967708888263322	70.98354736496401	68.28550159146467	109.02946204322033	47.982788768746	97.64386561820733	33.25173710360677	168.8842170876605
2	14.50290907807754	110.26225945142403	67.40662918778968	176.43609123101	68.65648530201166	166.300350920219	33.45886596701354	259.50197908165546
3	16.62248330256259	155.28148506253103	42.12911720592333	218.56520843693332	65.336213056102	231.63656397632099	33.09586693553539	349.13661869873044
4	16.46943112671951	199.88619436406304	71.87984184023283	290.44505027716616	68.74036338874616	300.37692736506716	38.79512644275692	454.20675281453043
5	14.819560853443388	240.02250500880552	55.69031461239532	346.1353648895615	65.0124587358505	365.38938610091765	29.904392207209842	535.1978150423904
6	13.39421101329563	276.29849316981455	52.003684871957	398.1390497615185	43.173622397357	408.5630084982747	30.692356182402463	618.3229463697305
7	15.9433739915808	319.47846439701254	45.48471419014433	443.6237639516628	41.478370545677826	450.0413790439524	39.85432032727016	726.2617305894205
8	13.277150761709539	355.43741437664255	47.87217472182733	491.4959386734902	67.17773122229217	517.2191102662447	34.4895593587045	819.6709538525786
9	15.72365369680985	398.0223098055026	78.13652239689999	569.6324610703901	60.43247293056649	577.6515831968112	38.397442777925534	923.6640280427936
10	12.79718363849354	432.68134882642255	97.74728814669834	667.3797492170885	78.11709448500133	655.7686776818124	35.90747871023188	1020.9134495496717
11	14.845000420785599	472.8865582993835	104.5255874776335	771.9053366947219	64.16734099729267	719.9360186791051	32.78906769917796	1109.7171745682786
12	15.62512635235348	515.2046088370075	59.9569017866205	831.8622384813424	36.170091019283	756.1061096983881	33.51983008342486	1200.5000477108874
13	16.169928568430404	558.9981653765066	86.16059074757982	918.0228292289224	36.738398600078995	792.8445082984672	30.574175106788303	1283.3051052917726
14	15.678121797808984	601.4597452455725	47.60375205232	965.6265812812422	48.62752107198467	841.4720293704519	30.095241337011323	1364.8130505795116
15	19.982531128576248	655.5791003854665	42.065292439275666	1007.6918737205178	48.38072123807634	889.852750608528	28.99446468475182	1443.339725767381
16	16.86706367473846	701.2607311712165	58.800027082832834	1066.4919008033505	58.434806547856994	948.2875571563851	30.41175420249785	1525.7048933991462
17	13.696959634008	738.3566635133216	37.69516541538233	1104.1870662187332	50.99113972470266	999.2786968810879	31.630573591174155	1611.371030208576
18	13.725337137377723	775.5294515937196	60.99336073527283	1165.180426954006	58.209083069279664	1057.4877799503674	36.61319002028031	1710.5317531801688
19	16.068529631311016	819.0483860118536	46.32084971184983	1211.5012766658558	62.03998971165216	1119.5277696620196	36.169196595097844	1808.4899939585587
20	16.534189388827382	863.828482273261	64.3149731861585	1275.8162498520144	97.27936008427632	1216.807129746296	36.98075170179138	1908.6461964842438
