task	r0_energy	r0_config	r0_reward	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
0	36.04510535808	0	36.04510535808	1	0	0	0	0	0	0	0	0	0	0	0
1	53.67645683239199	0	89.72156219047199	1	0	0	0	0	0	0	0	0	0	0	0
2	61.6881174042	0	151.40967959467199	1	0	0	0	0	0	0	0	0	0	0	0
3	49.20121560321	0	200.61089519788197	1	0	0	0	0	0	0	0	0	0	0	0
4	53.65680148629001	0	254.267696684172	1	0	0	0	0	0	0	0	0	0	0	0
5	53.277465406794995	0	307.545162090967	1	0	0	0	0	0	0	0	0	0	0	0
6	38.324689520499994	0	345.86985161146697	1	0	0	0	0	0	0	0	0	0	0	0
7	45.61748209644	0	391.48733370790694	1	0	0	0	0	0	0	0	0	0	0	0
8	34.8944144396	0	426.3817481475069	1	0	0	0	0	0	0	0	0	0	0	0
9	50.35772527590001	0	476.73947342340693	1	0	0	0	0	0	0	0	0	0	0	0
10	35.168358926094996	0	511.9078323495019	1	0	0	0	0	0	0	0	0	0	0	0
11	35.14449800848799	0	547.05233035799	1	0	0	0	0	0	0	0	0	0	0	0
12	68.17636329347599	0	615.228693651466	1	0	0	0	0	0	0	0	0	0	0	0
13	35.595927905792	0	650.824621557258	1	0	0	0	0	0	0	0	0	0	0	0
14	73.25751479260501	0	724.0821363498629	1	0	0	0	0	0	0	0	0	0	0	0
15	48.173924134908	0	772.256060484771	1	0	0	0	0	0	0	0	0	0	0	0
16	37.947603403710005	0	810.203663888481	1	0	0	0	0	0	0	0	0	0	0	0
17	121.274994555	0	931.478658443481	1	0	0	0	0	0	0	0	0	0	0	0
18	37.785145141457996	0	969.263803584939	1	0	0	0	0	0	0	0	0	0	0	0
19	46.003013618562	0	1015.266817203501	1	0	0	0	0	0	0	0	0	0	0	0
20	65.112659937468	0	1080.379477140969	1	0	0	0	0	0	0	0	0	0	0	0
21	35.076391803882	0	1115.4558689448509	1	0	0	0	0	0	0	0	0	0	0	0
22	35.488031863284	0	1150.943900808135	1	0	0	0	0	0	0	0	0	0	0	0
23	33.512746317336	0	1184.456647125471	1	0	0	0	0	0	0	0	0	0	0	0
24	50.092508691225	0	1234.549155816696	1	0	0	0	0	0	0	0	0	0	0	0
25	51.357548850696	0	1285.906704667392	1	0	0	0	0	0	0	0	0	0	0	0
26	51.053463682751996	0	1336.960168350144	1	0	0	0	0	0	0	0	0	0	0	0
27	51.191177608256	0	1388.1513459583998	1	0	0	0	0	0	0	0	0	0	0	0
28	50.63192960781601	0	1438.783275566216	1	0	0	0	0	0	0	0	0	0	0	0
29	45.41302260393601	0	1484.196298170152	1	0	0	0	0	0	0	0	0	0	0	0
30	39.156169729824	0	1523.352467899976	1	0	0	0	0	0	0	0	0	0	0	0
31	57.55929492456	0	1580.911762824536	1	0	0	0	0	0	0	0	0	0	0	0
32	78.464685800512	0	1659.376448625048	1	0	0	0	0	0	0	0	0	0	0	0
33	86.181592369824	0	1745.558040994872	1	0	0	0	0	0	0	0	0	0	0	0
34	35.406670022752	0	1780.964711017624	1	0	0	0	0	0	0	0	0	0	0	0
35	87.33711965731202	0	1868.3018306749361	1	0	0	0	0	0	0	0	0	0	0	0
36	35.349655990768	0	1903.6514866657042	1	0	0	0	0	0	0	0	0	0	0	0
37	68.182527084924	0	1971.8340137506282	1	0	0	0	0	0	0	0	0	0	0	0
38	46.010357652420005	0	2017.8443714030482	1	0	0	0	0	0	0	0	0	0	0	0
39	37.580830648116	0	2055.425202051164	1	0	0	0	0	0	0	0	0	0	0	0
40	40.36520539144801	0	2095.790407442612	1	0	0	0	0	0	0	0	0	0	0	0
41	46.99670505264	0	2142.787112495252	1	0	0	0	0	0	0	0	0	0	0	0
42	35.618658198984	0	2178.4057706942363	1	0	0	0	0	0	0	0	0	0	0	0
43	38.38938199160401	0	2216.79515268584	1	0	0	0	0	0	0	0	0	0	0	0
44	38.565183855600004	0	2255.36033654144	1	0	0	0	0	0	0	0	0	0	0	0
45	42.628043324249994	0	2297.98837986569	1	0	0	0	0	0	0	0	0	0	0	0
46	39.78533517885	0	2337.77371504454	1	0	0	0	0	0	0	0	0	0	0	0
47	51.402898272375005	0	2389.176613316915	1	0	0	0	0	0	0	0	0	0	0	0
48	85.042785586404	0	2474.219398903319	1	0	0	0	0	0	0	0	0	0	0	0
49	84.996966314872	0	2559.2163652181907	1	0	0	0	0	0	0	0	0	0	0	0
50	94.36078569582	0	2653.577150914011	1	0	0	0	0	0	0	0	0	0	0	0
51	93.46088284227599	0	2747.038033756287	1	0	0	0	0	0	0	0	0	0	0	0
52	35.852462009546	0	2782.890495765833	1	0	0	0	0	0	0	0	0	0	0	0
53	35.138869244856	0	2818.0293650106887	1	0	0	0	0	0	0	0	0	0	0	0
54	38.72470381563001	0	2856.754068826319	1	0	0	0	0	0	0	0	0	0	0	0
55	35.55256761917	0	2892.306636445489	1	0	0	0	0	0	0	0	0	0	0	0
56	35.690879654465	0	2927.997516099954	1	0	0	0	0	0	0	0	0	0	0	0
57	36.46908695023999	0	2964.466603050194	1	0	0	0	0	0	0	0	0	0	0	0
58	39.15394135317	0	3003.620544403364	1	0	0	0	0	0	0	0	0	0	0	0
59	38.16623293945	0	3041.786777342814	1	0	0	0	0	0	0	0	0	0	0	0
60	36.56926149492	0	3078.3560388377336	1	0	0	0	0	0	0	0	0	0	0	0
61	68.81229135879	0	3147.1683301965236	1	0	0	0	0	0	0	0	0	0	0	0
62	36.56138891433	0	3183.7297191108537	1	0	0	0	0	0	0	0	0	0	0	0
63	76.61424054284	0	3260.3439596536937	1	0	0	0	0	0	0	0	0	0	0	0
64	68.49898568169999	0	3328.842945335394	1	0	0	0	0	0	0	0	0	0	0	0
65	50.08859864382499	0	3378.931543979219	1	0	0	0	0	0	0	0	0	0	0	0
66	36.2280074688	0	3415.159551448019	1	0	0	0	0	0	0	0	0	0	0	0
67	35.394144158268	0	3450.553695606287	1	0	0	0	0	0	0	0	0	0	0	0
68	35.585420915967994	0	3486.139116522255	1	0	0	0	0	0	0	0	0	0	0	0
69	40.48765911936	0	3526.626775641615	1	0	0	0	0	0	0	0	0	0	0	0
70	50.606420532982	0	3577.233196174597	1	0	0	0	0	0	0	0	0	0	0	0
71	51.221118095070004	0	3628.454314269667	1	0	0	0	0	0	0	0	0	0	0	0
72	50.486807179809	0	3678.941121449476	1	0	0	0	0	0	0	0	0	0	0	0
73	65.54231525319399	0	3744.48343670267	1	0	0	0	0	0	0	0	0	0	0	0
74	95.92615312314601	0	3840.409589825816	1	0	0	0	0	0	0	0	0	0	0	0
