task	reward	total_reward	total_reward_dev
0	84.1537039326	84.1537039326	0.0
1	78.137843732424	162.29154766502398	0.0
2	88.30055905826401	250.592106723288	0.0
3	77.856277228492	328.44838395178	0.0
4	72.858881315304	401.307265267084	0.0
5	75.444222288236	476.75148755532	0.0
6	79.991572964172	556.743060519492	0.0
7	72.206332107336	628.9493926268281	0.0
8	81.45861405750901	710.4080066843371	0.0
9	72.587439543603	782.9954462279401	0.0
10	87.29855124342897	870.293997471369	0.0
11	74.54001943179	944.8340169031591	0.0
12	91.027816478436	1035.861833381595	0.0
13	74.589127903796	1110.450961285391	0.0
14	99.59272293048099	1210.043684215872	0.0
15	85.65718943610398	1295.700873651976	0.0
16	93.652047148464	1389.35292080044	0.0
17	79.270861699344	1468.623782499784	0.0
18	78.33674640715199	1546.9605289069361	0.0
19	71.842465577232	1618.802994484168	0.0
20	76.586453251656	1695.389447735824	0.0
21	75.28968447344401	1770.679132209268	0.0
22	85.843505253894	1856.5226374631618	0.0
23	71.489561214222	1928.0121986773838	0.0
24	74.370273164802	2002.3824718421859	0.0
25	81.44978877730802	2083.832260619494	0.0
26	71.456983899588	2155.289244519082	0.0
27	74.095944108786	2229.385188627868	0.0
28	72.59593800582	2301.981126633688	0.0
29	75.79853646453	2377.779663098218	0.0
30	96.16505319280799	2473.944716291026	0.0
31	75.8087685264	2549.753484817426	0.0
32	91.160283477376	2640.913768294802	0.0
33	96.04575882429799	2736.9595271191	0.0
34	97.956597184342	2834.9161243034423	0.0
35	104.407096681965	2939.3232209854073	0.0
36	108.3064721211	3047.629693106507	0.0
37	79.544544583008	3127.174237689515	0.0
38	83.76872259035999	3210.942960279875	0.0
39	79.047947416034	3289.990907695909	0.0
40	97.41149071037599	3387.4023984062846	0.0
41	73.089815691896	3460.4922140981807	0.0
42	73.724070982958	3534.2162850811387	0.0
43	79.513328237249	3613.7296133183877	0.0
44	82.73858029483401	3696.4681936132215	0.0
45	81.59189133529502	3778.0600849485163	0.0
46	82.31034761413	3860.3704325626463	0.0
47	79.037845350585	3939.4082779132314	0.0
48	79.10078736142499	4018.509065274656	0.0
49	76.03885113033	4094.547916404986	0.0
50	91.65618334224	4186.204099747226	0.0
51	106.999933267584	4293.20403301481	0.0
52	110.40342000768	4403.6074530224905	0.0
53	76.62418321017599	4480.2316362326665	0.0
54	100.433418411744	4580.665054644411	0.0
55	78.65639631590399	4659.321450960315	0.0
56	85.475775537626	4744.797226497941	0.0
57	83.20617460336501	4828.003401101306	0.0
58	82.038107133626	4910.041508234932	0.0
59	77.494809355992	4987.536317590924	0.0
60	66.40017711443299	5053.936494705357	0.0
61	70.60940928672998	5124.545903992087	0.0
62	71.44950838561199	5195.995412377699	0.0
63	68.29204766328	5264.287460040979	0.0
64	69.42250445608799	5333.709964497067	0.0
65	87.77672973354099	5421.486694230608	0.0
66	69.897285489886	5491.383979720494	0.0
67	74.766328264154	5566.150307984648	0.0
68	83.50380482693399	5649.654112811582	0.0
69	82.309702312448	5731.963815124031	0.0
70	81.00298481435999	5812.966799938391	0.0
71	93.205756324194	5906.172556262585	0.0
72	65.620466909118	5971.793023171703	0.0
73	69.31685641431602	6041.109879586019	0.0
74	67.37550895177202	6108.485388537791	0.0
75	67.26137807743201	6175.746766615222	0.0
76	69.47226679778001	6245.219033413003	0.0
77	80.077665959872	6325.296699372875	0.0
78	76.90989752812801	6402.206596901003	0.0
79	66.10628042732	6468.312877328322	0.0
80	79.625967385216	6547.938844713539	0.0
81	69.823044527936	6617.761889241475	0.0
82	74.6873411427	6692.449230384174	0.0
83	68.83712746552	6761.2863578496945	0.0
84	88.63475446892002	6849.921112318614	0.0
85	87.8742237318	6937.795336050414	0.0
86	84.7800552468	7022.575391297214	0.0
87	78.474718246144	7101.050109543358	0.0
88	70.40145060898399	7171.451560152343	0.0
89	68.23811996880299	7239.689680121146	0.0
90	74.406137382108	7314.095817503254	0.0
91	70.90706803219202	7385.002885535446	0.0
92	66.502212536415	7451.505098071861	0.0
93	66.515039212944	7518.020137284805	0.0
94	80.342502165099	7598.362639449904	0.0
95	100.655171636988	7699.017811086892	0.0
96	67.242058307562	7766.259869394454	0.0
97	76.680113005182	7842.9399823996355	0.0
98	75.853441687488	7918.793424087124	0.0
99	67.85414878254	7986.647572869663	0.0
100	87.52200156711001	8074.1695744367735	0.0
