task	r0_energy	r0_config	r0_reward	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
0	84.1537039326	0	84.1537039326	1	0	0	0	0	0	0	0	0	0	0	0
1	78.137843732424	0	162.29154766502398	1	0	0	0	0	0	0	0	0	0	0	0
2	88.30055905826401	0	250.592106723288	1	0	0	0	0	0	0	0	0	0	0	0
3	77.856277228492	0	328.44838395178	1	0	0	0	0	0	0	0	0	0	0	0
4	72.858881315304	0	401.307265267084	1	0	0	0	0	0	0	0	0	0	0	0
5	75.444222288236	0	476.75148755532	1	0	0	0	0	0	0	0	0	0	0	0
6	79.991572964172	0	556.743060519492	1	0	0	0	0	0	0	0	0	0	0	0
7	72.206332107336	0	628.9493926268281	1	0	0	0	0	0	0	0	0	0	0	0
8	81.45861405750901	0	710.4080066843371	1	0	0	0	0	0	0	0	0	0	0	0
9	72.587439543603	0	782.9954462279401	1	0	0	0	0	0	0	0	0	0	0	0
10	87.29855124342897	0	870.293997471369	1	0	0	0	0	0	0	0	0	0	0	0
11	74.54001943179	0	944.8340169031591	1	0	0	0	0	0	0	0	0	0	0	0
12	91.027816478436	0	1035.861833381595	1	0	0	0	0	0	0	0	0	0	0	0
13	74.589127903796	0	1110.450961285391	1	0	0	0	0	0	0	0	0	0	0	0
14	99.59272293048099	0	1210.043684215872	1	0	0	0	0	0	0	0	0	0	0	0
15	85.65718943610398	0	1295.700873651976	1	0	0	0	0	0	0	0	0	0	0	0
16	93.652047148464	0	1389.35292080044	1	0	0	0	0	0	0	0	0	0	0	0
17	79.270861699344	0	1468.623782499784	1	0	0	0	0	0	0	0	0	0	0	0
18	78.33674640715199	0	1546.9605289069361	1	0	0	0	0	0	0	0	0	0	0	0
19	71.842465577232	0	1618.802994484168	1	0	0	0	0	0	0	0	0	0	0	0
20	76.586453251656	0	1695.389447735824	1	0	0	0	0	0	0	0	0	0	0	0
21	75.28968447344401	0	1770.679132209268	1	0	0	0	0	0	0	0	0	0	0	0
22	85.843505253894	0	1856.5226374631618	1	0	0	0	0	0	0	0	0	0	0	0
23	71.489561214222	0	1928.0121986773838	1	0	0	0	0	0	0	0	0	0	0	0
24	74.370273164802	0	2002.3824718421859	1	0	0	0	0	0	0	0	0	0	0	0
25	81.44978877730802	0	2083.832260619494	1	0	0	0	0	0	0	0	0	0	0	0
26	71.456983899588	0	2155.289244519082	1	0	0	0	0	0	0	0	0	0	0	0
27	74.095944108786	0	2229.385188627868	1	0	0	0	0	0	0	0	0	0	0	0
28	72.59593800582	0	2301.981126633688	1	0	0	0	0	0	0	0	0	0	0	0
29	75.79853646453	0	2377.779663098218	1	0	0	0	0	0	0	0	0	0	0	0
30	96.16505319280799	0	2473.944716291026	1	0	0	0	0	0	0	0	0	0	0	0
31	75.8087685264	0	2549.753484817426	1	0	0	0	0	0	0	0	0	0	0	0
32	91.160283477376	0	2640.913768294802	1	0	0	0	0	0	0	0	0	0	0	0
33	96.04575882429799	0	2736.9595271191	1	0	0	0	0	0	0	0	0	0	0	0
34	97.956597184342	0	2834.9161243034423	1	0	0	0	0	0	0	0	0	0	0	0
35	104.407096681965	0	2939.3232209854073	1	0	0	0	0	0	0	0	0	0	0	0
36	108.3064721211	0	3047.629693106507	1	0	0	0	0	0	0	0	0	0	0	0
37	79.544544583008	0	3127.174237689515	1	0	0	0	0	0	0	0	0	0	0	0
38	83.76872259035999	0	3210.942960279875	1	0	0	0	0	0	0	0	0	0	0	0
39	79.047947416034	0	3289.990907695909	1	0	0	0	0	0	0	0	0	0	0	0
40	97.41149071037599	0	3387.4023984062846	1	0	0	0	0	0	0	0	0	0	0	0
41	73.089815691896	0	3460.4922140981807	1	0	0	0	0	0	0	0	0	0	0	0
42	73.724070982958	0	3534.2162850811387	1	0	0	0	0	0	0	0	0	0	0	0
43	79.513328237249	0	3613.7296133183877	1	0	0	0	0	0	0	0	0	0	0	0
44	82.73858029483401	0	3696.4681936132215	1	0	0	0	0	0	0	0	0	0	0	0
45	81.59189133529502	0	3778.0600849485163	1	0	0	0	0	0	0	0	0	0	0	0
46	82.31034761413	0	3860.3704325626463	1	0	0	0	0	0	0	0	0	0	0	0
47	79.037845350585	0	3939.4082779132314	1	0	0	0	0	0	0	0	0	0	0	0
48	79.10078736142499	0	4018.509065274656	1	0	0	0	0	0	0	0	0	0	0	0
49	76.03885113033	0	4094.547916404986	1	0	0	0	0	0	0	0	0	0	0	0
50	91.65618334224	0	4186.204099747226	1	0	0	0	0	0	0	0	0	0	0	0
51	106.999933267584	0	4293.20403301481	1	0	0	0	0	0	0	0	0	0	0	0
52	110.40342000768	0	4403.6074530224905	1	0	0	0	0	0	0	0	0	0	0	0
53	76.62418321017599	0	4480.2316362326665	1	0	0	0	0	0	0	0	0	0	0	0
54	100.433418411744	0	4580.665054644411	1	0	0	0	0	0	0	0	0	0	0	0
55	78.65639631590399	0	4659.321450960315	1	0	0	0	0	0	0	0	0	0	0	0
56	85.475775537626	0	4744.797226497941	1	0	0	0	0	0	0	0	0	0	0	0
57	83.20617460336501	0	4828.003401101306	1	0	0	0	0	0	0	0	0	0	0	0
58	82.038107133626	0	4910.041508234932	1	0	0	0	0	0	0	0	0	0	0	0
59	77.494809355992	0	4987.536317590924	1	0	0	0	0	0	0	0	0	0	0	0
60	66.40017711443299	0	5053.936494705357	1	0	0	0	0	0	0	0	0	0	0	0
61	70.60940928672998	0	5124.545903992087	1	0	0	0	0	0	0	0	0	0	0	0
62	71.44950838561199	0	5195.995412377699	1	0	0	0	0	0	0	0	0	0	0	0
63	68.29204766328	0	5264.287460040979	1	0	0	0	0	0	0	0	0	0	0	0
64	69.42250445608799	0	5333.709964497067	1	0	0	0	0	0	0	0	0	0	0	0
65	87.77672973354099	0	5421.486694230608	1	0	0	0	0	0	0	0	0	0	0	0
66	69.897285489886	0	5491.383979720494	1	0	0	0	0	0	0	0	0	0	0	0
67	74.766328264154	0	5566.150307984648	1	0	0	0	0	0	0	0	0	0	0	0
68	83.50380482693399	0	5649.654112811582	1	0	0	0	0	0	0	0	0	0	0	0
69	82.309702312448	0	5731.963815124031	1	0	0	0	0	0	0	0	0	0	0	0
70	81.00298481435999	0	5812.966799938391	1	0	0	0	0	0	0	0	0	0	0	0
71	93.205756324194	0	5906.172556262585	1	0	0	0	0	0	0	0	0	0	0	0
72	65.620466909118	0	5971.793023171703	1	0	0	0	0	0	0	0	0	0	0	0
73	69.31685641431602	0	6041.109879586019	1	0	0	0	0	0	0	0	0	0	0	0
74	67.37550895177202	0	6108.485388537791	1	0	0	0	0	0	0	0	0	0	0	0
75	67.26137807743201	0	6175.746766615222	1	0	0	0	0	0	0	0	0	0	0	0
76	69.47226679778001	0	6245.219033413003	1	0	0	0	0	0	0	0	0	0	0	0
77	80.077665959872	0	6325.296699372875	1	0	0	0	0	0	0	0	0	0	0	0
78	76.90989752812801	0	6402.206596901003	1	0	0	0	0	0	0	0	0	0	0	0
79	66.10628042732	0	6468.312877328322	1	0	0	0	0	0	0	0	0	0	0	0
80	79.625967385216	0	6547.938844713539	1	0	0	0	0	0	0	0	0	0	0	0
81	69.823044527936	0	6617.761889241475	1	0	0	0	0	0	0	0	0	0	0	0
82	74.6873411427	0	6692.449230384174	1	0	0	0	0	0	0	0	0	0	0	0
83	68.83712746552	0	6761.2863578496945	1	0	0	0	0	0	0	0	0	0	0	0
84	88.63475446892002	0	6849.921112318614	1	0	0	0	0	0	0	0	0	0	0	0
85	87.8742237318	0	6937.795336050414	1	0	0	0	0	0	0	0	0	0	0	0
86	84.7800552468	0	7022.575391297214	1	0	0	0	0	0	0	0	0	0	0	0
87	78.474718246144	0	7101.050109543358	1	0	0	0	0	0	0	0	0	0	0	0
