task	r0_energy	r0_config	r0_reward	r1_energy	r1_config	r1_reward	r2_energy	r2_config	r2_reward	r3_energy	r3_config	r3_reward	r4_energy	r4_config	r4_reward	r5_energy	r5_config	r5_reward	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
0	35.947625312999996	0	35.947625312999996	31.887355365424995	0	31.887355365424995	30.830862573978003	0	30.830862573978003	34.56974803275	0	34.56974803275	45.712200135472	0	45.712200135472	56.574113518999994	0	56.574113518999994	6	0	0	0	0	0	0	0	0	0	0	0
1	37.153474020000004	0	73.10109933300001	35.101528852979996	0	66.98888421840499	30.820592343323998	0	61.651454917302004	105.075129109608	0	139.64487714235798	34.844204262933	0	80.556404398405	36.467299018851996	0	93.04141253785198	6	0	0	0	0	0	0	0	0	0	0	0
2	40.20891149656	1	113.31001082956001	32.483901531887994	1	99.47278575029299	31.35958049232	1	93.011035409622	72.65166486946899	1	212.29654201182697	79.861013900928	1	160.417418299333	39.983888186495996	1	133.02530072434797	0	6	0	0	0	0	0	0	0	0	0	0
3	91.94619817504	1	205.2562090046	31.83743006007199	1	131.31021581036498	42.76940553645599	1	135.780440946078	73.688165830538	1	285.98470784236497	91.382542364204	1	251.799960663537	52.837382239680004	1	185.86268296402798	0	6	0	0	0	0	0	0	0	0	0	0
4	57.98184763895999	2	263.23805664356	34.503882922275	2	165.81409873264	45.729899607456	2	181.51034055353398	79.356130584675	2	365.34083842703996	94.37177574579299	2	346.17173640933	68.301976614976	2	254.16465957900397	0	0	6	0	0	0	0	0	0	0	0	0
5	68.61890019826801	2	331.85695684182804	31.458377856646	2	197.272476589286	41.710372175142	2	223.22071272867598	84.839023740618	2	450.179862167658	71.42517052340799	2	417.59690693273797	37.404535060224	2	291.569194639228	0	0	6	0	0	0	0	0	0	0	0	0
6	36.15561909285299	3	368.012575934681	34.731628127819995	3	232.00410471710597	53.9350056411	3	277.15571836977597	33.964947138023994	3	484.144809305682	35.121603965682006	3	452.71851089842	36.79912042752	3	328.368315066748	0	0	0	6	0	0	0	0	0	0	0	0
7	53.496579891761996	3	421.509155826443	39.27161891833699	3	271.27572363544294	55.349046564948004	3	332.504764934724	78.619552057655	3	562.764361363337	34.816951091286	3	487.535461989706	36.196936361888	3	364.565251428636	0	0	0	6	0	0	0	0	0	0	0	0
8	51.36592912374599	4	472.87508495018903	37.16724632296	4	308.44296995840295	68.150749120968	4	400.655514055692	139.71779197708503	4	702.482153340422	40.140159444839995	4	527.675621434546	37.658077522912	4	402.22332895154796	0	0	0	0	6	0	0	0	0	0	0	0
9	52.01616200338799	4	524.891246953577	53.44737884004999	4	361.8903487984529	55.10785299789601	4	455.763367053588	81.22058907028	4	783.702742410702	42.88131883900801	4	570.556940273554	55.525387194367994	4	457.748716145916	0	0	0	0	6	0	0	0	0	0	0	0
10	84.36175917888599	5	609.253006132463	70.98783108807	5	432.8781798865229	71.785709528544	5	527.549076582132	50.708665803144996	5	834.4114082138469	41.31453547353599	5	611.87147574709	52.563347536544	5	510.31206368246	0	0	0	0	0	6	0	0	0	0	0	0
11	73.176185555253	5	682.4291916877161	52.774098516126	5	485.6522784026489	36.435567350556006	5	563.984643932688	52.674388115650004	5	887.0857963294969	53.58173620082401	5	665.453211947914	52.76490531072001	5	563.07696899318	0	0	0	0	0	6	0	0	0	0	0	0
12	43.821682909644004	6	726.25087459736	50.805102877242994	6	536.4573812798919	30.485387307869992	6	594.470031240558	32.95462009875	6	920.0404164282469	81.24922539302399	6	746.702437340938	47.60741134937601	6	610.684380342556	0	0	0	0	0	0	6	0	0	0	0	0
13	42.195317739024006	6	768.446192336384	51.839033670312	6	588.2964149502039	65.20119096716	6	659.671222207718	28.617203284632	6	948.6576197128788	49.430046034511996	6	796.13248337545	35.442055473888004	6	646.126435816444	0	0	0	0	0	0	6	0	0	0	0	0
14	30.177363426172	7	798.623555762556	69.31580238183003	7	657.612217332034	68.15801920038999	7	727.8292414081079	29.106482225964	7	977.7641019388428	60.31552311727799	7	856.4480064927279	35.78301597987999	7	681.909451796324	0	0	0	0	0	0	0	6	0	0	0	0
15	44.447288694272	7	843.0708444568279	68.71785204784501	7	726.330069379879	65.01056388229499	7	792.8398052904029	28.955721694307996	7	1006.7198236331508	117.35009001138499	7	973.7980965041129	31.40747114365	7	713.316922939974	0	0	0	0	0	0	0	6	0	0	0	0
16	71.87197850654398	8	914.9428229633719	66.91381110542702	8	793.243880485306	48.35362486138	8	841.1934301517829	65.06890411296001	8	1071.788727746111	34.766551815105	8	1008.5646483192179	46.52040104164001	8	759.837323981614	0	0	0	0	0	0	0	0	6	0	0	0
17	72.559585345842	8	987.5024083092139	66.269070325458	8	859.512950810764	31.732907614099997	8	872.9263377658829	66.05472006144001	8	1137.843447807551	36.083340725399	8	1044.647989044617	46.01411033172	8	805.8514343133339	0	0	0	0	0	0	0	0	6	0	0	0
18	35.643996517859996	9	1023.146404827074	39.821409106479	9	899.334359917243	41.319398706275	9	914.2457364721579	36.62988164136	9	1174.473329448911	35.360496170802	9	1080.008485215419	36.16029160896	9	842.011725922294	0	0	0	0	0	0	0	0	0	6	0	0
19	35.591127442668	9	1058.737532269742	36.580904473698	9	935.9152643909409	41.053037648665	9	955.2987741208228	34.37174312678399	9	1208.845072575695	51.483036433752	9	1131.4915216491709	36.03896595177	9	878.050691874064	0	0	0	0	0	0	0	0	0	6	0	0
