task	reward	total_reward	total_reward_dev
0	36.717212810503625	36.717212810503625	3.803662634573769
1	55.77864740669263	92.49586021719625	21.13147224552107
2	61.71022925323088	154.20608947042712	39.5771524514452
3	48.87320616160288	203.07929563202995	39.38930379808551
4	60.58672739015388	263.6660230221838	42.884213906127684
5	54.28687261607087	317.95289563825474	48.53482634623363
6	38.01184699707913	355.9647426353339	52.020698068894774
7	55.1257082573565	411.09045089269034	50.39440007086111
8	69.85075860034776	480.9412094930381	56.691985049869004
9	67.63941840648751	548.5806278995257	66.07898597140564
10	76.60585907308588	625.1864869726114	64.73728954408445
11	81.50953516921213	706.6960221418237	59.86236027063071
12	56.70107002609537	763.397092167919	62.11720857284926
13	50.82547080485512	814.2225629727741	62.66368530515856
14	55.028111834191996	869.2506748069661	76.41810059634022
15	60.067166947316	929.3178417542822	94.6028649953859
16	54.7908493554765	984.1086911097588	114.15074718224999
17	56.8069177286065	1040.915608838365	112.53172137570584
18	57.57840995819113	1098.4940187965562	117.5712685422351
19	56.608660148366	1155.102678944922	128.4724047490967
20	35.49924034997675	1190.6019192948988	134.22133508980744
21	39.453378063754755	1230.0552973586537	140.81512174115056
22	39.19862869262938	1269.253926051283	135.5606372737976
23	47.66444437893375	1316.9183704302168	133.12114693568168
24	46.381879602834246	1363.3002500330513	143.7977810000359
25	44.73701774946299	1408.0372677825142	147.96843081693845
26	49.956417464141616	1457.9936852466558	151.6505937416625
27	53.026237788260616	1511.0199230349162	145.65208624791697
28	42.62865945114438	1553.6485824860606	154.62988397093594
29	49.188621059245	1602.8372035453058	154.11271450240108
30	43.4590650058085	1646.2962685511145	163.02649512141542
31	41.686764297386496	1687.9830328485007	162.46447593730676
32	38.96995207699637	1726.952984925497	158.81781457829337
33	40.72645603709675	1767.6794409625938	156.68957115866763
34	46.73790551293901	1814.417346475533	162.8166132285145
35	50.61350061712863	1865.0308470926614	171.6748327476317
36	45.171854269252	1910.2027013619136	179.81518335628542
37	51.73833129195363	1961.9410326538668	194.47140540322638
38	43.43925186072775	2005.380284514595	204.56490834885062
39	42.942881597675125	2048.32316611227	209.17250055661432
40	40.2920679128315	2088.6152340251015	207.56781063896818
41	37.74772996085587	2126.3629639859573	206.38525360090736
42	36.829419835333624	2163.1923838212915	210.20282859818474
43	38.59946645597175	2201.7918502772627	209.02740583312178
44	60.647031478255876	2262.4388817555187	204.90603587776886
45	53.19262036584075	2315.6315021213595	194.3582195329255
46	40.832908728488626	2356.4644108498483	194.22216917844452
47	48.295416859202376	2404.7598277090506	196.07188795736937
48	41.74575609533037	2446.505583804381	193.73023843681023
49	47.964253618694755	2494.4698374230757	200.07488583853774
50	42.661782241678246	2537.1316196647545	195.57861170328567
51	43.537697913366756	2580.6693175781206	201.28415417206915
52	35.716490640513875	2616.385808218635	202.5461594060888
53	44.63781905505988	2661.0236272736947	206.66123511489397
54	39.904324007753246	2700.927951281448	210.62605614852066
55	43.449085641632244	2744.3770369230806	206.41230737909606
56	41.876097519865496	2786.2531344429453	210.8921839827668
57	42.672441330355745	2828.9255757733013	216.40448632289008
58	41.363365959852246	2870.2889417331535	223.6702241958
59	44.24284137823062	2914.531783111384	227.12588058976894
60	50.64251334406225	2965.1742964554464	223.88660488384033
61	52.23686300498062	3017.4111594604265	230.38559672776444
62	42.747374883323	3060.15853434375	224.92359745920157
63	50.489946927477625	3110.648481271228	222.67212922304756
64	42.95062610177437	3153.5991073730024	221.4780441942661
65	43.21205559515237	3196.811162968155	224.7759835750241
66	43.399326537000114	3240.2104895051543	219.76812270095496
67	36.006190633557	3276.216680138711	219.6099877297749
68	36.44238811993712	3312.6590682586484	219.38801444565485
69	37.12834665322137	3349.7874149118697	219.67324474715133
70	42.65622476765188	3392.4436396795218	222.90024865138935
71	39.41074235366538	3431.854382033187	225.86048326517232
72	34.547847662351124	3466.402229695538	228.0806506864254
73	36.759789763573245	3503.162019459112	232.1468693087014
74	43.40217363773899	3546.5641930968504	238.63821507817724
75	42.895968363025	3589.4601614598755	250.83478738294127
76	41.48205666722501	3630.9422181271007	250.49097452989963
77	44.13881410138637	3675.081032228486	257.3425901755367
78	45.50628358019988	3720.5873158086865	267.6226501670384
79	46.781108489826366	3767.368424298513	268.6615281123032
80	46.091620281971	3813.4600445804845	271.8159755857122
81	51.11908955567375	3864.5791341361573	276.08420042561914
82	40.0250256310115	3904.604159767169	278.2745284068911
83	41.37736943248613	3945.9815291996556	275.62222503976585
84	42.121888825224495	3988.10341802488	279.4895797481721
85	42.92018396997612	4031.023601994856	277.7432689433023
86	41.38371105639612	4072.4073130512515	277.33203339703346
87	40.067230603168	4112.47454365442	274.8113459064656
88	48.827565574321	4161.302109228742	273.6972190559402
89	46.17806533978525	4207.480174568527	272.8448324253155
90	41.180917999612745	4248.66109256814	273.9068627884256
91	63.429270695071	4312.090363263211	323.6165526740452
92	48.71321368864125	4360.803576951852	343.5396684894626
93	43.6031500659055	4404.406727017757	354.63601133733886
94	45.10955272650649	4449.516279744264	363.97519427877097
95	37.3611215093635	4486.877401253627	364.88856808511997
96	38.858186393044875	4525.735587646672	363.0432758221596
97	35.02987724696138	4560.765464893634	363.30304980602483
98	38.0386719125505	4598.804136806183	364.1230203258698
99	38.95652342368587	4637.76066022987	369.76730804614675
100	42.279556592700374	4680.04021682257	380.17285815778985
101	44.52760274885425	4724.5678195714245	387.89640422842984
102	57.11318563599525	4781.68100520742	417.06449606572977
103	59.0789269227365	4840.759932130156	442.61929423207306
104	44.60210836590574	4885.362040496062	439.6004111000707
105	42.92781570838475	4928.2898562044475	443.3440070791869
106	43.69094543409362	4971.9808016385405	448.3818121603682
107	45.468925827106496	5017.449727465647	447.2265443879806
108	45.224767724224996	5062.674495189873	446.51025325348724
109	41.63846060943975	5104.3129557993125	442.70009434486724
110	38.56364935118025	5142.876605150493	441.1573973757089
111	39.82462499197162	5182.701230142464	440.0981291935637
112	41.527785996111504	5224.2290161385745	440.07411180356564
