task	r0_energy	r0_config	r0_reward	r1_energy	r1_config	r1_reward	r2_energy	r2_config	r2_reward	r3_energy	r3_config	r3_reward	r4_energy	r4_config	r4_reward	r5_energy	r5_config	r5_reward	r6_energy	r6_config	r6_reward	r7_energy	r7_config	r7_reward	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
0	32.09511620558099	0	32.09511620558099	39.562574009925	0	39.562574009925	35.91929565496801	0	35.91929565496801	40.908127232531	0	40.908127232531	42.408873312131995	0	42.408873312131995	36.213483820602	0	36.213483820602	35.793546751903996	0	35.793546751903996	30.836685496385996	0	30.836685496385996	8	0	0	0	0	0	0	0	0	0	0	0
1	34.021104812656	1	66.11622101823698	36.639804267696	1	76.202378277621	37.53439910935399	1	73.453694764322	63.724679105999996	1	104.632806338531	88.67500702555199	1	131.08388033768398	68.144456173851	1	104.357939994453	71.611079301704	1	107.40462605360798	45.878649456728	1	76.715334953114	0	8	0	0	0	0	0	0	0	0	0	0
2	30.963367260189	2	97.07958827842599	69.15901588087499	2	145.36139415849598	37.218022028616	2	110.67171679293799	66.20213393270399	2	170.83494027123498	100.91838899416202	2	232.00226933184598	39.186345818589	2	143.544285813042	75.79913697331199	2	183.20376302691997	74.23542313739999	2	150.950758090514	0	0	8	0	0	0	0	0	0	0	0	0
3	39.663125329919	3	136.74271360834499	35.88289797672	3	181.24429213521597	66.5989145088	3	177.27063130173798	34.12484499072	3	204.95978526195498	46.052110013960004	3	278.05437934580596	49.123848785418005	3	192.66813459846	41.952037140336	3	225.15580016725596	77.58787054694999	3	228.538628637464	0	0	0	8	0	0	0	0	0	0	0	0
4	42.747748929228	4	179.490462537573	68.12540669262599	4	249.36969882784194	124.621650555667	4	301.892281857405	34.517377089536	4	239.47716235149096	40.2443906088	4	318.298769954606	55.714187941776004	4	248.382322540236	37.16244566900801	4	262.31824583626394	81.56061163459	4	310.099240272054	0	0	0	0	8	0	0	0	0	0	0	0
5	36.556272050088	5	216.04673458766098	36.23717696742	5	285.60687579526194	34.77857169917	5	336.670853556575	48.000863038127996	5	287.47802538961895	54.76259146932	5	373.061361423926	86.03106776454001	5	334.41339030477604	87.550611495984	5	349.86885733224796	50.377826443916994	5	360.477066715971	0	0	0	0	0	8	0	0	0	0	0	0
6	31.427663241743996	6	247.47439782940498	44.503948768842	6	330.11082456410395	33.781898880527	6	370.45275243710205	30.230018805360004	6	317.7080441949789	52.821594375200014	6	425.88295579912597	48.87332300711999	6	383.28671331189605	31.563703684544002	6	381.43256101679196	30.892625213296	6	391.369691929267	0	0	0	0	0	0	8	0	0	0	0	0
7	68.49731527044	7	315.971713099845	72.50146887951	7	402.61229344361396	69.31109577172201	7	439.7638482088241	30.41434835241	7	348.1223925473889	46.029218841200006	7	471.912174640326	50.170143047969994	7	433.45685635986604	38.109863848319996	7	419.54242486511197	65.97221204728	7	457.341903976547	0	0	0	0	0	0	0	8	0	0	0	0
8	79.159043328624	8	395.130756428469	70.923461663043	8	473.53575510665695	132.94009981473002	8	572.7039480235541	46.842734500320006	8	394.96512704770896	40.12799414399999	8	512.0401687843259	83.44669084328501	8	516.903547203151	74.17370960999999	8	493.71613447511197	31.19233489878	8	488.534238875327	0	0	0	0	0	0	0	0	8	0	0	0
9	33.167780853408	9	428.298537281877	95.58499672524599	9	569.1207518319029	33.326371249743005	9	606.0303192732971	50.27797210292999	9	445.24309915063895	93.17302074528	9	605.213189529606	54.42399909314501	9	571.327546296296	79.52067840475199	9	573.2368128798639	101.64052807739598	9	590.174766952723	0	0	0	0	0	0	0	0	0	8	0	0
