task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r0_rollrate	r1_energy	r1_config	r1_reward	r1_rate	r1_avgrate	r1_rollrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
0	13.451875365577852	0	36.43216244844001	13.451875365577852	13.451875365577852	13.451875365577852	13.031326450484308	0	35.293175803395	13.031326450484308	13.031326450484308	13.031326450484308	2	0	0	0	0	0	0	0	0	0	0	0
1	12.661053477957415	0	70.72251561790802	12.661053477957415	13.056464421767632	13.056464421767632	13.27436429856923	0	71.24457911202	13.27436429856923	13.15284537452677	13.15284537452677	2	0	0	0	0	0	0	0	0	0	0	0
2	15.986646718050464	0	114.01968381262803	15.986646718050464	14.03319185386191	14.03319185386191	13.019171438104614	0	106.50483509022001	13.019171438104614	13.108287395719385	13.108287395719385	2	0	0	0	0	0	0	0	0	0	0	0
3	17.728541564667328	0	162.03448388360204	17.728541564667328	14.957029281563265	14.957029281563265	15.51642504045785	0	148.52848624146003	15.51642504045785	13.710321806904002	13.710321806904002	2	0	0	0	0	0	0	0	0	0	0	0
4	17.5625444859264	0	209.59970853298603	17.5625444859264	15.478132322435892	15.478132322435892	15.376317767512619	0	190.17268019514003	15.376317767512619	14.043520999025725	14.043520999025725	2	0	0	0	0	0	0	0	0	0	0	0
5	14.799097204896	0	249.68059679624602	14.799097204896	15.36495980284591	15.36495980284591	14.840024501990774	0	230.36441322136506	14.840024501990774	14.176271582853232	14.176271582853232	2	0	0	0	0	0	0	0	0	0	0	0
6	12.9451577124576	0	284.74039893415204	12.9451577124576	15.019273789933294	15.019273789933294	13.843264314133659	0	267.85658740547706	13.843264314133659	14.128699115893294	14.128699115893294	2	0	0	0	0	0	0	0	0	0	0	0
7	13.060275405696004	0	320.11197815791206	13.060275405696004	14.774398991903633	14.774398991903633	18.826472577465598	0	318.844950636113	18.826472577465598	14.715920798589831	14.715920798589831	2	0	0	0	0	0	0	0	0	0	0	0
8	12.624278752569602	0	354.3027331127881	12.624278752569602	14.53549674308874	14.53549674308874	13.930022770849476	0	356.572095640497	13.930022770849476	14.628598795507571	14.628598795507571	2	0	0	0	0	0	0	0	0	0	0	0
9	15.327361438771202	0	395.8143370094601	15.327361438771202	14.614683212656985	14.614683212656985	16.119945954848497	0	400.230282601545	16.119945954848497	14.777733511441664	14.777733511441664	2	0	0	0	0	0	0	0	0	0	0	0
