task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r0_rollrate	r1_energy	r1_config	r1_reward	r1_rate	r1_avgrate	r1_rollrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
0	29.03611142487545	0	78.639468442371	29.03611142487545	29.03611142487545	29.03611142487545	29.174913140337228	0	79.01538975508	29.174913140337228	29.174913140337228	29.174913140337228	2	0	0	0	0	0	0	0	0	0	0	0
1	31.575343702430775	0	164.156024303121	31.575343702430775	30.305727563653114	30.305727563653114	34.928130504782764	0	173.61240987219998	34.928130504782764	32.05152182256	32.05152182256	2	0	0	0	0	0	0	0	0	0	0	0
2	29.278379294307694	0	243.451634891871	29.278379294307694	29.963278140537977	29.963278140537977	37.639352639719384	0	275.55232327143995	37.639352639719384	33.91413209494646	33.91413209494646	2	0	0	0	0	0	0	0	0	0	0	0
3	29.03943476224616	0	322.100104039621	29.03943476224616	29.73231729596502	29.73231729596502	37.15229910882462	0	376.17313335783996	37.15229910882462	34.723673848416	34.723673848416	2	0	0	0	0	0	0	0	0	0	0	0
4	37.17273335099077	0	422.776256865221	37.17273335099077	31.22040050697017	31.22040050697017	40.417519534523066	0	485.6372487638399	40.417519534523066	35.862442985637415	35.862442985637415	2	0	0	0	0	0	0	0	0	0	0	0
5	29.800434396081226	0	503.485766687941	29.800434396081226	30.983739488488677	30.983739488488677	30.008350018338458	0	566.9098633968399	30.008350018338458	34.886760824420925	34.886760824420925	2	0	0	0	0	0	0	0	0	0	0	0
6	30.67931984706462	0	586.575591273741	30.67931984706462	30.940250968285238	30.940250968285238	30.705392517740307	0	650.0703014657199	30.705392517740307	34.28942249489512	34.28942249489512	2	0	0	0	0	0	0	0	0	0	0	0
7	41.270134476886156	0	698.348872148641	41.270134476886156	32.231486406860355	32.231486406860355	38.438506177654155	0	754.1745890302	38.438506177654155	34.80805795524	34.80805795524	2	0	0	0	0	0	0	0	0	0	0	0
8	38.3437942491456	0	802.196648240077	38.3437942491456	32.91063172266983	32.91063172266983	30.635324468263388	0	837.14525946508	30.635324468263388	34.344420901131485	34.344420901131485	2	0	0	0	0	0	0	0	0	0	0	0
9	42.64997331541735	0	917.7069926359991	42.64997331541735	33.88456588194458	33.88456588194458	34.14491224043371	0	929.6210634495881	34.14491224043371	34.32447003506171	34.32447003506171	2	0	0	0	0	0	0	0	0	0	0	0
10	39.08333746323693	0	1023.5576982655991	39.08333746323693	34.35718148024389	35.31531246735168	32.731619957226826	0	1018.2692008337441	32.731619957226826	34.17966548253127	35.09566141259609	2	0	0	0	0	0	0	0	0	0	0	0
11	32.44161417951434	0	1111.420403335117	32.44161417951434	34.19755087184976	34.575887566575574	33.136521218841594	0	1108.01394580144	33.136521218841594	34.09273679389046	34.17430977757728	2	0	0	0	0	0	0	0	0	0	0	0
12	30.157859639227564	0	1193.097939858025	30.157859639227564	33.88680539241728	33.148343788047725	36.881800527622154	0	1207.90215556375	36.881800527622154	34.307280158023666	33.8356888389761	2	0	0	0	0	0	0	0	0	0	0	0
13	30.646664954496	0	1276.0993241097851	30.646664954496	33.655366789708616	33.82981608265167	30.50168525908061	0	1290.5108864737601	30.50168525908061	34.03545195095631	33.03613399079431	2	0	0	0	0	0	0	0	0	0	0	0
14	30.2291160036768	0	1357.969846619743	30.2291160036768	33.426950070639826	32.995513144335646	29.96136667034585	0	1371.65625453928	29.96136667034585	33.76384626558227	32.57715858732686	2	0	0	0	0	0	0	0	0	0	0	0
15	28.433772202120615	0	1434.977979667153	28.433772202120615	33.11487645385738	31.512202061215238	29.555157167383026	0	1451.7014718676091	29.555157167383026	33.50080319694482	31.194555782230857	2	0	0	0	0	0	0	0	0	0	0	0
16	31.17302258887384	0	1519.4049158453531	31.17302258887384	33.00064975591717	31.067696623166807	29.650485816121858	0	1532.0048709529392	29.650485816121858	33.27431393924935	30.719093082894837	2	0	0	0	0	0	0	0	0	0	0	0
17	32.764441096224	0	1608.1419438142932	32.764441096224	32.98752705260088	30.979751228594477	30.49670608612431	0	1614.600116602859	30.49670608612431	33.12000239185352	30.34124178444469	2	0	0	0	0	0	0	0	0	0	0	0
18	36.983420607289844	0	1708.3053746257033	36.983420607289844	33.19783723968978	30.97491734972408	36.24295943327077	0	1712.7581317346342	36.24295943327077	33.28436855192811	31.54904476714309	2	0	0	0	0	0	0	0	0	0	0	0
19	39.466353563977854	0	1815.1934155281433	39.466353563977854	33.51126305590418	32.4727685231732	32.87203962621784	0	1801.786572388974	32.87203962621784	33.2637521056426	32.7638358187604	2	0	0	0	0	0	0	0	0	0	0	0
20	35.73069620385599	0	1911.9640510802533	35.73069620385599	33.61695034866379	33.49352821893393	38.23080719972677	0	1905.328341888234	38.23080719972677	33.500278538694225	34.36109322216831	2	0	0	0	0	0	0	0	0	0	0	0
