task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r0_rollrate	r1_energy	r1_config	r1_reward	r1_rate	r1_avgrate	r1_rollrate	r2_energy	r2_config	r2_reward	r2_rate	r2_avgrate	r2_rollrate	r3_energy	r3_config	r3_reward	r3_rate	r3_avgrate	r3_rollrate	r4_energy	r4_config	r4_reward	r4_rate	r4_avgrate	r4_rollrate	r5_energy	r5_config	r5_reward	r5_rate	r5_avgrate	r5_rollrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
0	59.73178546367999	0	59.73178546367999	59.73178546367999	59.73178546367999	59.73178546367999	36.37120837095901	0	36.37120837095901	36.37120837095901	36.37120837095901	36.37120837095901	41.682232419168	0	41.682232419168	41.682232419168	41.682232419168	41.682232419168	66.00507847559999	0	66.00507847559999	66.00507847559999	66.00507847559999	66.00507847559999	42.594987207810995	0	42.594987207810995	42.594987207810995	42.594987207810995	42.594987207810995	51.581169159549994	0	51.581169159549994	51.581169159549994	51.581169159549994	51.581169159549994	6	0	0	0	0	0	0	0	0	0	0	0
1	37.0303029558	0	96.76208841948	37.0303029558	48.38104420974	48.38104420974	37.133653037436	0	73.50486140839502	37.133653037436	36.75243070419751	36.75243070419751	37.829983331624	0	79.512215750792	37.829983331624	39.756107875396	39.756107875396	57.978291720249985	0	123.98337019584997	57.978291720249985	61.991685097924986	61.991685097924986	80.18260895519	0	122.777596163001	80.18260895519	61.3887980815005	61.3887980815005	37.741892612175995	0	89.32306177172599	37.741892612175995	44.661530885862994	44.661530885862994	6	0	0	0	0	0	0	0	0	0	0	0
2	85.801732388361	1	182.563820807841	85.801732388361	60.854606935947004	60.854606935947004	113.74628277378598	1	187.251144182181	113.74628277378598	62.417048060727005	62.417048060727005	38.96332800448	1	118.47554375527199	38.96332800448	39.49184791842399	39.49184791842399	59.68289862265499	1	183.66626881850496	59.68289862265499	61.22208960616832	61.22208960616832	74.734048112892	1	197.511644275893	74.734048112892	65.83721475863099	65.83721475863099	39.010621909896	1	128.333683681622	39.010621909896	42.777894560540666	42.777894560540666	0	6	0	0	0	0	0	0	0	0	0	0
3	32.210245903164996	1	214.77406671100601	32.210245903164996	53.693516677751504	53.693516677751504	81.28836338524201	1	268.539507567423	81.28836338524201	67.13487689185575	67.13487689185575	40.001561394773	1	158.477105150045	40.001561394773	39.61927628751125	39.61927628751125	45.05714327037	1	228.72341208887497	45.05714327037	57.18085302221874	57.18085302221874	82.48926565303198	1	280.00090992892495	82.48926565303198	70.00022748223124	70.00022748223124	110.97069873003	1	239.304382411652	110.97069873003	59.826095602913	59.826095602913	0	6	0	0	0	0	0	0	0	0	0	0
4	64.522945183598	2	279.297011894604	64.522945183598	55.8594023789208	55.8594023789208	86.374484730184	2	354.913992297607	86.374484730184	70.9827984595214	70.9827984595214	41.290623713801	2	199.767728863846	41.290623713801	39.9535457727692	39.9535457727692	33.14150323792	2	261.86491532679497	33.14150323792	52.372983065358994	52.372983065358994	85.99597167242202	2	365.99688160134696	85.99597167242202	73.1993763202694	73.1993763202694	101.116651794552	2	340.421034206204	101.116651794552	68.0842068412408	68.0842068412408	0	0	6	0	0	0	0	0	0	0	0	0
5	31.984674896459996	2	311.281686791064	31.984674896459996	51.880281131843994	51.880281131843994	91.71850560474799	2	446.632497902355	91.71850560474799	74.4387496503925	74.4387496503925	93.194467768732	2	292.962196632578	93.194467768732	48.82703277209634	48.82703277209634	31.87140930764999	2	293.73632463444494	31.87140930764999	48.956054105740826	48.956054105740826	86.93207681249	2	452.92895841383694	86.93207681249	75.48815973563948	75.48815973563948	54.373618025023	2	394.794652231227	54.373618025023	65.7991087052045	65.7991087052045	0	0	6	0	0	0	0	0	0	0	0	0
6	39.914578883256	3	351.19626567432	39.914578883256	50.17089509633143	50.17089509633143	37.145299849944	3	483.777797752299	37.145299849944	69.11111396461415	69.11111396461415	42.464662892652	3	335.42685952523004	42.464662892652	47.91812278931858	47.91812278931858	54.04738368699999	3	347.7837083214449	54.04738368699999	49.68338690306356	49.68338690306356	34.176910411853996	3	487.10586882569095	34.176910411853996	69.58655268938442	69.58655268938442	51.29289865943599	3	446.087550890663	51.29289865943599	63.72679298438043	63.72679298438043	0	0	0	6	0	0	0	0	0	0	0	0
7	37.642922209244	3	388.83918788356397	37.642922209244	48.604898485445496	48.604898485445496	49.746999062585004	3	533.524796814884	49.746999062585004	66.6905996018605	66.6905996018605	40.087767134877005	3	375.51462666010707	40.087767134877005	46.939328332513384	46.939328332513384	37.84047295999999	3	385.6241812814449	37.84047295999999	48.203022660180615	48.203022660180615	35.81600269406599	3	522.9218715197569	35.81600269406599	65.36523393996961	65.36523393996961	47.73605921329499	3	493.823610103958	47.73605921329499	61.72795126299475	61.72795126299475	0	0	0	6	0	0	0	0	0	0	0	0
8	88.20135439338301	4	477.040542276947	88.20135439338301	53.004504697438556	53.004504697438556	51.91736708235	4	585.442163897234	51.91736708235	65.04912932191489	65.04912932191489	57.532777078985994	4	433.04740373909306	57.532777078985994	48.11637819323256	48.11637819323256	87.95036039999998	4	473.5745416814449	87.95036039999998	52.61939352016054	52.61939352016054	38.175133585848	4	561.0970051056049	38.175133585848	62.344111678400544	62.344111678400544	79.28939479318602	4	573.113004897144	79.28939479318602	63.67922276634934	63.67922276634934	0	0	0	0	6	0	0	0	0	0	0	0
9	41.564498607786	4	518.6050408847331	41.564498607786	51.860504088473306	51.860504088473306	64.216879374948	4	649.659043272182	64.216879374948	64.9659043272182	64.9659043272182	54.590550065051	4	487.63795380414405	54.590550065051	48.76379538041441	48.76379538041441	89.024612768	4	562.5991544494449	89.024612768	56.25991544494449	56.25991544494449	36.379891977785995	4	597.4768970833909	36.379891977785995	59.74768970833909	59.74768970833909	76.818404789828	4	649.9314096869721	76.818404789828	64.9931409686972	64.9931409686972	0	0	0	0	6	0	0	0	0	0	0	0
10	104.59026299128001	5	623.1953038760131	104.59026299128001	56.654118534183006	70.2940503518702	64.986570509206	5	714.645613781388	64.986570509206	64.96778307103527	73.0185181415732	44.077428511841994	5	531.7153823159861	44.077428511841994	48.337762028726004	73.5251988017678	90.15304984	5	652.7522042894449	90.15304984	59.34110948085863	71.44343391276479	81.80623372544	5	679.283130808831	81.80623372544	61.75301189171191	69.51239210585359	83.08902133224	5	733.0204310192121	83.08902133224	66.63822100174656	72.38393243657531	0	0	0	0	0	6	0	0	0	0	0	0
11	99.52167690959999	5	722.716980785613	99.52167690959999	60.226415065467755	77.2068102615917	41.264005995474	5	755.909619776862	41.264005995474	62.992468314738495	76.5596049398096	38.627334702594005	5	570.3427170185801	38.627334702594005	47.528559751548336	72.49339893075039	45.536312388	5	698.2885166774449	45.536312388	58.19070972312041	69.3651896905676	81.387601241688	5	760.670732050519	81.387601241688	63.38922767087658	67.0449235156084	78.66711474639999	5	811.6875457656121	78.66711474639999	67.640628813801	68.41297793932779	0	0	0	0	0	6	0	0	0	0	0	0
12	33.3067176369	6	756.023698422513	33.3067176369	58.155669109424075	67.33590685183358	30.811297491570002	6	786.720917268432	30.811297491570002	60.516993636033234	61.4017316169906	57.90538682599	6	628.2481038445701	57.90538682599	48.326777218813085	59.011646927045604	32.392860479999996	6	730.6813771574449	32.392860479999996	56.20625978134191	53.9420308418216	31.24796127023	6	791.918693320749	31.24796127023	60.91682256313454	47.1146592778846	31.356322411007994	6	843.0438681766201	31.356322411007994	64.84952832127847	46.123890919438	0	0	0	0	0	0	6	0	0	0	0	0
13	38.469367663999996	6	794.493066086513	38.469367663999996	56.74950472046521	46.108094215578596	35.442545158655996	6	822.163462427088	35.442545158655996	58.725961601934856	45.098717492644205	49.961918318832	6	678.2100221634021	49.961918318832	48.443573011671575	41.9561492003586	34.619351112000004	6	765.3007282694449	34.619351112000004	54.66433773353178	37.551372836918596	29.952819522934	6	821.8715128436829	29.952819522934	58.705108060263065	37.215983025522	31.984389824051995	6	875.028258000672	31.984389824051995	62.50201842861943	37.33329225877021	0	0	0	0	0	0	6	0	0	0	0	0
14	31.910715838518	7	826.4037819250309	31.910715838518	55.093585461668724	34.733825160023	86.550634189488	7	908.714096616576	86.550634189488	60.5809397744384	40.1496025309718	51.362870428799994	7	729.572892592202	51.362870428799994	48.63819283948013	42.161093446828794	32.79454653276	7	798.0952748022049	32.79454653276	53.206351653480326	42.304915859004	42.444061786702	7	864.315574630385	42.444061786702	57.62103830869233	42.702385271274196	46.70229765564	7	921.730555656312	46.70229765564	61.4487037104208	43.828360520972595	0	0	0	0	0	0	0	6	0	0	0	0
15	38.053678760216	7	864.4574606852469	38.053678760216	54.02859129282793	42.637536565111	33.463781833056	7	942.177878449632	33.463781833056	58.886117403102	42.521979637216596	120.06894016109999	7	849.641832753302	120.06894016109999	53.10261454708137	51.533591701033195	34.109412912938005	7	832.2046877151429	34.109412912938005	52.01279298219643	51.7460940099218	29.790863729956	7	894.1064383603409	29.790863729956	55.88165239752131	51.5341087990656	34.797650031192	7	956.528205687504	34.797650031192	59.783012855469	46.358810383236005	0	0	0	0	0	0	0	6	0	0	0	0
16	33.46406418528	8	897.9215248705269	33.46406418528	52.81891322767805	44.568929758884	41.183138564028	8	983.36101701366	41.183138564028	57.844765706685884	45.407788962010805	98.73665401370398	8	948.3784867670059	98.73665401370398	55.78696980982388	51.037048184711	66.05628770617999	8	898.2609754213229	66.05628770617999	52.83888090713664	52.972447189765	29.991140963430002	8	924.0975793237709	29.991140963430002	54.358681136692404	52.16619341008639	81.17755385452	8	1037.705759542024	81.17755385452	61.041515267177886	56.9375706122328	0	0	0	0	0	0	0	0	6	0	0	0
17	49.378330009896004	8	947.2998548804229	49.378330009896004	52.62776971557905	49.86850959711239	30.394789404306	8	1013.755806417966	30.394789404306	56.31976702322034	49.49704724624919	99.85872880115998	8	1048.237215568166	99.85872880115998	58.23540086489811	56.50383375336959	49.356061793184	8	947.6170372145069	49.356061793184	52.645390956361496	57.95967492956879	29.998186818077997	8	954.0957661418489	29.998186818077997	53.00532034121383	57.6130871928486	46.960741521592006	8	1084.666501063616	46.960741521592006	60.25925005908977	58.190847488604994	0	0	0	0	0	0	0	0	6	0	0	0
18	104.110591804428	9	1051.410446684851	104.110591804428	55.33739193078163	58.72824126767739	38.240081075484	9	1051.99588749345	38.240081075484	55.368204604918425	55.9466206046078	42.753139322459994	9	1090.990354890626	42.753139322459994	57.42054499424347	57.222820440510795	53.824478621451995	9	1001.441515835959	53.824478621451995	52.707448201892575	54.487512917204	34.485277681743	9	988.5810438235919	34.485277681743	52.03058125387326	52.998207684388696	75.840929910111	9	1160.507430973727	75.840929910111	61.07933847230142	57.542821734969195	0	0	0	0	0	0	0	0	0	6	0	0
19	115.098667997028	9	1166.509114681879	115.098667997028	58.32545573409395	59.066815654556	36.02807914314	9	1088.02396663659	36.02807914314	54.401198331829505	57.734017389551596	93.144550291296	9	1184.1349051819218	93.144550291296	59.20674525909609	64.0486537368734	57.233060081679994	9	1058.674575917639	57.233060081679994	52.93372879588195	65.0758855928822	33.791058931185	9	1022.372102754777	33.791058931185	51.11860513773885	58.0439323055579	36.944521825584	9	1197.451952799311	36.944521825584	59.87259763996555	57.91437638056791	0	0	0	0	0	0	0	0	0	6	0	0
