task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r0_rollrate	r1_energy	r1_config	r1_reward	r1_rate	r1_avgrate	r1_rollrate	r2_energy	r2_config	r2_reward	r2_rate	r2_avgrate	r2_rollrate	r3_energy	r3_config	r3_reward	r3_rate	r3_avgrate	r3_rollrate	r4_energy	r4_config	r4_reward	r4_rate	r4_avgrate	r4_rollrate	r5_energy	r5_config	r5_reward	r5_rate	r5_avgrate	r5_rollrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
0	53.58146033889	0	53.58146033889	53.58146033889	53.58146033889	53.58146033889	41.98581004916799	0	41.98581004916799	41.98581004916799	41.98581004916799	41.98581004916799	35.7536678202	0	35.7536678202	35.7536678202	35.7536678202	35.7536678202	38.287601353616	0	38.287601353616	38.287601353616	38.287601353616	38.287601353616	38.9906568599	0	38.9906568599	38.9906568599	38.9906568599	38.9906568599	35.864566288759995	0	35.864566288759995	35.864566288759995	35.864566288759995	35.864566288759995	6	0	0	0	0	0	0	0	0	0	0	0
1	100.95227109551999	1	154.53373143441	100.95227109551999	77.266865717205	77.266865717205	95.22224027568	1	137.208050324848	95.22224027568	68.604025162424	68.604025162424	86.14953099983998	1	121.90319882003999	86.14953099983998	60.951599410019995	60.951599410019995	39.802084261822	1	78.089685615438	39.802084261822	39.044842807719	39.044842807719	38.067511122816	1	77.058167982716	38.067511122816	38.529083991358	38.529083991358	49.51937179311	1	85.38393808186999	49.51937179311	42.69196904093499	42.69196904093499	0	6	0	0	0	0	0	0	0	0	0	0
2	92.591445603067	2	247.125177037477	92.591445603067	82.37505901249233	82.37505901249233	94.44681436553999	2	231.65486469038797	94.44681436553999	77.21828823012932	77.21828823012932	37.46300688584999	2	159.36620570588997	37.46300688584999	53.12206856862999	53.12206856862999	47.580328044891	2	125.670013660329	47.580328044891	41.890004553443	41.890004553443	44.365604842790006	2	121.423772825506	44.365604842790006	40.47459094183534	40.47459094183534	87.9925753846	2	173.37651346647	87.9925753846	57.792171155489996	57.792171155489996	0	0	6	0	0	0	0	0	0	0	0	0
3	37.14504368214599	3	284.27022071962296	37.14504368214599	71.06755517990574	71.06755517990574	35.42548848280399	3	267.08035317319195	35.42548848280399	66.77008829329799	66.77008829329799	56.8790548704	3	216.24526057628998	56.8790548704	54.061315144072495	54.061315144072495	36.113256127395005	3	161.783269787724	36.113256127395005	40.445817446931	40.445817446931	52.334464077585004	3	173.75823690309102	52.334464077585004	43.439559225772754	43.439559225772754	34.87739599520999	3	208.25390946167997	34.87739599520999	52.06347736541999	52.06347736541999	0	0	0	6	0	0	0	0	0	0	0	0
4	100.88115570932402	4	385.15137642894695	100.88115570932402	77.03027528578939	77.03027528578939	69.90044404525001	4	336.980797218442	69.90044404525001	67.39615944368839	67.39615944368839	40.008606037289994	4	256.25386661358	40.008606037289994	51.250773322716	51.250773322716	41.36881570718399	4	203.152085494908	41.36881570718399	40.630417098981596	40.630417098981596	111.54806237418903	4	285.30629927728006	111.54806237418903	57.061259855456015	57.061259855456015	67.57196716816	4	275.82587662983997	67.57196716816	55.165175325967994	55.165175325967994	0	0	0	0	6	0	0	0	0	0	0	0
5	86.521686819912	5	471.67306324885897	86.521686819912	78.61217720814317	78.61217720814317	53.39514966223199	5	390.37594688067395	53.39514966223199	65.06265781344565	65.06265781344565	37.6309567425	5	293.88482335608	37.6309567425	48.98080389268	48.98080389268	38.80541668499999	5	241.95750217990798	38.80541668499999	40.326250363317996	40.326250363317996	51.974011479127995	5	337.2803107564081	51.974011479127995	56.21338512606801	56.21338512606801	65.8146662856	5	341.64054291543994	65.8146662856	56.94009048590666	56.94009048590666	0	0	0	0	0	6	0	0	0	0	0	0
6	34.082968627296005	6	505.75603187615496	34.082968627296005	72.25086169659356	72.25086169659356	50.860994722272	6	441.23694160294593	50.860994722272	63.03384880042085	63.03384880042085	35.180305663800006	6	329.06512901988003	35.180305663800006	47.00930414569715	47.00930414569715	94.90711747870799	6	336.864619658616	94.90711747870799	48.123517094088	48.123517094088	48.936329174015995	6	386.2166399304241	48.936329174015995	55.1738057043463	55.1738057043463	48.054393565649995	6	389.69493648108994	48.054393565649995	55.67070521158428	55.67070521158428	0	0	0	0	0	0	6	0	0	0	0	0
7	46.667842767	7	552.4238746431549	46.667842767	69.05298433039437	69.05298433039437	48.827204653374	7	490.06414625631993	48.827204653374	61.25801828203999	61.25801828203999	41.6990278062	7	370.76415682608	41.6990278062	46.34551960326	46.34551960326	49.24032816113999	7	386.104947819756	49.24032816113999	48.2631184774695	48.2631184774695	49.11032151202401	7	435.3269614424481	49.11032151202401	54.415870180306015	54.415870180306015	37.36356024112799	7	427.0584967222179	37.36356024112799	53.38231209027724	53.38231209027724	0	0	0	0	0	0	0	6	0	0	0	0
8	48.774523843584	8	601.1983984867389	48.774523843584	66.7998220540821	66.7998220540821	89.494031675762	8	579.5581779320819	89.494031675762	64.39535310356466	64.39535310356466	31.349325480479997	8	402.11348230656	31.349325480479997	44.67927581184	44.67927581184	49.466992309488	8	435.57194012924396	49.466992309488	48.39688223658266	48.39688223658266	34.81357188897	8	470.1405333314181	34.81357188897	52.23783703682423	52.23783703682423	33.334603132679995	8	460.3930998548979	33.334603132679995	51.15478887276643	51.15478887276643	0	0	0	0	0	0	0	0	6	0	0	0
9	133.70547157463997	9	734.9038700613789	133.70547157463997	73.4903870061379	73.4903870061379	70.25364516189597	9	649.8118230939779	70.25364516189597	64.98118230939778	64.98118230939778	38.964221688798	9	441.077703995358	38.964221688798	44.107770399535795	44.107770399535795	41.994013623183	9	477.56595375242694	41.994013623183	47.756595375242696	47.756595375242696	107.72179677153301	9	577.8623301029511	107.72179677153301	57.786233010295106	57.786233010295106	76.17998556135001	9	536.573085416248	76.17998556135001	53.6573085416248	53.6573085416248	0	0	0	0	0	0	0	0	0	6	0	0
