energy	drain	deviation	rel	gps_interval	sensor_configuration
390.91	0.01	0.0	0.0%	30000	Sensor Off
398.08	0.01	0.0	0.0%	10000	Sensor Off
370.66	0.01	0.0	0.0%	8000	Sensor Off
559.09	0.0	0.0	0.0%	7500	Sensor Off
551.61	0.03	0.0	0.0%	5000	Sensor Off
678.94	0.02	0.0	0.0%	3500	Sensor Off
552.3	0.02	0.0	0.0%	3000	Sensor Off
751.74	0.01	0.0	0.0%	2500	Sensor Off
745.22	0.02	0.0	0.0%	2000	Sensor Off
773.63	0.03	0.0	0.0%	1000	Sensor Off
706.21	0.02	0.0	0.0%	500	Sensor Off
451.67	0.01	0.0	0.0%	30000	Callback Off
502.7	0.01	0.0	0.0%	10000	Callback Off
482.98	0.0	0.0	0.0%	8000	Callback Off
508.94	0.01	0.0	0.0%	7500	Callback Off
578.66	0.02	0.0	0.0%	5000	Callback Off
627.43	0.03	0.0	0.0%	3500	Callback Off
675.75	0.02	0.0	0.0%	3000	Callback Off
720.78	0.01	0.0	0.0%	2500	Callback Off
720.75	0.03	0.0	0.0%	2000	Callback Off
774.14	0.02	0.0	0.0%	1000	Callback Off
795.72	0.03	0.0	0.0%	500	Callback Off
753.53	0.02	0.0	0.0%	30000	Everything On
811.28	0.03	0.0	0.0%	10000	Everything On
831.21	0.01	0.0	0.0%	8000	Everything On
875.79	0.01	0.0	0.0%	7500	Everything On
762.7	0.03	0.0	0.0%	5000	Everything On
773.09	0.02	0.0	0.0%	3500	Everything On
756.64	0.03	0.0	0.0%	3000	Everything On
768.24	0.02	0.0	0.0%	2500	Everything On
739.51	0.03	0.0	0.0%	2000	Everything On
769.47	0.01	0.0	0.0%	1000	Everything On
791.32	0.04	0.0	0.0%	500	Everything On
