count	delay	accuracy
0	52086.0	110.00
1	0.0	110.00
2	4914.0	20.00
3	16118.0	122.40
4	33882.0	26.00
5	0.0	26.00
6	0.0	26.00
7	4072.0	85.76
8	0.0	85.76
9	33928.0	28.00
10	39748.0	231.51
11	33973.0	232.16
12	30146.0	251.08
13	44922.0	392.99
14	31211.0	16.00
15	60000.0	23.00
16	30000.0	22.00
17	30000.0	16.00
18	60000.0	19.00
19	30000.0	4.00
20	30000.0	7.00
21	60000.0	3.00
22	29000.0	8.00
23	28000.0	7.00
24	10000.0	9.00
25	20000.0	13.00
26	10000.0	7.00
27	20000.0	6.00
28	10000.0	12.00
29	20000.0	6.00
30	10000.0	10.00
31	10000.0	12.00
32	20000.0	5.00
33	20000.0	10.00
34	10000.0	6.00
35	20000.0	4.00
36	10000.0	5.00
37	10000.0	8.00
38	20000.0	4.00
39	20000.0	3.00
40	20000.0	4.00
41	20000.0	4.00
42	10000.0	5.00
43	20000.0	5.00
44	0.0	5.00
45	6000.0	4.00
46	16000.0	4.00
47	16000.0	6.00
48	16000.0	4.00
49	8000.0	7.00
50	8000.0	8.00
51	16000.0	6.00
52	8000.0	5.00
53	16000.0	7.00
54	8000.0	5.00
55	8000.0	7.00
56	8000.0	5.00
57	8000.0	6.00
58	16000.0	6.00
59	16000.0	5.00
60	16000.0	4.00
61	16000.0	5.00
62	8000.0	13.00
63	8000.0	4.00
64	8000.0	7.00
65	16000.0	10.00
66	8000.0	5.00
67	8000.0	6.00
68	8000.0	5.00
69	8000.0	6.00
70	8000.0	6.00
71	16000.0	6.00
72	8000.0	5.00
73	8000.0	4.00
74	0.0	4.00
75	0.0	4.00
76	11000.0	8.00
77	8000.0	3.00
78	15000.0	5.00
79	15000.0	7.00
80	15000.0	3.00
81	15000.0	6.00
82	15000.0	4.00
83	15000.0	7.00
84	15000.0	5.00
85	15000.0	4.00
86	15000.0	5.00
87	15000.0	3.00
88	15000.0	8.00
89	15000.0	12.00
90	15000.0	9.00
91	15000.0	5.00
92	15000.0	12.00
93	15000.0	6.00
94	15000.0	5.00
95	15000.0	9.00
96	15000.0	5.00
97	7000.0	7.00
98	8000.0	11.00
99	6000.0	6.00
100	6000.0	4.00
101	5000.0	4.00
102	5000.0	3.00
103	6000.0	3.00
104	6000.0	3.00
105	5000.0	3.00
106	5000.0	3.00
107	5000.0	3.00
108	6000.0	3.00
109	5000.0	3.00
110	5000.0	3.00
111	6000.0	3.00
112	6000.0	3.00
113	5000.0	3.00
114	5000.0	3.00
115	5000.0	3.00
116	6000.0	3.00
117	5000.0	3.00
118	6000.0	3.00
