task	r0_energy	r0_config	r1_energy	r1_config	r2_energy	r2_config	r3_energy	r3_config	r4_energy	r4_config	r5_energy	r5_config
0	41.52	0	52.87	0	38.6	0	44.72	0	38.8	0	64.12	0
1	41.98	0	39.48	0	38.54	0	35.54	0	48.37	0	64.3	0
2	44.08	1	38.11	1	38.55	1	35.89	1	48.37	1	34.42	1
3	82.75	1	75.87	1	39.99	1	115.49	1	67.93	1	41.39	1
4	53.63	2	38.7	2	66.11	2	81.93	2	74.81	2	56.7	2
5	114.0	2	70.19	2	80.4	2	77.94	2	81.41	2	67.55	2
6	95.35	3	68.83	3	84.05	3	100.09	3	110.25	3	81.27	3
7	106.98	3	76.47	3	91.72	3	78.15	3	84.78	3	68.87	3
8	85.22	0	71.49	0	87.19	0	93.52	0	73.48	0	88.1	1
9	38.01	0	41.86	2	49.89	1	75.2	0	30.76	0	37.62	1
10	37.81	0	71.7	2	39.1	1	58.22	0	35.46	0	87.34	1
11	37.82	0	69.19	0	39.2	0	103.82	0	35.99	0	37.47	1
12	51.64	0	51.88	1	76.99	1	77.58	0	62.94	0	65.71	1
13	49.25	0	84.68	1	67.79	1	77.54	0	55.21	0	81.09	1
14	37.72	0	52.24	2	39.21	0	46.04	0	48.35	0	53.77	1
15	40.24	0	79.65	2	64.65	3	36.21	0	48.94	0	79.13	1
16	37.94	0	65.71	0	87.14	0	36.3	0	41.39	0	49.68	1
17	41.58	0	38.64	2	38.73	1	53.82	0	39.7	0	65.96	1
18	41.54	0	69.7	2	78.68	1	36.21	0	51.05	0	66.42	1
19	42.08	0	74.81	2	38.99	1	36.21	0	67.3	0	43.73	1
20	59.71	0	109.27	2	42.87	1	57.56	0	64.87	0	65.04	1
21	68.45	0	105.66	0	51.82	1	40.36	3	66.43	0	35.43	1
22	63.39	0	51.61	1	78.94	1	68.57	0	51.53	0	64.33	1
23	77.64	0	107.84	1	78.94	1	73.81	3	47.99	0	64.33	1
24	62.21	0	71.09	2	43.98	2	77.91	3	34.5	0	65.19	1
25	37.88	0	65.7	2	70.13	0	81.89	0	34.78	0	40.31	1
26	37.9	0	72.64	2	69.34	1	35.09	0	35.07	0	67.84	1
27	37.72	0	68.2	2	86.5	1	81.3	0	34.43	0	36.5	1
28	38.47	0	68.97	1	57.86	0	71.44	0	37.48	0	37.0	1
29	39.94	0	40.17	2	50.81	0	40.72	0	51.43	0	64.95	1
30	51.24	0	67.5	2	78.42	0	36.75	0	38.52	0	36.72	1
31	51.55	1	80.81	2	67.64	1	97.6	0	66.01	0	65.99	1
32	78.13	0	87.08	2	41.19	0	50.35	0	75.71	0	67.45	1
33	51.81	0	68.87	2	36.7	0	51.25	0	79.09	0	46.58	1
34	37.83	0	69.54	2	53.86	0	118.28	0	73.38	0	48.93	1
35	41.58	0	66.6	2	64.44	0	41.48	0	62.42	0	91.45	1
36	40.91	3	49.04	2	45.26	0	41.5	0	34.51	0	51.72	1
37	75.57	0	75.88	2	37.38	0	92.88	0	35.13	0	69.16	1
38	61.9	2	75.89	2	38.79	0	70.27	0	34.4	0	38.48	1
39	52.15	0	74.06	2	44.38	0	73.71	0	34.76	0	35.97	1
40	64.16	0	70.21	2	49.01	0	48.63	0	34.87	0	49.59	1
41	38.17	0	69.52	2	42.94	0	35.79	0	48.03	0	39.73	1
42	63.9	1	70.63	2	42.83	0	35.57	0	48.03	0	54.38	1
43	38.3	0	81.89	0	74.37	3	39.76	0	38.26	0	35.59	1
44	37.47	0	51.46	1	98.04	0	38.12	0	51.93	0	36.7	1
45	37.67	0	52.67	1	88.24	0	36.64	0	63.76	0	65.66	1
46	38.12	0	86.82	1	40.46	0	36.46	0	34.68	0	42.52	1
47	37.44	0	49.76	1	38.52	0	40.16	0	34.53	0	48.98	1
48	37.61	0	68.71	1	39.34	0	40.92	3	47.91	0	0.0	1
