task	r0_energy	r0_config	r1_energy	r1_config	r2_energy	r2_config
0	35.44	0	38.66	0	36.55	0
1	35.07	0	39.2	0	35.89	0
2	37.88	1	41.08	1	40.46	1
3	48.54	1	46.66	1	64.35	1
4	78.29	2	65.91	2	37.9	2
5	78.59	2	61.44	2	81.24	2
6	82.35	3	64.69	3	68.22	3
7	70.31	3	66.82	3	69.08	3
8	70.32	0	69.94	0	77.54	0
9	70.93	1	35.15	1	39.95	0
10	68.81	0	49.18	1	66.27	0
11	62.88	0	79.66	1	79.46	0
12	38.83	1	65.75	0	64.85	1
13	64.6	1	49.45	1	36.9	0
14	65.7	1	49.45	3	41.36	0
15	49.46	1	36.37	1	35.9	0
16	63.69	1	76.1	1	49.12	0
17	36.46	0	64.12	1	50.66	0
18	34.01	0	36.12	1	50.01	0
19	37.59	0	64.37	1	49.86	0
20	35.46	0	48.1	1	47.49	0
21	34.85	0	83.38	1	47.48	0
22	35.14	0	83.61	0	48.23	0
23	35.34	0	35.12	1	45.71	0
24	37.76	0	37.25	1	39.6	0
25	38.97	0	37.28	1	82.82	0
26	41.08	0	64.9	1	36.06	0
27	49.76	0	70.43	1	66.66	0
28	48.83	0	37.05	1	93.99	0
