==RUN 0==
STOKE: Start Bat: 0.790000
ELocation 0: Diff:499026 ms Accuracy:6496.16
ELocation 1: Diff:0 ms Accuracy:6496.16
ELocation 2: Diff:10003 ms Accuracy:107.16
ELocation 3: Diff:0 ms Accuracy:107.16
ELocation 4: Diff:0 ms Accuracy:107.16
ELocation 5: Diff:4971 ms Accuracy:21.00
ELocation 6: Diff:6240 ms Accuracy:108.14
ELocation 7: Diff:11760 ms Accuracy:16.00
ELocation 8: Diff:10000 ms Accuracy:4.00
ELocation 9: Diff:20000 ms Accuracy:7.00
ELocation 10: Diff:20000 ms Accuracy:9.00
ELocation 11: Diff:20000 ms Accuracy:11.00
ELocation 12: Diff:20000 ms Accuracy:7.00
ELocation 13: Diff:10000 ms Accuracy:5.00
ELocation 14: Diff:20000 ms Accuracy:5.00
ELocation 15: Diff:10000 ms Accuracy:6.00
ELocation 16: Diff:20000 ms Accuracy:6.00
ELocation 17: Diff:10000 ms Accuracy:6.00
ELocation 18: Diff:20000 ms Accuracy:10.00
ELocation 19: Diff:10000 ms Accuracy:6.00
ELocation 20: Diff:10000 ms Accuracy:5.00
ELocation 21: Diff:20000 ms Accuracy:5.00
ELocation 22: Diff:10000 ms Accuracy:9.00
ELocation 23: Diff:20000 ms Accuracy:14.00
ELocation 24: Diff:10000 ms Accuracy:12.00
ELocation 25: Diff:20000 ms Accuracy:6.00
ELocation 26: Diff:20000 ms Accuracy:6.00
ETask 11: Configuration:0 Energy:0.00 Power:0.00 Reward:35.44 Time:30007 -- SAMPLE
ELocation 27: Diff:20000 ms Accuracy:7.00
ELocation 28: Diff:20000 ms Accuracy:6.00
ETask 12: Configuration:0 Energy:0.00 Power:0.00 Reward:35.07 Time:30005 -- SAMPLE
ELocation 29: Diff:10000 ms Accuracy:18.00
ELocation 30: Diff:20000 ms Accuracy:9.00
ETask 13: Configuration:1 Energy:0.00 Power:0.00 Reward:37.88 Time:30006 -- SAMPLE
ELocation 31: Diff:0 ms Accuracy:9.00
ELocation 32: Diff:10000 ms Accuracy:9.00
ELocation 33: Diff:5000 ms Accuracy:3.00
ELocation 34: Diff:6000 ms Accuracy:3.00
ELocation 35: Diff:5000 ms Accuracy:3.00
ELocation 36: Diff:6000 ms Accuracy:3.00
ELocation 37: Diff:5000 ms Accuracy:3.00
ETask 14: Configuration:1 Energy:0.00 Power:0.00 Reward:48.54 Time:30005 -- SAMPLE
ELocation 38: Diff:6000 ms Accuracy:3.00
ELocation 39: Diff:5000 ms Accuracy:3.00
ELocation 40: Diff:6000 ms Accuracy:3.00
ELocation 41: Diff:5000 ms Accuracy:3.00
ELocation 42: Diff:6000 ms Accuracy:3.00
ETask 15: Configuration:2 Energy:0.00 Power:0.00 Reward:78.29 Time:30008 -- SAMPLE
ELocation 43: Diff:3000 ms Accuracy:3.00
ELocation 44: Diff:1000 ms Accuracy:3.00
ELocation 45: Diff:2000 ms Accuracy:3.00
ELocation 46: Diff:3000 ms Accuracy:3.00
ELocation 47: Diff:3000 ms Accuracy:3.00
ELocation 48: Diff:3000 ms Accuracy:3.00
ELocation 49: Diff:2000 ms Accuracy:3.00
ELocation 50: Diff:3000 ms Accuracy:3.00
ELocation 51: Diff:2000 ms Accuracy:3.00
ELocation 52: Diff:2000 ms Accuracy:3.00
ELocation 53: Diff:2000 ms Accuracy:3.00
ELocation 54: Diff:2000 ms Accuracy:3.00
ELocation 55: Diff:3000 ms Accuracy:3.00
ELocation 56: Diff:3000 ms Accuracy:3.00
ETask 16: Configuration:2 Energy:0.00 Power:0.00 Reward:78.59 Time:30081 -- SAMPLE
ELocation 57: Diff:2000 ms Accuracy:3.00
ELocation 58: Diff:3000 ms Accuracy:3.00
ELocation 59: Diff:3000 ms Accuracy:3.00
ELocation 60: Diff:2000 ms Accuracy:3.00
ELocation 61: Diff:3000 ms Accuracy:3.00
ELocation 62: Diff:3000 ms Accuracy:3.00
ELocation 63: Diff:3000 ms Accuracy:3.00
ELocation 64: Diff:3000 ms Accuracy:3.00
ELocation 65: Diff:2000 ms Accuracy:3.00
ELocation 66: Diff:2000 ms Accuracy:3.00
ELocation 67: Diff:3000 ms Accuracy:3.00
ETask 17: Configuration:3 Energy:0.00 Power:0.00 Reward:82.35 Time:30006 -- SAMPLE
ELocation 68: Diff:1000 ms Accuracy:3.00
ELocation 69: Diff:0 ms Accuracy:3.00
ELocation 70: Diff:1000 ms Accuracy:3.00
ELocation 71: Diff:1000 ms Accuracy:3.00
ELocation 72: Diff:1000 ms Accuracy:3.00
ELocation 73: Diff:1000 ms Accuracy:3.00
ELocation 74: Diff:1000 ms Accuracy:3.00
ELocation 75: Diff:1000 ms Accuracy:3.00
ELocation 76: Diff:1000 ms Accuracy:3.00
ELocation 77: Diff:1000 ms Accuracy:3.00
ELocation 78: Diff:1000 ms Accuracy:3.00
ELocation 79: Diff:1000 ms Accuracy:3.00
ELocation 80: Diff:1000 ms Accuracy:3.00
ELocation 81: Diff:1000 ms Accuracy:3.00
ELocation 82: Diff:1000 ms Accuracy:3.00
ELocation 83: Diff:1000 ms Accuracy:4.00
ELocation 84: Diff:1000 ms Accuracy:3.00
ELocation 85: Diff:1000 ms Accuracy:3.00
ELocation 86: Diff:1000 ms Accuracy:3.00
ELocation 87: Diff:1000 ms Accuracy:3.00
ELocation 88: Diff:1000 ms Accuracy:3.00
ELocation 89: Diff:1000 ms Accuracy:3.00
ELocation 90: Diff:1000 ms Accuracy:3.00
ELocation 91: Diff:1000 ms Accuracy:3.00
ELocation 92: Diff:1000 ms Accuracy:3.00
ELocation 93: Diff:1000 ms Accuracy:3.00
ELocation 94: Diff:1000 ms Accuracy:3.00
ELocation 95: Diff:1000 ms Accuracy:3.00
ELocation 96: Diff:1000 ms Accuracy:3.00
ELocation 97: Diff:1000 ms Accuracy:3.00
ELocation 98: Diff:1000 ms Accuracy:3.00
ELocation 99: Diff:1000 ms Accuracy:3.00
ETask 18: Configuration:3 Energy:0.00 Power:0.00 Reward:70.31 Time:30004 -- SAMPLE
ELocation 100: Diff:1000 ms Accuracy:3.00
ELocation 101: Diff:1000 ms Accuracy:3.00
ELocation 102: Diff:1000 ms Accuracy:3.00
ELocation 103: Diff:1000 ms Accuracy:3.00
ELocation 104: Diff:1000 ms Accuracy:3.00
ELocation 105: Diff:1000 ms Accuracy:3.00
ELocation 106: Diff:1000 ms Accuracy:3.00
ELocation 107: Diff:1000 ms Accuracy:3.00
ELocation 108: Diff:1000 ms Accuracy:3.00
ELocation 109: Diff:1000 ms Accuracy:3.00
ELocation 110: Diff:1000 ms Accuracy:3.00
ELocation 111: Diff:1000 ms Accuracy:3.00
ELocation 112: Diff:1000 ms Accuracy:3.00
ELocation 113: Diff:1000 ms Accuracy:3.00
ELocation 114: Diff:1000 ms Accuracy:3.00
ELocation 115: Diff:1000 ms Accuracy:3.00
ELocation 116: Diff:1000 ms Accuracy:3.00
ELocation 117: Diff:1000 ms Accuracy:3.00
ELocation 118: Diff:1000 ms Accuracy:3.00
ELocation 119: Diff:1000 ms Accuracy:3.00
ELocation 120: Diff:1000 ms Accuracy:3.00
ELocation 121: Diff:1000 ms Accuracy:3.00
ELocation 122: Diff:1000 ms Accuracy:3.00
ELocation 123: Diff:1000 ms Accuracy:3.00
ELocation 124: Diff:1000 ms Accuracy:3.00
ELocation 125: Diff:1000 ms Accuracy:3.00
ELocation 126: Diff:1000 ms Accuracy:3.00
ELocation 127: Diff:1000 ms Accuracy:3.00
ELocation 128: Diff:1000 ms Accuracy:3.00
ELocation 129: Diff:1000 ms Accuracy:3.00
ETask 19: Configuration:0 Energy:0.00 Power:0.00 Reward:70.32 Time:30012
ELocation 130: Diff:0 ms Accuracy:3.00
ELocation 131: Diff:0 ms Accuracy:3.00
ELocation 132: Diff:13000 ms Accuracy:4.00
ELocation 133: Diff:10000 ms Accuracy:8.00
ETask 20: Configuration:1 Energy:0.00 Power:0.00 Reward:70.93 Time:30014
ELocation 134: Diff:0 ms Accuracy:8.00
ELocation 135: Diff:7977 ms Accuracy:9.00
ELocation 136: Diff:6023 ms Accuracy:3.00
ELocation 137: Diff:5000 ms Accuracy:3.00
ELocation 138: Diff:6000 ms Accuracy:3.00
ELocation 139: Diff:6000 ms Accuracy:3.00
ELocation 140: Diff:6000 ms Accuracy:3.00
ETask 21: Configuration:0 Energy:0.00 Power:0.00 Reward:68.81 Time:30010
ELocation 141: Diff:0 ms Accuracy:3.00
ELocation 142: Diff:0 ms Accuracy:3.00
ELocation 143: Diff:13000 ms Accuracy:4.00
ELocation 144: Diff:10000 ms Accuracy:5.00
ETask 22: Configuration:0 Energy:0.00 Power:0.00 Reward:62.88 Time:30011
ELocation 145: Diff:10000 ms Accuracy:4.00
ELocation 146: Diff:10000 ms Accuracy:6.00
ETask 23: Configuration:1 Energy:0.00 Power:0.00 Reward:38.83 Time:30015
ELocation 147: Diff:10000 ms Accuracy:11.00
ELocation 148: Diff:8117 ms Accuracy:14.00
ELocation 149: Diff:5883 ms Accuracy:3.00
ELocation 150: Diff:5000 ms Accuracy:3.00
ELocation 151: Diff:6000 ms Accuracy:3.00
ELocation 152: Diff:6000 ms Accuracy:3.00
ELocation 153: Diff:5000 ms Accuracy:3.00
ETask 24: Configuration:1 Energy:0.00 Power:0.00 Reward:64.60 Time:30016
ELocation 154: Diff:5000 ms Accuracy:3.00
ELocation 155: Diff:6000 ms Accuracy:3.00
ELocation 156: Diff:6000 ms Accuracy:3.00
ELocation 157: Diff:5000 ms Accuracy:3.00
ELocation 158: Diff:5000 ms Accuracy:3.00
ETask 25: Configuration:1 Energy:0.00 Power:0.00 Reward:65.70 Time:30020
ELocation 159: Diff:5000 ms Accuracy:3.00
ELocation 160: Diff:6000 ms Accuracy:3.00
ELocation 161: Diff:5000 ms Accuracy:3.00
ELocation 162: Diff:5000 ms Accuracy:3.00
ELocation 163: Diff:6000 ms Accuracy:3.00
ELocation 164: Diff:6000 ms Accuracy:3.00
ETask 26: Configuration:1 Energy:0.00 Power:0.00 Reward:49.46 Time:30014
ELocation 165: Diff:5000 ms Accuracy:3.00
ELocation 166: Diff:5000 ms Accuracy:3.00
ELocation 167: Diff:6000 ms Accuracy:3.00
ELocation 168: Diff:5000 ms Accuracy:3.00
ELocation 169: Diff:6000 ms Accuracy:3.00
ETask 27: Configuration:1 Energy:0.00 Power:0.00 Reward:63.69 Time:30016
ELocation 170: Diff:5000 ms Accuracy:3.00
ELocation 171: Diff:6000 ms Accuracy:3.00
ELocation 172: Diff:5000 ms Accuracy:3.00
ELocation 173: Diff:5000 ms Accuracy:4.00
ELocation 174: Diff:5000 ms Accuracy:6.00
