task	r0_energy	r0_config	r1_energy	r1_config
0	35.44	0	36.55	0
1	35.07	0	35.89	0
2	37.88	1	40.46	1
3	48.54	1	64.35	1
4	78.29	2	37.9	2
5	78.59	2	81.24	2
6	82.35	3	68.22	3
7	70.31	3	69.08	3
8	70.32	0	77.54	0
9	70.93	1	39.95	0
10	68.81	0	66.27	0
11	62.88	0	79.46	0
12	38.83	1	64.85	1
13	64.6	1	36.9	0
14	65.7	1	41.36	0
15	49.46	1	35.9	0
16	63.69	1	49.12	0
17	36.46	0	50.66	0
18	34.01	0	50.01	0
19	37.59	0	49.86	0
20	35.46	0	47.49	0
21	34.85	0	47.48	0
22	35.14	0	48.23	0
23	35.34	0	45.71	0
24	37.76	0	39.6	0
25	38.97	0	82.82	0
26	41.08	0	36.06	0
27	49.76	0	66.66	0
28	48.83	0	93.99	0
