task	r0_energy	r0_config	r1_energy	r1_config	r2_energy	r2_config
0	42.99	0	34.51	0	42.77	0
1	76.12	0	42.2	0	39.34	0
2	78.98	0	35.49	0	39.25	0
3	79.6	0	36.74	0	41.48	0
4	37.31	1	35.05	1	78.68	1
5	39.3	1	36.01	1	40.45	1
6	41.39	1	42.22	1	97.15	1
7	95.34	1	38.06	1	40.92	1
8	99.64	2	38.21	2	36.21	2
9	85.16	2	49.6	2	86.96	2
10	79.21	2	73.38	2	74.09	2
11	73.75	2	39.72	2	74.81	2
12	74.53	3	73.31	3	39.74	3
13	76.64	3	107.44	3	74.29	3
14	77.03	3	73.24	3	78.22	3
15	74.08	3	76.22	3	79.09	3
16	78.98	1	75.57	0	90.04	0
17	38.43	1	36.29	1	77.45	0
18	36.05	3	72.69	2	70.95	0
19	73.99	1	72.71	1	77.73	0
20	78.96	1	80.34	1	35.31	0
21	40.44	1	36.87	0	37.3	0
22	35.96	1	78.36	0	38.05	0
23	42.27	1	39.34	0	35.83	0
24	72.9	1	70.69	0	36.92	0
25	48.37	1	71.94	1	43.15	0
26	51.81	1	52.04	0	51.4	0
27	40.22	1	34.12	0	36.1	0
28	37.7	1	35.44	0	35.51	0
29	72.74	1	37.21	0	37.84	0
30	50.65	1	35.86	0	38.8	0
31	73.47	1	37.96	0	52.23	0
32	48.67	1	37.0	0	44.13	3
33	79.3	2	35.54	0	74.64	0
34	73.32	1	37.68	0	73.37	0
35	72.84	1	40.43	0	40.12	0
36	38.23	1	45.48	0	87.5	0
37	72.23	1	44.45	0	42.01	0
38	38.53	1	42.43	0	37.73	0
39	76.03	1	37.73	0	35.57	0
40	72.47	1	70.7	0	37.75	0
41	72.47	1	74.44	0	36.23	0
42	36.51	1	49.79	0	37.7	0
43	76.95	1	37.87	0	36.41	0
44	36.57	1	42.3	0	37.05	0
45	84.01	1	35.44	0	37.05	0
46	70.89	3	35.21	0	43.88	0
47	81.88	1	35.62	0	38.14	0
48	37.73	1	35.93	0	51.84	0
49	38.91	1	40.0	2	47.68	0
50	75.4	2	78.56	0	75.55	0
51	72.11	1	35.45	0	71.22	0
52	75.97	0	38.17	0	70.07	0
53	33.89	0	42.8	2	37.28	0
54	36.73	1	37.77	0	36.82	0
55	41.65	1	77.72	0	36.05	0
56	73.81	1	77.25	0	34.15	0
