task	energy	configuration
0	14.28	0
1	14.28	0
2	13.04	1
3	13.03	1
4	13.03	2
5	13.03	2
6	13.04	3
7	13.04	3
8	12.63	2
9	12.64	2
10	12.65	2
11	12.66	2
12	12.63	2
13	12.63	1
14	12.64	2
15	14.11	1
16	14.12	2
17	14.13	2
18	14.14	2
19	14.14	3
20	14.11	2
21	14.59	2
22	14.6	1
23	14.61	2
24	14.6	2
25	14.6	3
26	14.21	1
27	12.61	0
28	12.59	2
29	12.58	0
30	12.6	2
31	12.63	2
32	12.61	2
33	12.72	2
34	12.71	2
35	12.71	2
36	12.71	2
37	12.71	2
38	12.71	2
39	9.31	2
40	9.32	2
41	9.32	2
42	9.31	2
43	9.31	2
44	9.33	2
45	15.91	2
46	15.91	2
47	15.91	2
48	15.88	2
49	15.92	2
50	15.91	2
51	16.48	2
52	16.48	2
53	16.37	2
54	16.35	3
55	16.38	2
56	16.38	2
57	12.76	2
58	12.76	2
59	12.76	2
60	12.74	1
61	12.76	2
62	12.77	2
63	12.92	2
64	12.92	2
65	12.91	2
66	12.91	2
67	12.9	2
68	12.89	2
