task	r0_energy	r0_config	r1_energy	r1_config	r2_energy	r2_config
0	12.77	0	9.01	0	11.02	0
1	13.47	0	9.01	0	13.18	0
2	13.47	0	9.01	0	13.2	0
3	13.47	0	9.02	0	13.19	0
4	13.48	0	6.22	0	13.19	0
5	13.47	0	6.22	0	13.19	0
6	13.47	1	6.23	1	13.2	1
7	11.3	1	6.22	1	12.61	1
8	11.28	1	6.22	1	12.61	1
9	11.28	1	6.27	1	12.61	1
10	11.29	1	12.75	1	12.62	1
11	11.22	1	12.74	1	12.62	1
12	11.23	2	12.75	2	12.62	2
13	12.57	2	12.75	2	12.62	2
14	12.57	2	12.74	2	8.56	2
15	12.57	2	12.75	2	8.56	2
16	12.57	2	12.76	2	8.56	2
17	12.58	2	6.51	2	8.55	2
18	12.58	3	6.52	3	8.56	3
19	13.81	3	6.51	3	8.55	3
20	13.83	3	6.51	3	13.38	3
21	13.81	3	6.52	3	13.37	3
22	13.81	3	6.51	3	13.38	3
23	13.82	3	13.3	3	13.37	3
24	13.84	1	13.32	3	13.24	2
25	6.26	1	13.32	0	13.23	2
26	6.27	1	13.3	3	12.94	2
27	6.26	1	13.32	1	12.92	2
28	6.27	1	13.32	0	12.92	2
29	6.26	1	14.17	3	12.92	2
30	6.26	1	14.18	1	12.92	2
31	6.26	1	14.16	0	12.9	0
32	9.36	1	14.17	3	11.5	3
33	9.35	1	14.17	1	11.51	2
34	9.36	1	14.18	0	11.51	2
35	9.35	1	14.77	3	11.51	2
36	9.34	1	14.76	1	11.51	2
37	9.35	1	14.76	1	11.52	2
38	12.83	1	14.78	0	6.47	2
39	12.82	1	14.77	3	6.47	2
40	12.83	1	14.76	0	6.48	2
41	12.84	1	9.82	3	6.47	2
42	12.83	1	9.82	3	6.52	2
43	12.83	1	9.82	3	6.52	2
44	13.57	1	9.82	3	6.19	2
45	13.56	1	9.82	3	6.18	2
46	13.57	1	9.82	3	6.19	2
47	13.57	1	12.67	3	6.18	2
48	13.57	1	12.68	3	6.18	2
49	13.57	1	12.68	3	6.18	2
50	6.56	1	12.68	3	13.02	2
51	6.56	1	12.68	3	13.02	2
52	6.56	1	12.68	3	13.02	2
53	6.56	1	13.31	1	12.99	0
54	6.56	1	13.32	3	13.02	2
55	6.56	1	13.31	0	13.01	2
56	8.38	1	13.31	3	13.04	2
57	8.38	1	13.3	3	13.03	2
58	8.38	1	13.31	1	13.04	2
59	8.39	1	13.73	0	13.04	2
60	8.39	1	13.73	3	13.03	2
61	8.38	1	13.7	3	13.03	2
62	12.92	1	13.73	1	13.03	2
63	12.91	1	13.73	0	13.27	2
64	12.91	1	13.73	3	13.27	2
65	12.92	1	12.54	2	13.27	2
66	12.89	0	12.55	3	13.28	2
67	12.91	1	12.55	1	13.27	2
68	15.35	1	12.56	3	13.28	2
69	15.36	1	12.55	0	12.51	2
70	15.36	1	12.53	3	12.51	2
71	15.36	1	12.51	1	12.51	2
72	15.36	1	12.52	3	12.51	2
73	15.35	1	12.5	1	12.51	2
74	6.98	1	12.51	2	12.51	2
75	6.99	1	12.52	0	13.88	2
76	6.99	1	12.52	3	13.88	2
77	6.99	1	12.51	3	13.9	2
78	7.0	1	13.51	0	13.9	2
79	6.99	1	13.52	3	13.87	2
80	7.0	1	13.51	1	13.88	2
81	11.38	1	13.52	3	10.06	2
82	11.37	1	13.51	0	10.05	2
83	11.38	1	13.52	3	10.03	2
84	11.38	1	13.26	1	10.03	2
85	11.36	1	13.27	3	10.02	2
86	11.36	1	13.27	3	10.02	2
87	12.64	1	13.27	0	14.31	2
88	12.63	1	13.25	1	14.31	2
89	12.65	1	13.26	2	14.32	2
90	12.62	0	12.52	3	14.32	2
91	12.63	0	12.52	3	14.11	2
92	12.67	1	12.53	3	14.13	2
93	12.74	0	12.53	0	14.56	2
94	12.75	1	12.51	3	14.58	2
95	12.74	1	12.51	3	14.54	2
96	12.76	1	13.03	1	14.57	2
97	12.76	1	13.04	0	14.57	2
98	12.77	1	12.99	3	14.57	2
99	12.41	1	12.99	3	12.77	2
100	12.39	1	13.0	3	12.77	2
101	12.4	1	12.99	1	12.78	2
102	12.4	1	6.92	0	12.77	2
103	12.4	1	6.92	0	12.77	3
104	12.39	1	6.93	0	12.77	2
105	10.97	1	6.92	0	13.47	2
106	10.95	1	6.93	0	13.47	2
107	10.97	1	6.93	0	13.48	2
108	10.97	1	14.85	0	13.45	1
109	10.97	1	14.83	0	13.47	2
110	10.97	1	14.8	0	13.48	2
111	6.19	1	14.78	0	13.46	2
112	6.18	1	14.79	0	12.65	2
113	6.19	1	14.78	0	12.68	3
114	6.19	1	7.48	0	12.67	2
115	6.18	1	7.48	0	12.68	2
