==RUN 0==
STOKE: Start Bat: 1.000000
ELocation 0: Diff:0 ms Accuracy:37.22
ELocation 1: Diff:1350 ms Accuracy:20.00
ELocation 2: Diff:3000 ms Accuracy:10.00
ELocation 3: Diff:3000 ms Accuracy:5.00
ELocation 4: Diff:3000 ms Accuracy:4.00
ELocation 5: Diff:3000 ms Accuracy:4.00
ELocation 6: Diff:3000 ms Accuracy:3.00
ELocation 7: Diff:3000 ms Accuracy:3.00
ELocation 8: Diff:3000 ms Accuracy:4.00
ELocation 9: Diff:3000 ms Accuracy:4.00
ELocation 10: Diff:3000 ms Accuracy:3.00
ELocation 11: Diff:3000 ms Accuracy:3.00
ELocation 12: Diff:3000 ms Accuracy:3.00
ELocation 13: Diff:3000 ms Accuracy:4.00
ELocation 14: Diff:3000 ms Accuracy:4.00
ELocation 15: Diff:3000 ms Accuracy:5.00
ELocation 16: Diff:3000 ms Accuracy:4.00
ELocation 17: Diff:3000 ms Accuracy:5.00
ELocation 18: Diff:3000 ms Accuracy:5.00
ELocation 19: Diff:3000 ms Accuracy:4.00
ELocation 20: Diff:3000 ms Accuracy:6.00
ELocation 21: Diff:3000 ms Accuracy:6.00
ELocation 22: Diff:3000 ms Accuracy:10.00
ELocation 23: Diff:3000 ms Accuracy:10.00
ELocation 24: Diff:3000 ms Accuracy:9.00
ELocation 25: Diff:3000 ms Accuracy:9.00
ELocation 26: Diff:3000 ms Accuracy:9.00
ELocation 27: Diff:3000 ms Accuracy:9.00
ELocation 28: Diff:3000 ms Accuracy:3.00
ELocation 29: Diff:3000 ms Accuracy:3.00
ELocation 30: Diff:3000 ms Accuracy:3.00
ELocation 31: Diff:3000 ms Accuracy:3.00
ELocation 32: Diff:3000 ms Accuracy:3.00
ELocation 33: Diff:3000 ms Accuracy:3.00
ELocation 34: Diff:3000 ms Accuracy:3.00
ELocation 35: Diff:3000 ms Accuracy:3.00
ELocation 36: Diff:3000 ms Accuracy:3.00
ELocation 37: Diff:3000 ms Accuracy:3.00
ELocation 38: Diff:3000 ms Accuracy:3.00
ELocation 39: Diff:3000 ms Accuracy:3.00
ELocation 40: Diff:3000 ms Accuracy:3.00
ELocation 41: Diff:3000 ms Accuracy:3.00
ELocation 42: Diff:3000 ms Accuracy:4.00
ELocation 43: Diff:3000 ms Accuracy:4.00
ELocation 44: Diff:3000 ms Accuracy:5.00
ELocation 45: Diff:3000 ms Accuracy:6.00
ELocation 46: Diff:3000 ms Accuracy:5.00
ELocation 47: Diff:3000 ms Accuracy:5.00
ELocation 48: Diff:3000 ms Accuracy:5.00
ELocation 49: Diff:3000 ms Accuracy:9.00
ELocation 50: Diff:3000 ms Accuracy:9.00
ELocation 51: Diff:3000 ms Accuracy:9.00
ELocation 52: Diff:3000 ms Accuracy:9.00
ELocation 53: Diff:3000 ms Accuracy:4.00
ELocation 54: Diff:3000 ms Accuracy:6.00
ELocation 55: Diff:3000 ms Accuracy:6.00
ELocation 56: Diff:3000 ms Accuracy:6.00
ELocation 57: Diff:3000 ms Accuracy:5.00
ELocation 58: Diff:3000 ms Accuracy:4.00
ELocation 59: Diff:3000 ms Accuracy:4.00
ELocation 60: Diff:3000 ms Accuracy:4.00
ELocation 61: Diff:3000 ms Accuracy:3.00
ELocation 62: Diff:3000 ms Accuracy:3.00
ELocation 63: Diff:3000 ms Accuracy:3.00
ELocation 64: Diff:3000 ms Accuracy:3.00
ELocation 65: Diff:3000 ms Accuracy:3.00
ELocation 66: Diff:3000 ms Accuracy:3.00
ELocation 67: Diff:3000 ms Accuracy:3.00
ELocation 68: Diff:3000 ms Accuracy:4.00
ELocation 69: Diff:3000 ms Accuracy:4.00
ELocation 70: Diff:3000 ms Accuracy:5.00
ELocation 71: Diff:3000 ms Accuracy:4.00
ELocation 72: Diff:3000 ms Accuracy:4.00
ELocation 73: Diff:3000 ms Accuracy:3.00
ELocation 74: Diff:3000 ms Accuracy:9.00
ELocation 75: Diff:3000 ms Accuracy:9.00
ELocation 76: Diff:3000 ms Accuracy:9.00
ELocation 77: Diff:3000 ms Accuracy:9.00
ELocation 78: Diff:3000 ms Accuracy:9.00
ELocation 79: Diff:3000 ms Accuracy:9.00
ELocation 80: Diff:3000 ms Accuracy:9.00
ELocation 81: Diff:3000 ms Accuracy:10.00
ELocation 82: Diff:3000 ms Accuracy:9.00
ELocation 83: Diff:3000 ms Accuracy:9.00
ELocation 84: Diff:3000 ms Accuracy:9.00
ELocation 85: Diff:3000 ms Accuracy:9.00
ELocation 86: Diff:3000 ms Accuracy:9.00
ELocation 87: Diff:3000 ms Accuracy:9.00
ELocation 88: Diff:3000 ms Accuracy:9.00
ELocation 89: Diff:3000 ms Accuracy:9.00
ELocation 90: Diff:3000 ms Accuracy:9.00
ELocation 91: Diff:3000 ms Accuracy:9.00
ELocation 92: Diff:3000 ms Accuracy:9.00
ELocation 93: Diff:3000 ms Accuracy:9.00
ELocation 94: Diff:3000 ms Accuracy:9.00
ELocation 95: Diff:3000 ms Accuracy:9.00
ELocation 96: Diff:3000 ms Accuracy:9.00
ELocation 97: Diff:3000 ms Accuracy:9.00
ELocation 98: Diff:3000 ms Accuracy:9.00
ELocation 99: Diff:3000 ms Accuracy:9.00
ELocation 100: Diff:3000 ms Accuracy:9.00
ELocation 101: Diff:3000 ms Accuracy:9.00
ELocation 102: Diff:3000 ms Accuracy:9.00
ELocation 103: Diff:3000 ms Accuracy:9.00
ELocation 104: Diff:3000 ms Accuracy:9.00
ELocation 105: Diff:3000 ms Accuracy:9.00
ELocation 106: Diff:3000 ms Accuracy:9.00
ELocation 107: Diff:3000 ms Accuracy:9.00
ELocation 108: Diff:3000 ms Accuracy:9.00
ELocation 109: Diff:3000 ms Accuracy:9.00
ELocation 110: Diff:3000 ms Accuracy:9.00
ETask 11: Configuration:0 Energy:0.00 Power:0.00 Reward:64.20 Time:30006 -- SAMPLE
ELocation 111: Diff:3000 ms Accuracy:9.00
ELocation 112: Diff:3000 ms Accuracy:9.00
ELocation 113: Diff:3000 ms Accuracy:9.00
ELocation 114: Diff:3000 ms Accuracy:9.00
ELocation 115: Diff:3000 ms Accuracy:9.00
ELocation 116: Diff:3000 ms Accuracy:4.00
ELocation 117: Diff:3000 ms Accuracy:4.00
ELocation 118: Diff:3000 ms Accuracy:4.00
ELocation 119: Diff:3000 ms Accuracy:4.00
ELocation 120: Diff:3000 ms Accuracy:4.00
ETask 12: Configuration:0 Energy:0.00 Power:0.00 Reward:74.54 Time:30003 -- SAMPLE
ELocation 121: Diff:3000 ms Accuracy:4.00
ELocation 122: Diff:3000 ms Accuracy:4.00
ELocation 123: Diff:3000 ms Accuracy:4.00
ELocation 124: Diff:3000 ms Accuracy:4.00
ELocation 125: Diff:3000 ms Accuracy:4.00
ELocation 126: Diff:3000 ms Accuracy:4.00
ELocation 127: Diff:3000 ms Accuracy:4.00
ELocation 128: Diff:3000 ms Accuracy:3.00
ELocation 129: Diff:3000 ms Accuracy:4.00
ELocation 130: Diff:3000 ms Accuracy:4.00
ETask 13: Configuration:1 Energy:0.00 Power:0.00 Reward:73.00 Time:30003 -- SAMPLE
ELocation 131: Diff:1619 ms Accuracy:4.00
ELocation 132: Diff:-13 ms Accuracy:4.00
ELocation 133: Diff:1394 ms Accuracy:4.00
ELocation 134: Diff:3000 ms Accuracy:3.00
ELocation 135: Diff:3000 ms Accuracy:4.00
ELocation 136: Diff:3000 ms Accuracy:4.00
ELocation 137: Diff:3000 ms Accuracy:4.00
ELocation 138: Diff:3000 ms Accuracy:4.00
ELocation 139: Diff:3000 ms Accuracy:4.00
ELocation 140: Diff:3000 ms Accuracy:4.00
ELocation 141: Diff:3000 ms Accuracy:4.00
ELocation 142: Diff:3000 ms Accuracy:4.00
ETask 14: Configuration:1 Energy:0.00 Power:0.00 Reward:47.76 Time:30006 -- SAMPLE
ELocation 143: Diff:3000 ms Accuracy:4.00
ELocation 144: Diff:3000 ms Accuracy:4.00
ELocation 145: Diff:3000 ms Accuracy:4.00
ELocation 146: Diff:3000 ms Accuracy:4.00
ELocation 147: Diff:3000 ms Accuracy:4.00
ELocation 148: Diff:3000 ms Accuracy:5.00
ELocation 149: Diff:3000 ms Accuracy:5.00
ELocation 150: Diff:3000 ms Accuracy:5.00
ELocation 151: Diff:3000 ms Accuracy:7.00
ELocation 152: Diff:3000 ms Accuracy:8.00
ETask 15: Configuration:2 Energy:0.00 Power:0.00 Reward:44.11 Time:30008 -- SAMPLE
ELocation 153: Diff:1688 ms Accuracy:8.00
ELocation 154: Diff:-10 ms Accuracy:8.00
ELocation 155: Diff:1322 ms Accuracy:8.00
