==RUN 0==
STOKE: Start Bat: 0.570000
ELocation 0: Diff:-19 ms Accuracy:79.72
ELocation 1: Diff:10154 ms Accuracy:49.00
ELocation 2: Diff:20000 ms Accuracy:26.00
ELocation 3: Diff:10000 ms Accuracy:26.00
ELocation 4: Diff:10000 ms Accuracy:28.00
ELocation 5: Diff:10000 ms Accuracy:22.00
ELocation 6: Diff:20000 ms Accuracy:20.00
ELocation 7: Diff:10000 ms Accuracy:22.00
ELocation 8: Diff:10000 ms Accuracy:26.00
ELocation 9: Diff:10000 ms Accuracy:21.00
ELocation 10: Diff:20000 ms Accuracy:12.00
ELocation 11: Diff:10000 ms Accuracy:17.00
ELocation 12: Diff:10000 ms Accuracy:9.00
ELocation 13: Diff:11412 ms Accuracy:16.00
ELocation 14: Diff:18588 ms Accuracy:8.00
ELocation 15: Diff:20000 ms Accuracy:16.00
ELocation 16: Diff:10000 ms Accuracy:12.00
ELocation 17: Diff:10000 ms Accuracy:10.00
ELocation 18: Diff:10000 ms Accuracy:10.00
ELocation 19: Diff:11420 ms Accuracy:12.00
ELocation 20: Diff:18580 ms Accuracy:14.00
ELocation 21: Diff:20000 ms Accuracy:11.00
ELocation 22: Diff:21391 ms Accuracy:11.00
ELocation 23: Diff:8609 ms Accuracy:12.00
ETask 11: Configuration:0 Energy:0.00 Power:0.00 Reward:46.03 Time:30008 -- SAMPLE
ELocation 24: Diff:20000 ms Accuracy:38.00
ELocation 25: Diff:20000 ms Accuracy:46.00
ETask 12: Configuration:0 Energy:0.00 Power:0.00 Reward:45.37 Time:30005 -- SAMPLE
ELocation 26: Diff:10000 ms Accuracy:33.00
ELocation 27: Diff:10000 ms Accuracy:27.00
ELocation 28: Diff:10000 ms Accuracy:40.00
ETask 13: Configuration:1 Energy:0.00 Power:0.00 Reward:71.34 Time:30009 -- SAMPLE
ELocation 29: Diff:9833 ms Accuracy:40.00
ELocation 30: Diff:1 ms Accuracy:40.00
ELocation 31: Diff:4166 ms Accuracy:12.00
ELocation 32: Diff:5000 ms Accuracy:7.00
ELocation 33: Diff:5000 ms Accuracy:7.00
ELocation 34: Diff:6000 ms Accuracy:6.00
ELocation 35: Diff:6000 ms Accuracy:8.00
ETask 14: Configuration:1 Energy:0.00 Power:0.00 Reward:48.37 Time:30005 -- SAMPLE
ELocation 36: Diff:5000 ms Accuracy:10.00
ELocation 37: Diff:5000 ms Accuracy:14.00
ELocation 38: Diff:5000 ms Accuracy:6.00
ELocation 39: Diff:5000 ms Accuracy:5.00
ELocation 40: Diff:6000 ms Accuracy:5.00
ELocation 41: Diff:6000 ms Accuracy:7.00
ETask 15: Configuration:2 Energy:0.00 Power:0.00 Reward:72.13 Time:30007 -- SAMPLE
ELocation 42: Diff:1915 ms Accuracy:7.00
ELocation 43: Diff:-16 ms Accuracy:7.00
ELocation 44: Diff:1101 ms Accuracy:11.00
ELocation 45: Diff:3000 ms Accuracy:13.00
ELocation 46: Diff:3000 ms Accuracy:12.00
ELocation 47: Diff:2000 ms Accuracy:13.00
