task	r0_energy	r0_config	r1_energy	r1_config	r2_energy	r2_config
0	38.43	0	39.15	0	37.5	0
1	44.18	1	72.89	1	80.91	1
2	36.59	2	56.85	2	80.91	2
3	75.93	3	72.69	3	75.27	3
4	89.37	2	34.26	0	76.24	0
5	41.5	0	37.09	0	43.28	0
6	34.34	0	34.22	0	39.4	0
7	35.97	0	45.29	0	34.54	0
8	35.97	0	72.52	2	34.83	0
9	38.67	0	34.65	0	47.32	0
10	38.31	0	73.85	3	39.18	0
11	45.25	0	44.15	0	41.58	0
12	44.33	0	50.68	2	101.96	3
13	72.33	0	35.16	0	40.47	0
14	87.69	0	38.4	0	41.65	0
15	45.55	1	38.28	0	40.52	0
16	75.24	1	76.32	0	34.59	0
17	42.67	0	70.28	0	40.67	0
18	44.33	0	72.04	0	35.94	0
19	35.92	0	38.23	0	39.23	0
20	34.61	0	47.71	0	56.11	0
21	85.96	2	34.34	0	39.82	0
22	45.23	0	39.71	0	70.95	0
23	38.49	0	35.75	0	77.05	0
24	37.54	0	36.92	0	70.95	0
