task	r0_energy	r0_config	r1_energy	r1_config	r2_energy	r2_config	r3_energy	r3_config	r4_energy	r4_config	r5_energy	r5_config
0	36.23	0	33.97	0	50.05	0	34.42	0	36.66	0	40.55	0
1	38.15	1	37.39	1	71.15	1	38.41	1	36.64	1	75.56	1
2	76.97	2	78.03	2	40.02	2	93.44	2	87.66	2	37.71	2
3	75.22	3	79.59	3	92.54	3	93.41	3	82.64	3	72.31	3
4	46.32	0	75.37	2	46.12	2	82.52	0	73.36	1	81.63	2
5	44.24	1	75.32	3	73.52	2	74.38	1	38.79	0	34.89	0
6	41.19	1	34.6	0	33.89	0	60.54	1	38.27	0	36.26	0
7	74.76	1	35.09	0	35.11	0	39.27	1	36.85	0	35.74	0
8	36.87	0	35.09	0	35.73	0	73.41	1	36.25	0	34.27	0
9	37.93	0	34.36	0	39.53	0	37.94	1	43.63	0	34.3	0
10	49.77	0	37.96	0	35.57	0	36.64	1	39.16	0	37.05	0
11	51.84	0	40.99	0	33.84	0	36.46	1	39.93	0	34.54	0
12	34.98	0	37.49	0	34.63	0	77.77	1	70.54	0	34.67	0
13	35.37	0	73.93	0	37.54	0	44.91	1	80.12	0	41.14	0
14	37.15	0	36.27	1	41.58	0	71.74	1	38.38	0	34.64	0
15	40.03	0	70.55	1	37.77	0	94.27	1	35.11	0	38.87	0
16	34.45	0	35.08	0	60.25	0	36.32	1	34.56	0	39.62	0
17	35.51	0	34.6	0	93.21	0	79.1	1	37.05	0	39.2	0
18	43.49	0	52.24	0	78.1	0	35.74	1	53.28	0	82.7	0
19	39.97	0	40.32	0	51.44	0	76.58	1	41.19	0	48.23	0
20	50.79	0	37.78	0	35.98	0	36.24	1	35.89	0	40.61	0
21	70.91	0	33.93	0	33.97	0	36.17	1	34.17	0	36.1	0
22	69.43	0	34.39	0	40.67	0	42.32	1	34.66	0	35.51	0
23	66.39	0	37.44	0	36.63	0	77.5	1	35.57	0	34.48	0
24	33.93	0	45.31	0	35.3	0	73.2	1	35.57	0	34.44	0
