
energy	drain	deviation	rel	gps_interval	gps_accuracy	sensor_configuration
72.54	0.0	0.0	0.0%	300000	Low Power	Callback Off
78.51	0.01	0.0	0.0%	120000	Low Power	Callback Off
73.02	0.0	0.0	0.0%	60000	Low Power	Callback Off
91.53	0.02	0.0	0.0%	30000	Low Power	Callback Off
108.27	0.0	0.0	0.0%	10000	Low Power	Callback Off
86.84	0.02	0.0	0.0%	7000	Low Power	Callback Off
100.54	0.01	0.0	0.0%	5000	Low Power	Callback Off
105.0	0.02	0.0	0.0%	3000	Low Power	Callback Off
103.96	0.01	0.0	0.0%	2500	Low Power	Callback Off
96.34	0.02	0.0	0.0%	2000	Low Power	Callback Off
130.37	0.01	0.0	0.0%	1000	Low Power	Callback Off
96.46	0.02	0.0	0.0%	500	Low Power	Callback Off
75.02	0.02	0.0	0.0%	300000	Balanced Power	Callback Off
76.9	0.0	0.0	0.0%	120000	Balanced Power	Callback Off
70.47	0.01	0.0	0.0%	60000	Balanced Power	Callback Off
70.58	0.01	0.0	0.0%	30000	Balanced Power	Callback Off
85.07	0.01	0.0	0.0%	10000	Balanced Power	Callback Off
85.73	0.0	0.0	0.0%	7000	Balanced Power	Callback Off
115.91	0.01	0.0	0.0%	5000	Balanced Power	Callback Off
99.15	0.0	0.0	0.0%	3000	Balanced Power	Callback Off
106.64	0.03	0.0	0.0%	2500	Balanced Power	Callback Off
106.99	0.01	0.0	0.0%	2000	Balanced Power	Callback Off
114.04	0.02	0.0	0.0%	1000	Balanced Power	Callback Off
112.43	0.01	0.0	0.0%	500	Balanced Power	Callback Off
75.41	0.01	0.0	0.0%	300000	High Accuracy	Callback Off
76.13	0.02	0.0	0.0%	120000	High Accuracy	Callback Off
70.61	0.0	0.0	0.0%	60000	High Accuracy	Callback Off
77.7	0.01	0.0	0.0%	30000	High Accuracy	Callback Off
87.34	0.02	0.0	0.0%	10000	High Accuracy	Callback Off
91.46	0.02	0.0	0.0%	7000	High Accuracy	Callback Off
107.64	0.01	0.0	0.0%	5000	High Accuracy	Callback Off
111.94	0.03	0.0	0.0%	3000	High Accuracy	Callback Off
129.2	0.02	0.0	0.0%	2500	High Accuracy	Callback Off
120.86	0.01	0.0	0.0%	2000	High Accuracy	Callback Off
154.41	0.02	0.0	0.0%	1000	High Accuracy	Callback Off
155.0	0.03	0.0	0.0%	500	High Accuracy	Callback Off
