==RUN-0==
ETask 4: Configuration:0 Energy:13.50 Power:13.50 Reward:13.50 Time:4995
ETask 5: Configuration:18 Energy:13.20 Power:13.20 Reward:13.20 Time:4998
ETask 6: Configuration:36 Energy:12.80 Power:12.80 Reward:12.80 Time:4996
ETask 7: Configuration:36 Energy:12.40 Power:12.40 Reward:12.40 Time:4998
ETask 8: Configuration:36 Energy:12.30 Power:12.30 Reward:12.30 Time:4998
ETask 9: Configuration:36 Energy:12.60 Power:12.60 Reward:12.60 Time:4998
ETask 10: Configuration:36 Energy:12.70 Power:12.70 Reward:12.70 Time:4999
ETask 11: Configuration:36 Energy:12.50 Power:12.50 Reward:12.50 Time:4999
ETask 12: Configuration:36 Energy:12.00 Power:12.00 Reward:12.00 Time:4997
ETask 13: Configuration:36 Energy:12.00 Power:12.00 Reward:12.00 Time:4998
ETask 14: Configuration:36 Energy:12.00 Power:12.00 Reward:12.00 Time:4997
ETask 15: Configuration:36 Energy:12.10 Power:12.10 Reward:12.10 Time:4998
ETask 16: Configuration:36 Energy:12.30 Power:12.30 Reward:12.30 Time:4997
ETask 17: Configuration:36 Energy:12.50 Power:12.50 Reward:12.50 Time:4996
ETask 18: Configuration:36 Energy:12.50 Power:12.50 Reward:12.50 Time:4998
ETask 19: Configuration:36 Energy:13.00 Power:13.00 Reward:13.00 Time:4998
ETask 20: Configuration:36 Energy:14.00 Power:14.00 Reward:14.00 Time:4999
ETask 21: Configuration:36 Energy:15.00 Power:15.00 Reward:15.00 Time:4997
ETask 22: Configuration:36 Energy:15.50 Power:15.50 Reward:15.50 Time:4997
ETask 23: Configuration:37 Energy:15.10 Power:15.10 Reward:15.10 Time:4998
ETask 24: Configuration:38 Energy:13.80 Power:13.80 Reward:13.80 Time:4997
ETask 25: Configuration:39 Energy:12.50 Power:12.50 Reward:12.50 Time:4997
ETask 26: Configuration:39 Energy:11.70 Power:11.70 Reward:11.70 Time:4998
ERun: Reward:298.00 PostConfigReward:258.50 Time:115454
