==RUN-0==
ETask 11: Configuration:0 Energy:22.00 Power:22.00 Reward:22.00 Time:4996
ETask 12: Configuration:18 Energy:21.00 Power:21.00 Reward:21.00 Time:4998
ETask 13: Configuration:36 Energy:20.00 Power:20.00 Reward:20.00 Time:4998
ETask 14: Configuration:36 Energy:20.00 Power:20.00 Reward:20.00 Time:4997
ETask 15: Configuration:36 Energy:20.00 Power:20.00 Reward:20.00 Time:4998
ETask 16: Configuration:36 Energy:20.00 Power:20.00 Reward:20.00 Time:4998
ETask 17: Configuration:36 Energy:20.00 Power:20.00 Reward:20.00 Time:4997
ETask 18: Configuration:36 Energy:21.00 Power:21.00 Reward:21.00 Time:4998
ETask 19: Configuration:37 Energy:20.00 Power:20.00 Reward:20.00 Time:4997
ETask 20: Configuration:37 Energy:21.00 Power:21.00 Reward:21.00 Time:4998
ETask 21: Configuration:38 Energy:20.00 Power:20.00 Reward:20.00 Time:4996
ETask 22: Configuration:38 Energy:19.00 Power:19.00 Reward:19.00 Time:4997
ETask 23: Configuration:38 Energy:20.00 Power:20.00 Reward:20.00 Time:4998
ETask 24: Configuration:38 Energy:20.00 Power:20.00 Reward:20.00 Time:4998
ETask 25: Configuration:38 Energy:20.00 Power:20.00 Reward:20.00 Time:4999
ETask 26: Configuration:38 Energy:19.00 Power:19.00 Reward:19.00 Time:4996
ETask 27: Configuration:38 Energy:20.00 Power:20.00 Reward:20.00 Time:4997
ETask 28: Configuration:38 Energy:20.00 Power:20.00 Reward:20.00 Time:4995
ETask 29: Configuration:38 Energy:20.00 Power:20.00 Reward:20.00 Time:4997
ETask 30: Configuration:38 Energy:21.00 Power:21.00 Reward:21.00 Time:4999
ETask 31: Configuration:38 Energy:20.00 Power:20.00 Reward:20.00 Time:4997
ETask 32: Configuration:38 Energy:21.00 Power:21.00 Reward:21.00 Time:4998
ETask 33: Configuration:38 Energy:21.00 Power:21.00 Reward:21.00 Time:4997
ETask 34: Configuration:39 Energy:21.00 Power:21.00 Reward:21.00 Time:4998
ETask 35: Configuration:40 Energy:20.00 Power:20.00 Reward:20.00 Time:4999
ETask 36: Configuration:40 Energy:20.00 Power:20.00 Reward:20.00 Time:4998
ETask 37: Configuration:40 Energy:20.00 Power:20.00 Reward:20.00 Time:4998
ETask 38: Configuration:40 Energy:19.00 Power:19.00 Reward:19.00 Time:4998
ETask 39: Configuration:40 Energy:21.00 Power:21.00 Reward:21.00 Time:4998
ETask 40: Configuration:40 Energy:20.00 Power:20.00 Reward:20.00 Time:4998
