STOKE: Start Bat: 1.000000
ETask 31: Configuration:0 Energy:17.00 Power:17.00 Reward:17.00 Time:4008
ETask 32: Configuration:0 Energy:18.30 Power:18.30 Reward:18.30 Time:4020
ETask 33: Configuration:0 Energy:18.90 Power:18.90 Reward:18.90 Time:4016
ETask 34: Configuration:0 Energy:19.30 Power:19.30 Reward:19.30 Time:4012
ETask 35: Configuration:0 Energy:19.60 Power:19.60 Reward:19.60 Time:4019
ETask 36: Configuration:0 Energy:19.60 Power:19.60 Reward:19.60 Time:4014
ETask 37: Configuration:0 Energy:19.60 Power:19.60 Reward:19.60 Time:4016
ETask 38: Configuration:0 Energy:19.30 Power:19.30 Reward:19.30 Time:4003
ETask 39: Configuration:0 Energy:19.60 Power:19.60 Reward:19.60 Time:4014
ETask 40: Configuration:0 Energy:19.50 Power:19.50 Reward:19.50 Time:4015
ETask 41: Configuration:0 Energy:19.20 Power:19.20 Reward:19.20 Time:4005
ETask 42: Configuration:0 Energy:19.50 Power:19.50 Reward:19.50 Time:4003
ETask 43: Configuration:0 Energy:19.60 Power:19.60 Reward:19.60 Time:4017
ETask 44: Configuration:0 Energy:19.30 Power:19.30 Reward:19.30 Time:4008
ETask 45: Configuration:0 Energy:19.20 Power:19.20 Reward:19.20 Time:4013
ETask 46: Configuration:0 Energy:19.00 Power:19.00 Reward:19.00 Time:4012
ETask 47: Configuration:0 Energy:19.10 Power:19.10 Reward:19.10 Time:4015
ETask 48: Configuration:0 Energy:19.00 Power:19.00 Reward:19.00 Time:4015
ETask 49: Configuration:0 Energy:19.00 Power:19.00 Reward:19.00 Time:4016
ETask 50: Configuration:0 Energy:19.00 Power:19.00 Reward:19.00 Time:4018
ETask 51: Configuration:0 Energy:18.90 Power:18.90 Reward:18.90 Time:4014
ETask 52: Configuration:0 Energy:18.80 Power:18.80 Reward:18.80 Time:4015
ETask 53: Configuration:0 Energy:19.00 Power:19.00 Reward:19.00 Time:4015
ETask 54: Configuration:0 Energy:19.10 Power:19.10 Reward:19.10 Time:4021
ETask 55: Configuration:0 Energy:18.20 Power:18.20 Reward:18.20 Time:4024
ETask 56: Configuration:0 Energy:17.40 Power:17.40 Reward:17.40 Time:4013
ETask 57: Configuration:0 Energy:17.20 Power:17.20 Reward:17.20 Time:4009
ETask 58: Configuration:0 Energy:17.10 Power:17.10 Reward:17.10 Time:4016
ETask 59: Configuration:0 Energy:16.90 Power:16.90 Reward:16.90 Time:4026
ETask 60: Configuration:0 Energy:16.80 Power:16.80 Reward:16.80 Time:4027
ETask 61: Configuration:0 Energy:16.30 Power:16.30 Reward:16.30 Time:4020
ETask 62: Configuration:0 Energy:16.00 Power:16.00 Reward:16.00 Time:4022
ETask 63: Configuration:0 Energy:20.00 Power:20.00 Reward:20.00 Time:4028
ETask 64: Configuration:0 Energy:16.10 Power:16.10 Reward:16.10 Time:4021
ETask 65: Configuration:0 Energy:16.10 Power:16.10 Reward:16.10 Time:4022
ETask 66: Configuration:0 Energy:16.00 Power:16.00 Reward:16.00 Time:4014
ETask 67: Configuration:0 Energy:16.30 Power:16.30 Reward:16.30 Time:4022
ETask 68: Configuration:0 Energy:15.70 Power:15.70 Reward:15.70 Time:4022
ETask 69: Configuration:0 Energy:15.60 Power:15.60 Reward:15.60 Time:4023
ETask 70: Configuration:0 Energy:16.70 Power:16.70 Reward:16.70 Time:4010
ETask 71: Configuration:0 Energy:17.40 Power:17.40 Reward:17.40 Time:4002
ETask 72: Configuration:0 Energy:18.30 Power:18.30 Reward:18.30 Time:4003
ETask 73: Configuration:0 Energy:18.70 Power:18.70 Reward:18.70 Time:4018
ETask 74: Configuration:0 Energy:18.70 Power:18.70 Reward:18.70 Time:4016
ETask 75: Configuration:0 Energy:18.50 Power:18.50 Reward:18.50 Time:4015
ETask 76: Configuration:0 Energy:18.40 Power:18.40 Reward:18.40 Time:4017
ETask 77: Configuration:0 Energy:18.40 Power:18.40 Reward:18.40 Time:4005
ETask 78: Configuration:0 Energy:18.70 Power:18.70 Reward:18.70 Time:4013
ETask 79: Configuration:0 Energy:19.00 Power:19.00 Reward:19.00 Time:4014
ETask 80: Configuration:0 Energy:18.90 Power:18.90 Reward:18.90 Time:4017
ETask 81: Configuration:0 Energy:18.80 Power:18.80 Reward:18.80 Time:4015
ETask 82: Configuration:0 Energy:18.80 Power:18.80 Reward:18.80 Time:4016
ETask 83: Configuration:0 Energy:18.60 Power:18.60 Reward:18.60 Time:4006
ETask 84: Configuration:0 Energy:18.60 Power:18.60 Reward:18.60 Time:4008
STOKE: End Bat: 1.000000
STOKE: Usage Bat: 0.000000
ERun: Reward:986.60 PostConfigReward:0.00 Time:217881
